sku_id,container,reprocess
1000016525369-White-OffWhite,in-media,
1000016462587-White-White,in-media-ea,
1000015749820-Pink-PinkRaniPin,in-media,
1000016426051-Purple-Lilac,in-media-ea,
1000016394295-Pink-PinkRaniPin,in-media-ea,
1000016409967-Pink-PinkRaniPin,in-media-ea,
1000016409967-Beige-Beige,in-media-ea,
1000016515271-Pink-PinkRaniPin,in-media,
1000016447296-Blue-LightBlue,in-media-ea,
1000016462528-Gold-LightGold,in-media-ea,
1000016462587-Gold-LightGold,in-media-ea,
1000016409942-Gold-LightGold,in-media-ea,
1000016447325-White-White,in-media-ea,
1000016447340-Beige-Beige,in-media-ea,
1000016462692-White-White,in-media-ea,
1000016163580-Pink-Pink,in-media,
1000016447296-White-OffWhite,in-media-ea,
1000016163615-Pink-Pink,in-media,
1000016515271-Blue-BlueNavyDen,in-media-ea,
1000016447353-Pink-PinkRaniPin,in-media-ea,
1000015683707-Grey-Silver,in-media-ea,
1000014962955-Multicolour,in-media,
1000016129790-Pink-Pink,in-media,
1000016426051-White-OffWhite,in-media-ea,
1000015683678-Purple-Lilac,in-media,
1000014963000-Multicolour,in-media,
1000016353431-Gold-LightGold,in-media-ea,
1000016163620-Pink-Pink,in-media,
1000015154901-Pink-PinkRaniPin,in-media,
1000016462499-Purple-Lilac,in-media-ea,
1000014962960-Multicolour,in-media,
1000015677504-White-White,in-media-ea,
1000016537776-Purple-Lilac,in-media-ea,
1000015289533-Green-GreenOlive,in-media,
1000015706578-Pink-PinkRaniPin,in-media,
1000015154988-Green-Green,in-media,
1000015662745-Pink-PinkRaniPin,in-media-ea,
1000015052041-Purple-Lilac,in-media,
1000016163570-Pink-Pink,in-media,
1000016112661-Beige-Cream,in-media-ea,
1000016462557-Multicolour-Mult,in-media-ea,
1000016353329-Pink-PinkRaniPin,in-media-ea,
1000015439451-White-White,in-media,
1000016462650-White-White,in-media-ea,
1000016409892-Grey-Silver,in-media-ea,
1000016462705-White-White,in-media-ea,
1000015708791-Pink-PinkRaniPin,in-media,
1000015708806-Pink-PinkRaniPin,in-media,
1000015706506-Purple-Purple,in-media,
1000016447366-Beige-Beige,in-media-ea,
1000016409942-Grey-Silver,in-media-ea,
1000016288411-Pink-PinkRaniPin,in-media,
1000015113723-Pink-PinkRaniPin,in-media,
1000016569349-White-White,in-media-ea,
1000015510290-Purple-Purple,in-media,
1000015154901-White-White,in-media,
1000016170331-Beige-Beige,in-media,
1000016308119-Pink-PinkRaniPin,in-media-ea,
1000016268206-Pink-PinkRaniPin,in-media,
1000016268221-White-White,in-media,
1000015677504-Pink-PinkRaniPin,in-media-ea,
1000014124101-Pink-PinkYellowW,in-media,
1000016277511-White-White,in-media-ea,
1000015662760-White-White,in-media,
1000015113723-Yellow-Yellow,in-media,
1000015677542-Pink-PinkRaniPin,in-media,
1000015151830-Purple-Lilac,in-media,
1000015415074-Pink-Pink,in-media,
1000016277482-Gold-Gold,in-media-ea,
1000016308119-Purple-Lilac,in-media-ea,
1000015555209-White-White,in-media,
1000016170306-Pink-PinkRaniPin,in-media,
1000015683898-Grey-Silver,in-media,
1000015683751-White-White,in-media,
1000016170173-Pink-Peach,in-media-ea,
1000015113723-Green-GreenOlive,in-media,
1000016170402-White-White,in-media,
1000016198438-Black-Black,in-media-ea,
1000016112578-Pink-PinkRaniPin,in-media,
1000016277536-Gold-LightGold,in-media-ea,
1000016462528-Grey-Silver,in-media-ea,
1000016409892-Gold-LightGold,in-media-ea,
1000016170173-Purple-Lilac,in-media-ea,
1000015154857-White-White,in-media,
1000016353457-White-White,in-media-ea,
1000015706550-Grey-Silver,in-media,
1000015154872-White-White,in-media,
1000016159416-White-White,in-media,
1000015123649-White-White,in-media,
1000015683898-Beige-Beige,in-media,
1000015309485-Pink-PinkRaniPin,in-media,
1000016277453-Gold-Gold,in-media-ea,
1000016198362-Purple-Lilac,in-media,
1000016353416-Gold-LightGold,in-media-ea,
1000015683927-Silver-Sultan,in-media,
1000016159388-White-White,in-media-ea,
1000015999806-Purple-Purple,in-media,
1000014962975-Multicolour,in-media,
1000015662773-Pink-PinkRaniPin,in-media,
1000015749924-Purple-Lilac,in-media-ea,
1000016112491-White-White,in-media-ea,
1000016170247-Pink-PinkRaniPin,in-media-ea,
1000015177264-Pink-PinkRaniPin,in-media,
1000015999660-Pink-PinkRaniPin,in-media,
1000015443581-Pink-PinkRaniPin,in-media,
1000015561857-Blue-BlueNavyDen,in-media,
1000015177330-Green-GreenOlive,in-media,
1000015252831-Pink-PinkRaniPin,in-media,
1000016198451-Blue-BlueNavyDen,in-media,
1000015177301-Purple-Lilac,in-media,
1000015683751-Pink-PinkRaniPin,in-media,
1000016198425-Pink-PinkRaniPin,in-media-ea,
1000015999668-Pink-PinkRaniPin,in-media,
1000014962990-Multicolour,in-media,
1000016170277-Pink-PinkRaniPin,in-media,
1000016277536-White-White,in-media-ea,
1000015894768-Blue-BlueNavyDen,in-media,
1000015309455-Green-GreenOlive,in-media,
1000016170262-Pink-PinkRaniPin,in-media-ea,
1000014963023-Multicolour,in-media,
1000015749867-Pink-PinkRaniPin,in-media,
1000016058893-Pink-PinkRaniPin,in-media,
1000015177245-White-White,in-media,
1000016170232-Pink-PinkRaniPin,in-media-ea,
1000015683793-White-White,in-media,
1000015749850-Blue-LblueSblueA,in-media,
1000015708661-Pink-PinkRaniPin,in-media,
1000015683844-Gold-LightGold,in-media-ea,
1000016112607-Silver-Sultan,in-media,
1000016112520-Pink-PinkRaniPin,in-media-ea,
1000015154959-Pink-PinkRaniPin,in-media,
1000016170158-White-White,in-media-ea,
1000015683707-Pink-PinkRaniPin,in-media-ea,
1000015694884-Pink-PinkRaniPin,in-media,
1000015439451-Purple-Lilac,in-media,
1000015999863-Pink-PinkRaniPin,in-media,
1000016170402-Green-GreenOlive,in-media,
1000015398294-Pink-PinkRaniPin,in-media,
1000015706482-Pink-PinkRaniPin,in-media,
1000015706467-Purple-Lilac,in-media,
1000016353444-Pink-PinkRaniPin,in-media-ea,
1000015252818-Purple-Lilac,in-media,
1000015749833-Pink-PinkRaniPin,in-media,
1000016268191-White-White,in-media,
1000015093780-Yellow-Yellow,in-media,
1000016170306-Yellow-Yellow,in-media,
1000016112686-Pink-PinkRaniPin,in-media-ea,
1000015309470-Pink-PinkRaniPin,in-media,
1000015677555-White-White,in-media,
1000016170277-Purple-Lilac,in-media,
1000016112549-Beige-Cream,in-media-ea,
1000016170202-Pink-PinkRaniPin,in-media,
1000015155054-Multicolour,in-media,
1000015177301-White-OffWhite,in-media,
1000016353457-Purple-Lilac,in-media-ea,
1000015683952-Gold-LightGold,in-media,
1000015155109-White-White,in-media,
1000015706658-Yellow-Yellow,in-media-ea,
1000015706658-Blue-BlueNavyDen,in-media-ea,
1000015683965-White-White,in-media,
1000016112711-White-OffWhite,in-media-ea,
1000016058893-White-White,in-media,
1000016170217-Purple-Lilac,in-media,
1000015188826-White-OffWhite,in-media,
1000015683869-Gold-LightGold,in-media,
1000015177264-Purple-Lilac,in-media,
1000015154872-Blue-BlueNavyDen,in-media,
1000015415077-Pink-Pink,in-media,
1000014298319-Blue-BlueNavyDen,in-media,
1000016525354-Pink-Peach,in-media,
1000014962995-Multicolour,in-media,
1000016175509-Purple-Lilac,in-media,
1000015561786-Green-GreenOlive,in-media,
1000015778979-Pink-PinkRaniPin,in-media-ea,
1000016447366-Purple-PurpleMau,in-media-ea,
1000015778969-Purple-Purple,in-media,
1000015666597-White-White,in-media-ea,
1000016462499-Pink-PinkRaniPin,in-media-ea,
1000015778974-Pink-PinkRaniPin,in-media,
1000016277561-Silver-Sultan,in-media-ea,
1000015154944-Multicolour,in-media,
1000016308104-White-White,in-media-ea,
1000015705239-Pink-Pink,in-media-ea,
1000016112578-Gold-LightGold,in-media,
1000016409917-Pink-Ivory,in-media-ea,
1000016409917-Gold-LightGold,in-media,
1000016353356-Pink-PinkRaniPin,in-media-ea,
1000016163605-Pink-Pink,in-media,
1000016353338-Green-GreenOlive,in-media-ea,
1000016163610-Pink-Pink,in-media-ea,
1000015749850-Pink-PinkRaniPin,in-media,
1000016163590-Pink-Pink,in-media,
1000016112686-Gold-LightGold,in-media-ea,
1000016129777-Pink-Pink,in-media,
1000016353347-Pink-PinkRaniPin,in-media-ea,
1000016129796-Pink-Pink,in-media,
1000016525374-White-OffWhite,in-media,
1000015151817-Pink-PinkRaniPin,in-media,
