sku_id,container,reprocess
1000012477786-Black-Black,in-media-uk,
1000015656824-Black-Black,in-media,
1000015040859-Blue-BlueNavyDen,in-media,
1000016338900-Blue-Navy,in-media-ea,
1000015478232-Black-Black,in-media,
1000015677341-Blue-Navy,in-media,
1000016394202-Black-Black,in-media-ea,
1000015095965-Black-Black,in-media,
1000016394202-Green-Olive,in-media-ea,
1000016515217-Brown-Brown,in-media-ea,
1000016068964-Black-Black,in-media,
1000016126705-Black-Black,in-media,
1000015677341-Black-Black,in-media,
1000016577898-Brown-Brown,in-media-ea,
1000016381543-Black-Black,in-media-ea,
1000016568978-Black-Black,in-media,
1000016231874-Black-Black,in-media-ea,
1000015677341-Brown-Khaki,in-media,
1000014233908-Black-Black,in-media,
1000016479167-Beige-Beige,in-media,
1000015040859-Black-Black,in-media,
1000016479167-Grey-Grey,in-media,
1000016400349-Black-Black,in-media-ea,
1000016400338-Brown-Brown,in-media-ea,
1000016247019-Beige-Beige,in-media-ea,
1000015677300-Blue-Navy,in-media,
1000016246994-Brown-Brown,in-media-ea,
1000016068985-Black-Black,in-media,
1000016068985-Brown-Brown,in-media,
1000015095965-Grey-Grey,in-media,
1000016231874-Beige-Beige,in-media-ea,
1000015769591-Blue-Navy,in-media,
1000016079061-Brown-Brown,in-media,
1000016379008-Black-Black,in-media-ea,
1000016588828-Blue-Navy,in-media,
1000016079061-Black-Black,in-media,
1000012477788-Grey-DGreyBlack,in-media-uk,
1000016169655-Brown-Brown,in-media,
1000015204736-Brown-Camel,in-media,
1000016515217-Black-Black,in-media-ea,
1000013663067-Black-Black,in-media,
1000016568985-White-White,in-media,
1000015709095-Black-Black,in-media,
1000015948659-Brown-Brown,in-media,
1000016163694-Black-Black,in-media-ea,
1000013663186-Brown-Tan,in-media,
1000016479167-Black-Black,in-media,
1000016163643-Blue-Navy,in-media,
1000016129890-Grey-Melange,in-media,
1000015923003-Grey-Grey,in-media,
1000016586634-Grey-Grey,in-media-ea,
1000014234265-Black-Black,in-media-ea,
1000015709082-Brown-MustardBro,in-media,
1000016053976-Black-Black,in-media,
1000016567666-White-White,in-media,
1000016206393-White-White,in-media,
1000014261539-Black-Black,in-media,
1000016479167-Green-Olive,in-media,
1000016246994-Black-Black,in-media,
1000014560105-Grey-Grey,in-media,
1000015992014-Blue-NavyBlue,in-media,
1000015204684-Brown-Tan,in-media,
1000016553984-Black-Black,in-media,
1000015204593-Brown-Brown,in-media-ea,
1000016567680-White-White,in-media,
1000016379021-Black-Black,in-media-ea,
1000015991965-Green-Olive,in-media,
1000016567715-Gold-Gold,in-media,
1000013663395-Brown-Tan,in-media,
1000016119401-White-White,in-media-ea,
1000016153736-Black-Black,in-media-ea,
1000016319453-Green-Olive,in-media-ea,
1000013725100-Grey-WhiteGrey,,
1000008499719,in-media-uk,
1000013663186-Black-Black,in-media,
1000015648260-White-White,in-media,
1000016206380-White-White,in-media,
1000016126742-Black-Black,in-media,
1000015983813-Brown-Tan,in-media,
1000013663067-Brown-Brown,in-media,
1000016126705-Grey-Grey,in-media,
1000016067342-Black-Black,in-media-ea,
1000015204723-Grey-Grey,in-media,
1000015478232-Beige-Beige,in-media,
1000016231874-Green-Olive,in-media-ea,
1000011744431-Black-Black,in-media-uk,
1000016182860-Brown-Brown,in-media-ea,
1000016294001-Black-Black,in-media,
1000016126684-Blue-Navy,in-media-ea,
1000015758538-Brown-Brown,in-media,
1000016182735-Blue-BlueNavyDen,in-media,
1000015677300-Grey-Grey,in-media,
1000015095877-White-White,in-media,
1000015677341-Green-Olive,in-media-ea,
1000015706348-Brown-Tan,in-media,
1000015062737-White-White,in-media,
1000016126779-Beige-Beige,in-media,
1000016068964-Brown-Brown,in-media,
1000013022735-Black-Black,in-media-uk,
1000016259080-Black-Black,in-media,
1000015365421-Brown-Brown,in-media,
1000016156788-Brown-Brown,in-media,
1000013039598-Grey-WhiteGrey,in-media,
1000016291362-Grey-LightGrey,in-media-ea,
1000014369905-White-White,in-media,
1000015991561-Beige-Beige,in-media,
1000014178513-Black-Black,in-media,
