color_variant_id,container,reprocess
1000010836189,in-media,
1000012132425,in-media,
1000013750394,in-media-us,
1000015663482,in-media,
1000010918433,in-media,
1000012595468,in-media,
1000012595486,in-media,
1000014725400,in-media,
1000015663478-White-OffWhite,in-media-ea,
1000015144560,in-media,
1000012231388,in-media,
1000014823063,in-media,
1000016286623,in-media-ea,
1000016286632,in-media-ea,
1000015144556,in-media,
1000015663473,in-media,
1000016332036-Blue-Navy,in-media-ea,
1000013618311,in-media-us,
1000014823068-Black-Black,in-media,
1000015663476,in-media,
1000016286629,in-media-ea,
1000014725394,in-media,
1000013935575,in-media,
1000016332049,in-media-ea,
1000016332052,in-media-ea,
1000014725382,in-media,
1000012166750,in-media,
1000016286626,in-media-ea,
1000016332039-Blue-Blue,in-media-ea,
1000016332043,in-media-ea,
1000012629346-Brown-Brown,in-media-us,
1000013430020,in-media-us,
1000013623663,in-media-us,
1000013721071,in-media-us,
1000013750401,in-media-us,
1000014097393,in-media,
1000016332046,in-media-ea,
1000013964089,in-media,
1000004483405-Blue-BLUE,in-media,
1000005694434,in-media,
1000005694460,in-media,
1000010713502,in-media,
1000013245605,in-media-us,
1000013430032,in-media-us,
1000013639557,in-media-us,
1000014097389,in-media,
1000013721077,in-media-us,
1000014696364,in-media-ea,
1000014725397,in-media,
1000015144558,in-media,
1000007690747,in-media,
1000010225828,in-media,
1000013430026,in-media,
1000013430028,in-media,
1000013493986,in-media-us,
1000013525614,in-media,
1000014097407,in-media,
1000016249127,in-media-ea,
1000008748896,in-media-us,
1000013935572,in-media,
1000014721576,in-media,
1000007507671,in-media,
1000012595476,in-media,
1000013750398,in-media-us,
1000016249125,in-media-ea,
1000014397174,in-media,
1000016109138,in-media-ea,
1000016138585,in-media,
1000014769411,in-media,
1000014823057,in-media,
1000014823060,in-media,
1000015572897-Brown-Brown,in-media,
1000015572903-Blue-Blue,in-media,
1000015663467-Blue-Navy,in-media,
1000016109118,in-media,
1000016109121,in-media,
1000016109124,in-media,
1000016109127,in-media,
1000016138569,in-media,
1000016171679,in-media,
1000016171681,in-media,
1000015663467-White-White,in-media,
1000016138577,in-media,
1000012595480,in-media,
1000013612218,in-media-us,
1000013618307,in-media-us,
1000014760050-Blue-Navy,in-media,
1000014760053-Black-Black,in-media,
1000015144554,in-media,
1000015144564,in-media,
1000015253070,in-media,
1000014823054,in-media,
1000016138581,in-media,
1000015144562,in-media,
1000014397180,in-media,
1000016138575,in-media,
1000015645138-Black-Black,in-media,
1000012595478,in-media,
1000016138571,in-media,
1000015936603-Grey-Grey,in-media,
1000015422177,in-media,
1000014397176,in-media,
1000015645138-Blue-Navy,in-media,
1000015645138-White-White,in-media,
1000015572909-Grey-Grey,in-media,
1000012595484,in-media,
1000015422179,in-media,
1000012595466,in-media,
1000016138579,in-media,
1000015936605-Red-Red,in-media,
1000015572900-Red-Maroon,in-media,
