color_variant_id,container,reprocess
1000015095611-White-White,in-media,true
1000015219852-Pink-Pink,in-media,true
1000015601584-Blue-Blue,in-media-ea,true
1000015601602-Beige-Cream,in-media-ea,true
1000015601605-Yellow-Yellow,in-media-ea,true
1000015601620-Multicolour,in-media-ea,true
1000015601632-Blue-Blue,in-media-ea,true
1000015601644-Brown-Brown,in-media,true
1000015601647-Yellow-Yellow,in-media,true
1000015601677-Pink-Pink,in-media,true
1000015602365-White-White,in-media,true
1000015605505-Multicolour,in-media,true
1000015605550-Yellow-Yellow,in-media,true
1000015605556-Pink-Pink,in-media,true
1000015606366-Green-Green,in-media,true
1100004169-Blue-Blue,in-media-ea,true
1100004170-Grey-Grey,in-media-ea,true
1100004171-Pink-Pink,in-media-ea,true
1100004172-Cream-Beige,in-media-ea,true
1100004173-Cream-Beige,in-media,true
1100004196-White-White,in-media-ea,true
1100004208-Pink-Pink,in-media-ea,true
1100004222-White-White,in-media-ea,true
1100004414-White-White,in-media-ea,true
1100004425-Pink-Pink,in-media-ea,true
1100004489-Blue-Blue,in-media-ea,true
1100004499-Pink-Pink,in-media-ea,true
1100004509-Blue-Blue,in-media-ea,true
1100004562-White-White,in-media-ea,true
1100004572-Green-Green,in-media-ea,true
1100006025-Multicolour,in-media-ea,true
1000014939309-Blue-Blue,in-media,true
1000015039748-Green-Green,in-media,true
1000015064320-PinkWhite-Pink,in-media,true
1000015064329-Blue-Blue,in-media,true
1000015149321-Blue-Blue,in-media,true
1000015149330-Pink-Pink,in-media,true
1000015202724-White-White,in-media,true
1000015601608-White-White,in-media-ea,true
1000015601659-Green-Green,in-media,true
1000015601665-Yellow-Yellow,in-media,true
1000015601671-Pink-Pink,in-media,true
1000015602775-White-White,in-media,true
1000015605544-White-White,in-media,true
1000015605553-Green-Green,in-media,true
1000015606345-Multicolour,in-media,true
1000015606378-Green-Green,in-media,true
1000015606420-Pink-Pink,in-media,true
1000015606432-White-White,in-media,true
1000015713650-Beige-Beige,in-media,true
1000015713662-Purple-Purple,in-media,true
1100002931-White-White,in-media-ea,true
1100003889-Blue-Blue,in-media-ea,true
1100004095-Pink-Pink,in-media-ea,true
1100004096-Blue-Blue,in-media-ea,true
1100004097-Green-Green,in-media,true
1100004098-Pink-Pink,in-media,true
1100004108-Beige-Beige,in-media-ea,true
1100004109-Cream-Beige,in-media-ea,true
1100004110-Blue-Blue,in-media-ea,true
1000014382787-Blue-Blue,in-media,true
1000014939324-White-White,in-media,true
1000014939342-White-White,in-media,true
1000015039475-Multicolour,in-media,true
1000015095587-Peach-Pink,in-media,true
1000015095623-White-White,in-media,true
1000015095629-Cream-Beige,in-media,true
1000015601560-Pink-Pink,in-media,true
1000015601563-White-White,in-media,true
1000015601566-Blue-Blue,in-media,true
1000015601569-Beige-Cream,in-media,true
1000015601575-Beige-Cream,in-media,true
1000015601590-Pink-Pink,in-media,true
1000015601593-Cream-Beige,in-media,true
1000015601599-Beige-Beige,in-media-ea,true
1000015601614-Yellow-Yellow,in-media,true
1000015601626-Pink-Pink,in-media,true
1000015601629-Pink-Pink,in-media-ea,true
1000015601635-Grey-Grey,in-media-ea,true
1000015601638-Pink-Pink,in-media-ea,true
1000015601641-Purple-Purple,in-media,true
1000015601650-Blue-Blue,in-media,true
1000015601653-Yellow-Yellow,in-media,true
1000015601656-Pink-Pink,in-media,true
1000015601662-Yellow-Yellow,in-media,true
1000015601668-Pink-Pink,in-media,true
1000015601674-Grey-Grey,in-media,true
1000015602745-Green-Green,in-media-ea,true
1000015602754-White-White,in-media-ea,true
1000015602766-White-White,in-media,true
1000015602793-White-White,in-media,true
1000015602805-Grey-Grey,in-media,true
1000015602814-Green-Green,in-media-ea,true
1000015602826-White-White,in-media,true
1000015605508-Multicolour,in-media,true
1000015605511-Blue-Blue,in-media,true
1000015605547-Blue-Blue,in-media,true
1000015605559-Blue-Blue,in-media,true
1000015606411-Beige-Cream,in-media-ea,true
1000015606423-Pink-Pink,in-media,true
1100001324-Multicolour,in-media-ea,true
