color_variant_id,container,reprocess
1000008925247-Black,in-media,
1000011620071,in-media,
1000012571951-Brown-Brown,in-media-us,
1000013429013,in-media-us,
1000013724054-Blue-Navy,in-media,
1000014280678,in-media,
1000014419406-Grey-Grey,in-media,
1000014614069,in-media,
1000014818214-Black-Black,in-media,
1000014964053-Brown-Brown,in-media,
1000014975374,in-media,
1000014975380,in-media,
1000015071102,in-media,
1000015166380,in-media,
1000015169044-Multicolour,in-media,
1000015185956-Black-Black,in-media,
1000015189093,in-media,
1000015908182-Blue-Navy,in-media-ea,
1000016035585,in-media,
1000016035753,in-media,
1000016060161,in-media,
1000016100586,in-media,
1000016227702,in-media-ea,
1000011143355,in-media-ea,
1000011166143-Brown,in-media,
1000012571987-Brown-Brown,in-media-us,
1000013150678,in-media,
1000013430011-Black-Black,in-media,
1000013560966,in-media,
1000013724096-Black-Black,in-media,
1000013724096-Pink-Pink,in-media,
1000013724179-Pink-Pink,in-media,
1000013724210-Pink-Pink,in-media,
1000013724262-Brown-Coffee,in-media,
1000014030538,in-media,
1000014391218-Black-Black,in-media,
1000014419406-Black-Black,in-media,
1000014672496,in-media-ea,
1000014672499,in-media-ea,
1000014727620-Brown-Brown,in-media,
1000014818205-Black-Black,in-media,
1000014818205-Brown-Tan,in-media,
1000014873836,in-media,
1000014873848,in-media,
1000014964072-Beige-Beige,in-media,
1000014964082-Black-Black,in-media,
1000015071352,in-media,
1000015071358,in-media,
1000015074968,in-media,
1000015166386,in-media,
1000015166392,in-media,
1000015185871-Brown-Brown,in-media,
1000015185885-Brown-Brown,in-media,
1000015288337-Black-Black,in-media,
1000015289824-Black-Black,in-media-ea,
1000015318128,in-media-ea,
1000015484993,in-media,
1000015520251-Brown-Brown,in-media-ea,
1000015576318,in-media,
1000015700325,in-media-ea,
1000015781553,in-media-ea,
1000015908107-Black-Black,in-media,
1000015908138-Brown-Chocolate,in-media,
1000015908138-Green-Olive,in-media,
1000015908151-Brown-Tan,in-media,
1000015908226-Black-Black,in-media-ea,
1000015908270-Black-Black,in-media-ea,
1000015908270-Brown-Chocolate,in-media-ea,
1000015908270-Blue-Navy,in-media-ea,
1000015908283-Blue-Navy,in-media-ea,
1000015909755-Black-Black,in-media-ea,
1000015909764-Blue-Navy,in-media-ea,
1000016060143,in-media,
1000016112308,in-media,
1000016130729,in-media,
1000016147455,in-media,
1000016155788,in-media,
1000016287369,in-media-ea,
1000016287373,in-media-ea,
1000016287371,in-media-ea,
1000016371429,in-media-ea,
1000016371450,in-media-ea,
1000008499613-BLACK,in-media,
1000008925243-Black,in-media,
1000009286201-Black-Black,in-media,
1000009286209-Brown-Brown,in-media,
1000009286249-Black-Black,in-media-us,
1000009292639-Black-Black,in-media-us,
1000009292663-Red-WineCognacOx,in-media-us,
1000012571870-Red-WineCognacOx,in-media-us,
1000012571879-Brown-Brown,in-media-us,
1000012571942-Black-Black,in-media-us,
1000012571960-Black-Black,in-media-us,
1000012751339-Multicolour,in-media,
1000012762827,in-media,
1000013150702,in-media,
1000013187757-Brown-Brown,in-media-us,
1000013682591-Brown-Brown,in-media,
1000013724075-Black-Black,in-media,
1000013724179-Brown-Coffee,in-media,
1000013888706,in-media,
1000014143329,in-media,
1000014293893,in-media-ea,
1000014391230-Brown-Brown,in-media,
1000014448574,in-media,
1000014462551,in-media,
1000014873845,in-media,
1000014874547,in-media,
1000014963975-Brown-Brown,in-media,
1000014964010-Black-Black,in-media,
1000014964082-Brown-Tan,in-media,
1000014975377,in-media,
1000014975386,in-media,
1000014975779,in-media,
1000014975785,in-media,
1000015071123,in-media,
1000015071334,in-media,
1000015071343,in-media,
1000015074937,in-media,
1000015074946,in-media,
1000015074974,in-media,
1000015113606,in-media,
1000015164450-Brown-Brown,in-media,
1000015164733-Brown-Coffee,in-media,
1000015166335,in-media,
1000015169037-Multicolour,in-media,
1000015185871-Black-Black,in-media,
1000015185903-Black-Black,in-media-ea,
1000015289873-Black-Black,in-media,
1000015289900-Brown-Tan,in-media-ea,
1000015319348,in-media,
1000015363549,in-media,
1000015413147,in-media,
1000015485056,in-media,
1000015520230-Brown-Khaki,in-media-ea,
1000015520251-Black-Black,in-media-ea,
1000015700307,in-media-ea,
1000015781551,in-media-ea,
1000015908138-Black-Black,in-media,
1000015908283-Brown-Brown,in-media-ea,
1000015909755-Brown-Tan,in-media-ea,
1000016035831,in-media,
1000016100580,in-media,
1000016112310,in-media,
1000016147452,in-media,
1000016155821,in-media,
1000016155824,in-media,
1000016227492,in-media-ea,
