color_variant_id,container,reprocess
1000009286270,in-media,
1000015289954,in-media-ea,
1000015908309,in-media-ea,
1000015909995,in-media-ea,
1000010992240,in-media,
1000011166217,in-media,
1000012629352-Brown-Brown,in-media-us,
1000012926758-Blue-Navy,in-media-us,
1000013044072-Grey-Grey,in-media,
1000013756443,in-media,
1000014267731,in-media,
1000014267732,in-media,
1000014935101-Brown-Brown,in-media,
1000014948968,in-media,
1000015186114,in-media,
1000015289220,in-media,
1000015289953,in-media-ea,
1000015289957,in-media,
1000015518501,in-media,
1000015908311,in-media-ea,
1000015908329,in-media,
1000015908341,in-media-ea,
1000015909939,in-media-ea,
1000015909978,in-media-ea,
1000015909981,in-media-ea,
1000015909986,in-media-ea,
1000011874269,in-media,
1000012257174,in-media,
1000013125493-Black-Black,in-media,
1000013125493-Brown-Brown,in-media,
1000013682675,in-media,
1000013682726,in-media,
1000013682725,in-media,
1000013682756,in-media,
1000014267689,in-media,
1000014267690,in-media,
1000014419486,in-media,
1000015186134,in-media,
1000015289928,in-media-ea,
1000015289933,in-media,
1000015289950,in-media-ea,
1000015289965,in-media,
1000015289970,in-media-ea,
1000015908297,in-media-ea,
1000015908322,in-media-ea,
1000015908348,in-media,
1000015908353,in-media-ea,
1000015908357,in-media,
1000015908356,in-media,
1000015908355,in-media,
1000015909937,in-media-ea,
1000015909940,in-media-ea,
1000015909947,in-media-ea,
1000015909951,in-media-ea,
1000015909987,in-media-ea,
1000015910006,in-media-ea,
1000015910015,in-media-ea,
1000015910013,in-media-ea,
1000015912082,in-media-ea,
1000015980460,in-media,
