sku_id,container,reprocess
1000015754697,in-media,
1000013486581,in-media,
1000014611857,in-media,
1000015107244,in-media,
1000011627464,in-media,
1000013424929,,
1000013272814,,
1000013142569,,
1000013424931,,
1000013272812,,
1000013142567,,
1000005954128,in-media-uk,
1000013496311,in-media,
1000013272820,,
1000013272818,,
1000013496309,in-media,
1000015107240,in-media,
1000011627491,in-media,
1000015107250,in-media,
1000006098996,in-media-uk,
1000011627485,in-media,
1000015107242,in-media,
1000016670296,in-media-ea,
1000016587965,in-media-ea,
1000016048443,in-media,
1000016547216,in-media,
1000016547218,in-media,
1000015648774,in-media,
1000013142565,,
1000015076948,in-media,
1000012241138,,
1000012241126,in-media,
1000014783020,in-media,
1000007177942,in-media-uk,
1000015076946,in-media,
1000015386150,in-media,
1000011048801,in-media-uk,
1000011624530,,
1000013272810,,
1000012631291,in-media-uk,
1000014611859,in-media,
1000011627479,in-media,
1000014231382,in-media,
1000011627470,in-media,
1000013272816,,
1000011627461,in-media,
1000011627482,in-media,
