color_variant_id,container,reprocess
1000001035845,in-media-us,
1000009800590,in-media,
1000015780527,in-media,
1000015780853,in-media,
1000006972910,in-media,
1000015780517,in-media,
1000015780847,in-media,
1000016170627,in-media,
1000016267939,in-media-ea,
1000016000762,in-media,
1000016187234,in-media,
1000013291759,in-media,
1000012764224,in-media,
1000009800584,in-media,
1000012191632,in-media,
1000012191630,in-media,
1000013892143,in-media,
1000013291767,in-media,
1000012191628,in-media,
1000012798783,in-media,
1000013892139,in-media,
1000013892141,in-media,
1000013291757,in-media,
1000014782620,in-media,
1000013535783,in-media,
1000011257168,in-media,
1000013449288,in-media-us,
1000010674332,in-media,
1000015110867,in-media,
1000015110847,in-media,
1000010508833,in-media,
1000015110823,in-media,
1000015110891,in-media,
1000008982440,in-media,
1000013675546,in-media-us,
1000010923207,in-media,
1000010674350,in-media,
1000013181912,in-media,
1000010967787,in-media,
1000013535777,in-media,
1000014313960,in-media,
1000013105551,in-media-us,
1000014006390,in-media,
1000011244543,in-media,
1000010674358,in-media,
1000011884660,in-media,
1000014378330,in-media,
1000009249197,in-media,
1000008350571,in-media,
1000010331843,in-media,
1000014752440,in-media,
