color_variant_id,container,reprocess
1000006178177,in-media-us,
1000007045096,in-media,
1000007045100,in-media,
1000007483757,in-media,
1000007483761,in-media,
1000008387781,in-media,
1000008387957,in-media,
1000008387959,in-media,
1000008387963,in-media,
1000008387971,in-media,
1000012559661,in-media-us,
1000012801712,in-media-us,
1000013291779,in-media,
1000007483759,in-media,
1000007818007,in-media,
1000007818019,in-media,
1000007818023,in-media,
1000007818021,in-media,
1000008387779,in-media,
1000012138835,in-media,
1000014874121,in-media,
1000015780651,in-media,
1000015781686,in-media,
1000015854379,in-media,
1000016323630,in-media,
1000008399920,in-media,
1000008399922,in-media,
1000008399924,in-media,
1000010958530,in-media,
1000016000818,in-media,
1000016075200,in-media,
1000015781051,in-media,
1000015854367,in-media,
1000016000832,in-media-ea,
1000016000954,in-media-ea,
1000016075172,in-media-ea,
1000016075202,in-media,
1000006120688,in-media,
1000008399916,in-media,
1000015366597,in-media,
1000016000830,in-media-ea,
1000013291773,in-media,
1000014082593,in-media,
1000013892153,in-media,
1000014082591,in-media,
1000012191658,in-media,
1000013655989,in-media,
1000014082589,in-media,
1000014082575,in-media,
1000013156996,in-media,
1000012191662,in-media,
1000012191668,in-media,
1000012191674,in-media,
1000013892151,in-media,
1000013845222,in-media,
1000013845226,in-media,
1000013506671,in-media-us,
1000014082559,in-media,
1000013156998,in-media,
1000013845234,in-media,
1000014082577,in-media,
1000013291769,in-media,
1000013655985,in-media,
1000013845224,in-media,
1000013845232,in-media,
1000014082587,in-media,
1000013845220,in-media,
1000013845210,in-media,
1000014324615,in-media,
1000011106702,in-media,
1000004050669,in-media,
1000014454763,in-media,
1000014752448,in-media,
1000014324479,in-media,
1000014324649,in-media,
1000015110929,in-media,
1000010427965,in-media,
1000014324677,in-media,
1000014752446,in-media,
1000013424901,in-media-us,
1000014324413,in-media,
1000014454761,in-media,
1000015110949,in-media,
1000014710901,in-media,
1000004037445,in-media,
1000013791491,in-media,
1000013623007,in-media,
1000013623013,in-media,
1000014431558,in-media,
1000014782640,in-media,
1000012801754,in-media,
1000015366939,in-media,
1000008983383,in-media,
1000014789572,in-media,
1000014789576,in-media,
1000015363160,in-media,
1000012559679,in-media-us,
1000013623015,in-media,
1000012454986,in-media,
1000014789574,in-media,
1000009938812,in-media,
1000011293342,in-media,
1000012203653,in-media,
1000012559681,in-media-us,
1000012801716,in-media-us,
1000013623101,in-media,
1000009310393,in-media,
1000012559673,in-media-us,
1000004037427,in-media,
1000006636024,in-media,
1000013623009,in-media,
1000004037425,in-media,
1000008260363,in-media,
1000008983411,in-media,
1000007092083,in-media,
1000012559691,in-media-us,
1000015363180,in-media,
1000014082583,in-media,
1000014782660,in-media,
1000014082573,in-media,
1000012571060,in-media-us,
1000014324653,in-media,
1000015230953,in-media,
1000010263512,in-media,
1000012203649,in-media,
1000013623011,in-media,
