color_variant_id,container,reprocess
1000012747785,in-media,
1000016405961,in-media-ea,
1000010830292,in-media,
1000011543678,in-media,
1000011543708,in-media,
1000012239170,in-media,
1000013095716,in-media,
1000013393519,in-media,
1000016299244,in-media,
1000016447039,in-media-ea,
1000012747799,in-media,
1000013393513,in-media,
1000013021470,in-media,
1000013905035,in-media,
1000013318202,in-media,
1000010786434,in-media,
1000011197787,in-media,
1000012262383,in-media,
1000013490326,in-media,
1000016107050,in-media,
1000016252527,in-media,
1000011006286,in-media,
1000011865624,in-media,
1000011865632,in-media,
1000012199809,in-media,
1000013194877,in-media,
1000013440479,in-media,
1000013905065,in-media,
1000016107048,in-media,
1000016633504,in-media,
1000011005006,in-media,
1000012011167,in-media,
1000013360389,in-media,
1000015231528,in-media,
1000015231536,in-media,
1000005858033,in-media,
1000005861505,in-media,
1000006291122,in-media,
1000009808409,in-media,
1000009808415,in-media,
1000011004096,in-media,
1000011161841,in-media,
1000011865636,in-media,
1000012747765,in-media,
1000013751336,in-media,
1000013865118,in-media,
1000014317570,in-media,
1000011268747,in-media-us,
1000011767116,in-media,
1000013846675,in-media,
1000014210941,in-media,
1000014317586,in-media,
1000014350692,in-media-ea,
1000016062433,in-media,
1000016633590,in-media-ea,
1000012285331,in-media,
1000013858642,in-media,
1000013095708,in-media,
1000011048813,in-media,
