sku_id,container,reprocess
1000015754691,in-media,
1000016187224,in-media,
1000015252950,in-media,
1000015754693,in-media,
1000014874737,in-media,
1000013424921,,
1000014782928,in-media,
1000014782930,in-media,
1000014782926,in-media,
1000014611913,in-media,
1000014874735,in-media,
1000014611907,in-media,
1000014611917,in-media,
1000016187222,in-media,
1000015959313,in-media,
1000015754687,in-media,
1000015754689,in-media,
1000011624550,in-media,
1000013914468,in-media,
1000013272844,,
1000014782950,in-media,
1000014782946,in-media,
1000012631305,,
1000014611911,in-media,
1000014611915,in-media,
1000014782956,in-media,
1000013486589,in-media,
1000014783018,in-media,
1000014782994,in-media,
1000014712953,in-media,
1000014782922,in-media,
1000014783016,in-media,
1000014782948,in-media,
1000014712955,in-media,
1000014712957,in-media,
1000014782940,in-media,
1000014782974,in-media,
1000014782944,in-media,
1000014782934,in-media,
1000014782924,in-media,
1000014611909,in-media,
1000014782960,in-media,
1000014782952,in-media,
1000012241252,in-media-uk,
1000015413016,in-media,
1000015107274,in-media,
