color_variant_id,container,reprocess
1000012765051,in-media-us,
1000013424889,in-media-us,
1000003684109,in-media-us,
1000010789833,in-media,
1000015596517,in-media,
1000016048423,in-media,
1000014082607,in-media,
1000013291837,in-media,
1000014782886,in-media,
1000013291829,in-media,
1000014782816,in-media,
1000012863158,in-media,
1000014782798,in-media,
1000011107390,in-media,
1000014712925,in-media,
1000013779022,in-media,
1000011107250,in-media,
1000013820907,in-media,
1000011342005,in-media,
1000006767584,in-media,
1000011841200,in-media-us,
1000005630624,in-media,
1000013272834,in-media-us,
1000015123488,in-media,
1000015413056,in-media,
1000011609358,in-media,
1000013535845,in-media,
1000014782878,in-media,
1000014782882,in-media,
1000012203669,in-media,
1000014782822,in-media,
1000012203671,in-media,
1000014782812,in-media,
1000015385966,in-media,
1000011849472,in-media,
1000012802954,in-media-us,
1000007160275,in-media,
1000012203661,in-media,
1000015116323,in-media,
1000015116325,in-media,
1000011624542,in-media,
1000007818426,in-media,
1000009015139,in-media,
1000011627506,in-media,
1000010959112,in-media,
1000014782808,in-media,
1000014782854,in-media,
1000014782858,in-media,
1000011995173,in-media,
1000015386038,in-media,
1000010902756,in-media,
1000014611869,in-media,
1000015386140,in-media,
