color_variant_id,container,reprocess
1000015601128-Blue-Blue,in-media,true
1000015601188-Beige-Beige,in-media,true
1000015601188-Blue-Blue,in-media,true
1000015601353-Grey-Grey,in-media,true
1000015601368-Multicolour,in-media-ea,true
1000015601413-Multicolour,in-media-ea,true
1000015606315-Multicolour,in-media,true
1100003891-Blue-Blue,in-media,true
1100004114-Blue-Blue,in-media-ea,true
1100004117-Cream-Beige,in-media,true
1100004136-Multicolour,in-media,true
1100004138-Blue-Blue,in-media,true
1100004140-Multicolour,in-media,true
1100004141-Multicolour,in-media,true
1100004142-Blue-Blue,in-media,true
1100004146-Pink-Pink,in-media,true
1100004147-Blue-Blue,in-media,true
1100004148-Blue-Blue,in-media,true
1100004153-Blue-Blue,in-media,true
1100004154-Multicolour,in-media,true
1100004155-Multicolour,in-media,true
1100004159-Multicolour,in-media,true
1100004161-Multicolour,in-media,true
1100004162-Multicolour,in-media,true
1100004166-Multicolour,in-media,true
1100004168-Multicolour,in-media,true
1100004416-White-White,in-media-ea,true
1100004491-Blue-Blue,in-media-ea,true
1100004511-Blue-Blue,in-media-ea,true
1100004563-White-White,in-media,true
1100004884-Multicolour,in-media,true
1100004885-Multicolour,in-media,true
1100004886-Multicolour,in-media,true
1100004887-Multicolour,in-media,true
1000014294651-Multicolour,in-media,true
1000014294771-Multi-MULTI,in-media,true
1000014295076-White-WHITE,in-media,true
1000014298339-White-White,in-media,true
1000014317024-Orange-Orange,in-media,true
1000014402690-Multi-MULTI,in-media,true
1000014602792-Multicolour,in-media,true
1000014602942-Multicolour,in-media,true
1000014615294-White-White,in-media,true
1000014938979-White-White,in-media,true
1000014939259-Blue-Blue,in-media,true
1000015064203-Blue-Blue,in-media,true
1000015148744-Green-Green,in-media,true
1000015239146-Grey-Grey,in-media,true
1000015600797-Blue-Blue,in-media-ea,true
1000015603788-White-White,in-media,true
1000015604035-Cream-Beige,in-media-ea,true
1000015604217-Cream-Beige,in-media,true
1000015604282-Beige-Beige,in-media,true
1000015604295-Blue-Blue,in-media,true
1000015604490-White-White,in-media,true
1000015604516-Blue-Blue,in-media,true
1000015606198-Blue-Blue,in-media-ea,true
1000015722406-Blue-Blue,in-media,true
1000015722439-Green-Green,in-media,true
1000015723095-Cream-Beige,in-media,true
1000015723134-Grey-Grey,in-media-ea,true
1000015723551-Green-Green,in-media,true
1000015723564-Green-Green,in-media,true
1000015723590-Blue-Blue,in-media-ea,true
1000015723616-Green-Green,in-media-ea,true
1000015723889-Blue-Blue,in-media-ea,true
1100003517-Blue-Blue,in-media-ea,true
1100003883-Blue-Blue,in-media-ea,true
1100003884-Blue-Blue,in-media-ea,true
1100003885-Blue-Blue,in-media-ea,true
1100003886-Blue-Blue,in-media-ea,true
1100003976-Yellow-Yellow,in-media-ea,true
1100003977-Beige-Beige,in-media-ea,true
1100003997-Blue-Blue,in-media-ea,true
1100004019-Orange-Orange,in-media-ea,true
1100004020-Beige-Beige,in-media,true
1100004030-Blue-Blue,in-media-ea,true
1100004032-White-White,in-media,true
1100004044-Green-Green,in-media,true
1100004292-Multicolour,in-media-ea,true
1100004293-Blue-Blue,in-media-ea,true
1100004295-Multicolour,in-media-ea,true
1100004296-Multicolour,in-media-ea,true
1100004406-White-White,in-media-ea,true
1100004410-White-White,in-media-ea,true
1100004450-Blue-Blue,in-media-ea,true
1100004453-Green-Green,in-media,true
1100004456-Yellow-Yellow,in-media-ea,true
1100004504-Blue-Blue,in-media-ea,true
1100004506-Blue-Blue,in-media-ea,true
1100005060-Blue-Blue,in-media-ea,true
1100005075-Blue-Blue,in-media-ea,true
1100005076-Grey-Grey,in-media-ea,true
1000014287657-White-WHITE,in-media,true
1000014294711-Multicolour,in-media,true
1000014294784-Multi-MULTI,in-media,true
1000014294985-White-WHITE,in-media,true
1000014295026-White-WHITE,in-media,true
1000014391696-White-WHITE,in-media,true
1000014615309-Blue-Blue,in-media,true
1000014615354-White-White,in-media,true
1000014762331-Multicolour,in-media,true
1000014762361-Multicolour,in-media,true
1000014762391-Multicolour,in-media,true
1000014938804-Grey-Grey,in-media,true
1000014938817-Blue-Blue,in-media,true
1000014949420-White-White,in-media,true
1000015054698-Beige-Beige,in-media,true
1000015141112-Cream-Beige,in-media,true
1000015290450-WhiteGreen,in-media,true
1000015600875-Blue-Blue,in-media,true
1000015600888-Grey-Grey,in-media,true
1000015601819-Beige-Cream,in-media-ea,true
1000015601832-Green-Green,in-media-ea,true
1000015601975-White-White,in-media,true
1000015602433-Grey-Grey,in-media,true
1000015602628-Beige-Beige,in-media,true
1000015602667-Grey-Grey,in-media,true
1000015603112-Blue-Blue,in-media,true
1000015603294-Cream-Beige,in-media,true
1000015603424-Navy-Blue,in-media,true
1000015603463-Green-Green,in-media,true
1000015603554-Blue-Blue,in-media,true
1000015603710-Beige-Beige,in-media-ea,true
1000015603762-Beige-Beige,in-media,true
1000015603814-Yellow-Yellow,in-media,true
1000015603931-Beige-Beige,in-media,true
1000015603957-Blue-Blue,in-media,true
1000015603970-White-White,in-media,true
1000015604061-Green-Green,in-media-ea,true
1000015604230-Yellow-Yellow,in-media,true
1000015604503-Beige-Beige,in-media,true
1000015604782-White-White,in-media,true
1000015604951-Multicolour,in-media,true
1000015605731-Green-Green,in-media-ea,true
1000015605790-Beige-Cream,in-media-ea,true
1000015605920-Green-Green,in-media,true
1000015606250-Green-Green,in-media,true
1000015608421-Blue-Blue,in-media-ea,true
1000015721327-White-White,in-media,true
1000015722175-Green-Green,in-media-ea,true
1000015722340-Yellow-Yellow,in-media,true
1000015722417-White-White,in-media-ea,true
1000015722692-Beige-Beige,in-media-ea,true
1000015722780-White-White,in-media,true
1000015722824-Blue-Blue,in-media,true
1000015722934-Green-Green,in-media-ea,true
1000015723043-Cream-Beige,in-media,true
1000015723056-Blue-Blue,in-media,true
1000015723108-Multicolour,in-media,true
1000015723121-Blue-Blue,in-media,true
1000015723876-Blue-Blue,in-media,true
1100003972-Cream-Beige,in-media-ea,true
1100003975-Blue-Blue,in-media-ea,true
1100003989-White-White,in-media-ea,true
1100004002-Multicolour,in-media-ea,true
1100004216-Green-Green,in-media-ea,true
1100004270-Grey-Grey,in-media-ea,true
1100004274-Multicolour,in-media-ea,true
