color_variant_id,container,reprocess
1000014793592-Multicolour,in-media-ea,true
1000014793606-Multicolour,in-media-ea,true
1000014793627-Multicolour,in-media-ea,true
1000014793634-Multicolour,in-media-ea,true
1000014793641-Multicolour,in-media-ea,true
1000014793655-Multicolour,in-media-ea,true
1000014793662-Multicolour,in-media-ea,true
1000014793669-Multicolour,in-media-ea,true
1000014793683-Multicolour,in-media-ea,true
1000014793697-Multicolour,in-media-ea,true
1000014793704-Multicolour,in-media-ea,true
1000014793718-Multicolour,in-media-ea,true
1000014793725-Multicolour,in-media-ea,true
1000014793732-Multicolour,in-media-ea,true
1000014793739-Multicolour,in-media-ea,true
1000014793753-Multicolour,in-media-ea,true
1000014793774-Multicolour,in-media-ea,true
1100000706-Multicolour,in-media-ea,true
1100000707-Multicolour,in-media-ea,true
1100000709-Multicolour,in-media-ea,true
1100000790-Multicolour,in-media-ea,true
1100000791-Multicolour,in-media-ea,true
1100000792-Multicolour,in-media-ea,true
1100000793-Multicolour,in-media,true
1100000794-Multicolour,in-media-ea,true
1000014263909-Multi-MULTI,in-media,true
1000014263935-Multi-MULTI,in-media,true
1000014409066-Yellow-YELLOW,in-media,true
1000014422276-Green-Green,in-media,true
1000014435631-Green-GREEN,in-media,true
1000014567393-White-White,in-media,true
1000014567419-Multicolour,in-media,true
1000014567484-White-White,in-media,true
1000014567551-Red-Red,in-media,true
1000014568221-White-White,in-media,true
1000014568456-Red-Red,in-media,true
1000014568713-Beige-Beige,in-media,true
1000014592352-White-White,in-media,true
1000014592378-Yellow-Yellow,in-media,true
1000014619043-Blue-Blue,in-media,true
1000014619302-Grey-Grey,in-media,true
1000014619344-Brown-Brown,in-media,true
1000014823593-White-White,in-media,true
1000014823614-Yellow-Yellow,in-media,true
1000015055594-Beige-Beige,in-media,true
1000015057263-Yellow-Yellow,in-media,true
1000015057315-White-White,in-media,true
1000015058178-Black-Black,in-media,true
1000015058229-Blue-Blue,in-media,true
1000015234315-Cream-Beige,in-media,true
1000015235826-Orange-Orange,in-media,true
1000015237723-Blue-Blue,in-media,true
1000015369196-Black-Black,in-media,true
1000015369235-Black-Black,in-media,true
1000015369472-Black-Black,in-media,true
1000015369556-Black-Black,in-media,true
1000015373634-Multicolour,in-media,true
1000015374646-Multicolour,in-media,true
1000015592653-White-White,in-media,true
1000015667750-Green-Green,in-media-ea,true
1000015679936-Multicolour,in-media-ea,true
1000015717067-Blue-Blue,in-media,true
1000015718356-Orange-Orange,in-media-ea,true
1000015718447-Grey-Grey,in-media-ea,true
1000015718670-Yellow-Yellow,in-media,true
1000015779412-Beige-Cream,in-media,true
1100000795-Multicolour,in-media-ea,true
1100001413-Cream-Beige,in-media-ea,true
1100001459-Multicolour,in-media,true
1100001600-Brown-Brown,in-media-ea,true
1100001918-Black-Black,in-media-ea,true
1100001929-Blue-Blue,in-media-ea,true
1000014568030-White-White,in-media,true
1000014568306-Grey-Grey,in-media,true
1000014568511-White-White,in-media,true
1000014568734-Grey-Grey,in-media,true
1000014589784-Grey-Grey,in-media,true
1000014589805-Green-Green,in-media,true
1000015055161-Green-Green,in-media,true
1000015055265-Cream-Beige,in-media,true
1000015055317-Blue-Blue,in-media,true
1000015055560-Blue-Blue,in-media,true
1000015055696-Grey-Grey,in-media,true
1000015057185-Beige-Beige,in-media,true
1000015058246-Beige-Beige,in-media,true
1000015058450-Green-Green,in-media,true
1000015058467-Multicolour,in-media,true
1000015234393-Grey-Grey,in-media,true
1000015234406-Black-Black,in-media,true
1000015369047-Yellow-Yellow,in-media,true
1000015369086-Blue-Blue,in-media,true
1000015371353-Peach-Pink,in-media,true
1000015374667-Pink-Pink,in-media,true
1000015374709-White-White,in-media,true
1000015591244-Orange-Orange,in-media-ea,true
1000015592636-Black-Black,in-media-ea,true
1000015592738-Black-Black,in-media-ea,true
1000015592772-Black-Black,in-media,true
1000015592789-Grey-GreyMelange,in-media,true
1000015667477-Grey-Grey,in-media,true
1000015667490-Black-Black,in-media,true
1000015667620-Beige-Cream,in-media,true
1000015667789-Cream-Beige,in-media,true
1000015667815-Multicolour,in-media,true
1000015679338-Blue-Blue,in-media-ea,true
1000015679351-Beige-Cream,in-media,true
1000015679611-Multicolour,in-media,true
1000015679689-Beige-Cream,in-media,true
1000015680079-White-White,in-media-ea,true
1000015717132-Black-Black,in-media,true
1000015717184-Multicolour,in-media,true
1000015717223-Grey-Grey,in-media,true
1000015779048-Beige-Beige,in-media,true
1000015779464-Beige-Beige,in-media,true
1000015779503-Beige-Cream,in-media,true
1000015779568-Blue-Blue,in-media,true
1000015835480-White-White,in-media,true
1000015835514-Grey-Grey,in-media-ea,true
