sku_id,container,category
1000012561876-Beige-Beige,in-media-uk,code-men
1000012561876-Blue-Blue,in-media-uk,code-men
1000012561876-Blue-DarkNavy,in-media-uk,code-men
1000012561876-Green-Olive,in-media-uk,code-men
1000012561876-Grey-LightGrey,in-media-uk,code-men
1000012167755-Black-Black,in-media-uk,code-men
1000012167755-Blue-Blue,in-media-uk,code-men
1000012167755-Blue-Navy,in-media-uk,code-men
1000012561876-Black-Black,in-media-uk,code-men
1000013538243-Beige-Beige,in-media-us,code-men
1000013538243-Black-Black,in-media-us,code-men
1000013538243-Blue-Blue,in-media-us,code-men
1000012167755-Grey-Grey,in-media-uk,code-men
