sku_id,container,category
1000013825112-Black-Black,in-media-us,fahrenheit-men
1000013825112-Blue-Navy,in-media-us,fahrenheit-men
1000013825112-Grey-GreyMelange,in-media-us,fahrenheit-men
1000013825112-Blue-DenimMlnge,in-media-us,fahrenheit-men
1000013782978-Black-Black,in-media-us,fahrenheit-men
1000013782978-Grey-DarkGrey,in-media-us,fahrenheit-men
1000013782978-Beige-Beige,in-media-us,fahrenheit-men
1000013591779-Blue-Navy,in-media-us,fahrenheit-men
1000013179822-Blue-DarkBlue,in-media-uk,fahrenheit-men
1000013179822-Grey-DarkGrey,in-media-uk,fahrenheit-men
1000013179822-Yellow-Mustard,in-media-uk,fahrenheit-men
1000013179822-Green-Green,in-media-uk,fahrenheit-men
1000008960838-Black-Black,in-media-uk,fahrenheit-men
1000008960838-Blue-IceBlue,in-media-uk,fahrenheit-men
1000008960838-Green-Olive,in-media-uk,fahrenheit-men
1000008960838-Green-SeaGreen,in-media-uk,fahrenheit-men
1000008960838-Pink-Peach,in-media-uk,fahrenheit-men
1000008960838-Yellow-Dyellow,in-media-uk,fahrenheit-men
1000005132976-Var3107-Blue-Dark-Blue,in-media-uk,fahrenheit-men
1000011335739-Blue-Denim,in-media-uk,fahrenheit-men
1000011335739-Blue-Navy,in-media-uk,fahrenheit-men
1000011335739-Grey-GreyMelange,in-media-uk,fahrenheit-men
