color_variant_id,container,reprocess
1000016421179-Beige-Beige,in-media,
1000016421170-Grey-Grey,in-media,
1000016421188-White-White,in-media,
1000016545479-Black-Black,in-media,
1000016421197-White-White,in-media,
1000015894203-Black-Black,in-media-ea,
1000015778944-White-White,in-media,
1000015923263-White-White,in-media,
1000015923268-White-White,in-media,
1000016631202-Blue-NavyBlue,in-media-ea,
1000015531983-Black-Black,in-media,
1000015923283-Grey-Grey,in-media,
1000014014597-Blue-BlueNavyDen,in-media,
1000015778899-Black-Black,in-media-ea,
1000016631196-Red-Red,in-media-ea,
1000015923301-White-White,in-media,
1000015923355-Red-Red,in-media,
1000012512385-Blue-Navy,in-media,
1000015157249-Brown-NaturalKha,in-media,
1000012512309-Red-Red,in-media-us,
1000015894159-Black-Black,in-media-ea,
1000015069191-Black-Black,in-media,
1000015157265-Grey-Grey,in-media,
1000016203013-Blue-Turquoise,in-media-ea,
1000015753683-White-OffWhite,in-media,
1000014962940-Multicolour,in-media,
1000014049430-Brown-Brown,in-media,
1000013720690-Black-Black,in-media,
1000015955977-Blue-BlueNavyDen,in-media,
1000015051990-Brown-Brown,in-media,
1000016093345-White-White,in-media,
1000015561743-Blue-BlueNavyDen,in-media,
1000015574470-White-White,in-media,
1000015778914-Blue-Navy,in-media-ea,
1000015637309-Blue-Navy,in-media,
1000015177190-White-White,in-media,
1000013720674-Black-Black,in-media,
1000015397788-Black-Black,in-media,
1000015052016-Blue-Navy,in-media,
1000014595291-Black-BlackRed,in-media,
1000015177190-Black-Black,in-media,
1000015397798-Black-Black,in-media,
1000015157312-Blue-Navy,in-media,
1000012512300-Black-BlackRed,in-media,
1000012512407-Grey-Grey,in-media,
1000015894163-Blue-NavyBlue,in-media-ea,
1000015157276-Black-Black,in-media,
1000015923319-White-White,in-media,
1000015123624-White-White,in-media,
1000015397793-Blue-BlueNavyDen,in-media,
1000014261692-Black-Black,in-media,
1000014962886-Multicolour,in-media,
