color_variant_id,container,reprocess
1000016569270-Blue-BlueNavyDen,in-media,
1000016421206-Pink-PinkRaniPin,in-media,
1000016462470-White-White,in-media,
1000016421215-White-White,in-media,
1000016462470-Pink-PinkRaniPin,in-media,
1000016569212-Gold-Gold,in-media,
1000016569241-Grey-Silver,in-media,
1000015923370-Pink-PinkRaniPin,in-media,
1000014014609-Pink-PinkRaniPin,in-media,
1000015923306-White-White,in-media,
1000015561771-Grey-Silver,in-media,
1000015177230-Purple-Lilac,in-media,
1000015894292-Black-Black,in-media-ea,
1000015154799-Grey-Silver,in-media,
1000015769751-White-White,in-media,
1000015140489-White-White,in-media,
1000015953663-Red-Red,in-media,
1000016295902-Pink-PinkRaniPin,in-media-ea,
1000015155067-Gold-LightGold,in-media,
1000015384795-Pink-PinkRaniPin,in-media,
1000015561827-White-White,in-media,
1000015397853-Purple-Purple,in-media,
1000015123792-Beige-Beige,in-media,
1000015155017-Pink-PinkRaniPin,in-media,
1000015561801-Grey-Silver,in-media,
1000015123767-Purple-Lilac,in-media,
1000015157400-Purple-Lavender,in-media,
1000015157377-Pink-PinkRaniPin,in-media,
1000015157400-Pink-LightPink,in-media,
1000015151778-Beige-Beige,in-media,
1000015151791-Gold-LightGold,in-media,
1000015123767-Pink-PinkRaniPin,in-media,
1000015151804-Pink-PinkRaniPin,in-media,
