color_variant_id,container,reprocess
1000016428041-Green-Olive,in-media-ea,
1000016428041-Beige-Beige,in-media-ea,
1000015365371-Brown-Brown,in-media-ea,
1000016471278-Black-Black,in-media,
1000016471278-Brown-Brown,in-media,
1000015157135-White-White,in-media,
1000016428041-Black-Black,in-media-ea,
1000013022735-Brown-Tan,in-media,
1000015572993-Black-Black,in-media,
1000015645985-Grey-LightGrey,in-media,
1000013708339-Black-Black,in-media-us,
1000015221988-Blue-BlueNavyDen,in-media,
1000015922525-Black-Black,in-media,
1000016104598-Grey-Grey,in-media,
1000016636591-Beige-Beige,in-media-ea,
1000013708265-White-White,in-media-us,
1000015138248-Black-Black,in-media,
1000015232648-Green-Olive,in-media,
1000015424562-Green-Green,in-media,
1000015753689-White-OffWhite,in-media,
1000016370985-Grey-Grey,in-media-ea,
1000012826638-Grey-Grey,in-media,
1000015922960-Black-Black,in-media-ea,
1000014422748-White-White,in-media,
1000015922936-Green-Green,in-media,
1000014644540-Black-Black,in-media,
1000016104580-Blue-BlueNavyDen,in-media,
1000015221967-Black-Black,in-media,
1000015221981-Grey-Grey,in-media,
1000016201251-Grey-Grey,in-media,
1000015121649-Brown-Brown,in-media,
1000015204580-Black-Black,in-media,
1000016078945-Brown-Brown,in-media,
1000016104545-Black-Black,in-media,
1000012435316-Black-Black,in-media,
1000013022696-Brown-Tan,in-media-ea,
1000013663256-Black-Black,in-media,
1000014234085-White-White,in-media,
1000014234433-Black-Black,in-media-ea,
1000015157010-White-White,in-media,
1000015157169-Multicolour,in-media,
1000016054177-Red-Maroon,in-media,
1000016142083-Black-Black,in-media,
1000015199414-Brown-Brown,in-media,
1000015596256-Beige-Beige,in-media-ea,
1000016299057-Black-Black,in-media,
1000015121841-White-White,in-media,
1000015222174-Black-Black,in-media,
1000015804352-Beige-Beige,in-media,
1000015157003-Blue-NavyBlue,in-media,
1000015157049-Brown-Chestnut,in-media-ea,
1000015204710-Black-Black,in-media-ea,
1000012341790-Green-Olive,in-media,
1000014234098-Black-Black,in-media,
1000015204333-Brown-Brown,in-media,
1000015204606-Black-Black,in-media,
1000015204619-Black-Black,in-media,
1000016275473-Green-Olive,in-media-ea,
1000013663080-Black-Black,in-media,
1000014456764-Green-Olive,in-media,
1000015600465-White-White,in-media,
1000012435738-Black-Black,in-media,
1000015157156-Brown-NaturalKha,in-media,
1000015204450-Black-Black,in-media,
1000016178244-Yellow-Mustard,in-media,
1000013663022-Black-Black,in-media,
1000014456820-White-White,in-media,
1000015121720-Beige-Beige,in-media,
1000015204307-Black-Black,in-media,
1000015204372-Brown-Brown,in-media-ea,
1000015204710-Brown-Tan,in-media-ea,
1000015278005-Green-LightGreen,in-media,
1000016054151-White-White,in-media,
1000016178244-Grey-Grey,in-media,
1000014234252-Black-Black,in-media,
1000014452557-Black-Black,in-media-ea,
1000015121841-Blue-BlueNavyDen,in-media,
1000015204619-Blue-Navy,in-media,
1000014234098-Green-Olive,in-media,
1000015204476-Brown-Tan,in-media,
1000016054151-Green-Olive,in-media,
1000010815192-Black,in-media,
1000013022392-Brown-Tan,in-media,
1000015204190-Black-Black,in-media-ea,
1000013663243-Brown-Tan,in-media,
1000015204242-White-White,in-media,
1000015204255-Blue-Navy,in-media,
1000015313129-Brown-Tan,in-media,
1000015600465-Red-Red,in-media,
1000016078958-Black-Black,in-media,
1000016054151-Black-Black,in-media,
1000012435738-Brown-Tan,in-media,
1000013002053-Black-Black,in-media,
1000013022585-White-White,in-media,
1000014114642-Grey-LightGrey,in-media,
1000014234085-Green-Olive,in-media,
1000015204307-Blue-Navy,in-media,
1000015204476-Black-Black,in-media,
1000015204424-Brown-Tan,in-media,
1000015204658-Brown-Tan,in-media-ea,
1000016078958-Brown-Tan,in-media,
1000011495958-Black-Black,in-media,
1000015576185-Brown-DarkBrown,in-media,
1000015600445-White-OffWhite,in-media,
1000012435784-Black-Black,in-media-ea,
1000013022696-Black-Black,in-media-ea,
1000013022811-Black-Black,in-media,
1000013038127-Blue-Navy,in-media,
1000015204398-Brown-Tan,in-media,
1000015672944-Black-Black,in-media,
1000015672958-Green-Teal,in-media,
1000013022902-Black-Black,in-media,
1000015157156-White-White,in-media,
1000015576141-Black-Black,in-media,
1000015204411-Brown-Tan,in-media-ea,
1000015204567-Black-Black,in-media-ea,
1000015672951-Blue-Navy,in-media,
1000012512096-Black-Black,in-media,
1000014234072-White-White,in-media,
1000014234620-Black-Black,in-media-ea,
1000015204183-Brown-Tan,in-media-ea,
1000015204515-Brown-Brown,in-media-ea,
1000014753670-Black-Black,in-media,
1000015204281-Black-Black,in-media,
1000015204450-Brown-Tan,in-media,
1000014234310-Brown-Tan,in-media,
1000014234401-Brown-Tan,in-media-ea,
1000015204580-Brown-Tan,in-media,
1000015204658-Black-Black,in-media-ea,
1000015545294-Brown-Charcoal,in-media,
1000013662995-Green-Olive,in-media-ea,
1000014456792-Blue-Navy,in-media,
1000015204281-Brown-Tan,in-media,
1000015576185-Blue-Navy,in-media,
1000016275473-Grey-Grey,in-media-ea,
1000016078757-Beige-Beige,in-media,
1000013674952-Blue-Navy,in-media,
1000014114642-Green-Green,in-media,
1000015204424-Brown-Brown,in-media,
1000014234233-Grey-Grey,in-media,
1000014234433-Brown-Brown,in-media-ea,
1000015593917-White-White,in-media,
1000016054170-Green-Olive,in-media,
1000013022462-Black-Black,in-media,
1000015121872-Blue-SkyBlueNavy,in-media,
1000015157149-Blue-Navy,in-media,
1000016178244-Blue-NavyBlue,in-media,
1000014234026-Black-Black,in-media,
1000015524267-Black-Black,in-media,
1000015596194-Blue-BlueNavyDen,in-media,
1000015414278-Black-Black,in-media,
1000015648642-White-White,in-media,
1000015648668-Green-Green,in-media,
1000015951552-Blue-MidBlue,in-media,
1000015648628-Black-Black,in-media,
1000015745190-Black-Black,in-media,
1000016032865-Black-Black,in-media,
1000014448950-Black-Black,in-media,
1000015858411-Black-Black,in-media,
1000016209697-Grey-Grey,in-media,
1000013814059-Black-Black,in-media-us,
1000015424549-Grey-Grey,in-media,
1000015752490-Brown-Tan,in-media,
1000016209705-Grey-Grey,in-media,
1000014198336-Beige-Beige,in-media,
1000014414428-Grey-LightGrey,in-media,
1000014644540-Brown-Brown,in-media,
1000015040896-Black-Black,in-media,
1000015116109-Black-Black,in-media,
1000016312620-Black-Black,in-media-ea,
1000015245741-White-White,in-media,
1000015401427-White-PearlWhite,in-media,
1000015745003-Blue-Indigo,in-media,
1000013160072-Black-Black,in-media,
1000015648695-Black-Black,in-media,
1000015821113-Brown-Tan,in-media,
1000016046082-Black-Black,in-media,
1000016209686-Black-Black,in-media,
1000014629195-Black-Black,in-media,
1000015232655-Black-Black,in-media,
1000015401434-Red-WhtRed,in-media,
1000015648662-Black-Black,in-media,
1000015752483-Brown-Tan,in-media,
1000015952449-Black-Black,in-media,
1000015821120-Brown-Tan,in-media,
1000015913929-Brown-Brown,in-media-ea,
1000014297992-Black-Black,in-media,
1000015951524-Black-Black,in-media,
1000013282042-Black-Black,in-media,
1000013866393-Black-Black,in-media-us,
1000015648702-White-White,in-media,
1000015755236-Black-Black,in-media,
1000015157122-Brown-Charcoal,in-media,
1000015952428-Brown-Tan,in-media,
1000012512138-Black-Black,in-media-us,
1000013440165-Red-NavyRed,in-media-us,
1000014825543-Brown-Brown,in-media,
1000015397770-Grey-Grey,in-media,
1000015596256-Brown-Brown,in-media-ea,
1000011829957-Brown-Tan,in-media,
1000015156408-Beige-Beige,in-media,
1000015168122-Black-Black,in-media,
1000015899419-Blue-Navy,in-media-ea,
1000015991986-Grey-Grey,in-media,
1000016078666-Black-Black,in-media,
1000015397714-Blue-BlueNavyDen,in-media,
1000015573018-Green-Olive,in-media,
1000013022974-Brown-Brown,in-media,
1000015114913-Beige-Beige,in-media,
1000015899412-Red-NavyRed,in-media-ea,
1000015991937-Grey-Grey,in-media,
1000014261280-Black-Black,in-media,
1000015041044-Green-Olive,in-media,
1000012435797-Brown-Tan,in-media,
1000014198311-Grey-Grey,in-media,
1000015156990-Brown-Charcoal,in-media,
1000014261084-White-White,in-media,
1000014261091-Blue-BlueNavyDen,in-media,
1000014825510-Brown-Charcoal,in-media,
1000015951546-Black-Black,in-media,
1000015222181-Black-Black,in-media,
1000015230504-Green-Green,in-media,
1000015991944-Grey-Grey,in-media,
1000013675137-Blue-Navy,in-media,
1000014035807-Blue-Navy,in-media,
1000015367473-Black-Black,in-media,
1000015666455-Brown-Tan,in-media,
1000015174620-Black-Black,in-media,
1000015199389-White-White,in-media,
1000016104562-Black-Black,in-media,
1000015922913-Black-Black,in-media,
1000016078627-Brown-Brown,in-media,
1000011225332-White,in-media,
1000015392362-Green-DarkGreen,in-media,
1000015397676-Black-Black,in-media,
1000015913698-White-White,in-media-ea,
1000015922869-Grey-Grey,in-media,
1000014324965-Brown-Tan,in-media,
1000015039104-Green-Green,in-media,
1000015365371-Beige-Beige,in-media,
1000016123996-Blue-BlueNavyDen,in-media-ea,
1000011830041-Black,in-media,
1000015222058-Black-Black,in-media,
1000015230539-Multicolour,in-media,
1000015317809-White-White,in-media,
1000015397720-Grey-Grey,in-media-ea,
1000015576202-Black-Black,in-media,
1000014198349-Black-Black,in-media,
1000015174595-Black-Black,in-media,
1000015991923-White-White,in-media-ea,
1000016024150-Brown-Brown,in-media,
1000016078666-Brown-Brown,in-media,
1000014234207-Black-Black,in-media,
1000015991951-Black-Black,in-media,
1000014825478-Brown-Charcoal,in-media,
1000015199414-Beige-Beige,in-media,
1000015221813-Grey-Grey,in-media,
1000015991958-White-White,in-media,
1000014612786-Brown-Tan,in-media,
1000015821846-Brown-Charcoal,in-media-ea,
1000016171201-Black-Black,in-media,
1000013022644-Black-Black,in-media,
1000014215387-Black-Black,in-media,
1000015157088-Black-Black,in-media,
1000015174620-Brown-Tan,in-media,
1000015222065-White-White,in-media,
1000014215168-Black-Black,in-media,
1000015645994-Black-Black,in-media-ea,
1000016104643-Black-Black,in-media,
1000014198349-White-White,in-media,
1000014260993-Grey-Grey,in-media,
1000015230518-White-White,in-media,
1000015992000-Black-Black,in-media,
1000012545039-White-OffWhite,in-media,
1000015116983-Black-Black,in-media,
1000015899398-Brown-Charcoal,in-media-ea,
1000013088750-White-White,in-media,
1000014261329-White-White,in-media,
1000015037920-Brown-Tan,in-media,
1000016104550-White-White,in-media,
1000015819971-Grey-Grey,in-media,
1000014035770-Green-Olive,in-media,
1000015040970-Beige-Beige,in-media,
1000014261077-Black-Black,in-media,
1000015204567-Brown-Brown,in-media-ea,
1000015573055-Black-Black,in-media,
1000015666468-Brown-Tan,in-media,
1000012435797-Black-Black,in-media,
1000013022902-Brown-Brown,in-media,
1000015121629-Multicolour,in-media,
1000015121783-White-White,in-media,
1000013022824-Black-Black,in-media,
1000015204515-Black-Black,in-media-ea,
1000012146652-Brown-Tan,in-media,
1000013038153-Blue-BlueNavyDen,in-media,
1000015204242-Green-Olive,in-media,
1000012191329-Brown-Tan,in-media,
1000015157122-Grey-WhiteGrey,in-media,
1000012512159-Brown-Charcoal,in-media,
1000013662969-Black-Black,in-media,
1000014233941-White-White,in-media,
1000015204333-Black-Black,in-media,
1000012937403-Black-Black,in-media,
1000013735482-Brown-Tan,in-media-us,
1000014259755-Black-Black,in-media,
1000015097788-Black-Black,in-media,
1000015424529-Black-Black,in-media,
1000015648675-Black-Black,in-media,
1000016160166-Black-Black,in-media,
1000012845208-Black-Black,in-media,
1000013663054-Black-Black,in-media,
1000014233895-Black-Black,in-media,
1000015576196-Red-BordoRosewoo,in-media,
1000015593930-White-White,in-media,
1000015769556-Grey-Grey,in-media,
1000015116983-Brown-Brown,in-media,
1000015121841-Red-Red,in-media,
1000011801881-Brown-Tan,in-media,
1000015424555-Black-Black,in-media,
1000015745197-Black-Black,in-media,
1000015745407-Black-Black,in-media,
1000015952442-Brown-Brown,in-media,
1000014448978-Brown-Brown,in-media,
1000015305858-Multicolour,in-media,
1000015401469-Grey-Grey,in-media,
1000015745573-White-White,in-media,
1000016186891-Black-Black,in-media,
1000014448985-Grey-Grey,in-media,
1000015951567-White-OffWhite,in-media,
1000015041081-White-White,in-media,
