color_variant_id,container,reprocess
1000016503278-Black-Black,in-media-ea,
1000016609496-Black-Black,in-media,
1000016503265-Yellow-Yellow,in-media,
1000016569150-Pink-DustySalmon,in-media,
1000016569150-Gold-LightGold,in-media,
1000016433702-Beige-Cream,in-media,
1000016503343-Pink-DustySalmon,in-media,
1000016115734-Brown-Brown,in-media,
1000015135604-Black-Black,in-media,
1000016423235-Brown-Tan,in-media,
1000016503317-Green-GreenOlive,in-media,
1000016569150-Red-BordoRosewoo,in-media,
1000016586582-Black-Black,in-media-ea,
1000016650776-Brown-Brown,in-media-ea,
1000016631095-White-White,in-media-ea,
1000016650776-Beige-Beige,in-media-ea,
1000016423235-Pink-DustySalmon,in-media,
1000016569150-Black-Black,in-media,
1000016590909-Beige-Beige,in-media,
1000016231686-Black-Black,in-media,
1000016621532-Gold-LightGold,in-media,
1000015122539-Beige-Cream,in-media,
1000015122726-Black-Black,in-media,
1000015760253-Black-Black,in-media,
1000015864945-Black-Black,in-media,
1000014026735-Black-Black,in-media,
1000014026755-Black-Black,in-media,
1000014321108-Black-Black,in-media,
1000015071414-Beige-Beige,in-media,
1000016231686-Beige-Beige,in-media,
1000012468055-Black-Black,in-media,
1000014968615-Brown-Tan,in-media,
1000015579855-Brown-Tan,in-media-ea,
1000016185928-Brown-Brown,in-media,
1000016503330-Beige-Cream,in-media,
1000015258660-Black-Black,in-media,
1000015221697-White-White,in-media,
1000014026894-Beige-Cream,in-media,
1000014260945-White-White,in-media,
1000014938001-Beige-Beige,in-media,
1000014938031-Beige-Beige,in-media,
1000014955351-Blue-Antique,in-media,
1000014955351-Black-Black,in-media,
1000015071433-Brown-Tan,in-media,
1000015175500-Gold-Gold,in-media,
1000015175559-Beige-Beige,in-media,
1000015175569-Silver-Sultan,in-media,
1000015922574-Pink-PinkRaniPin,in-media-ea,
1000016231686-Brown-Brown,in-media,
1000014146104-Grey-Pewter,in-media,
1000015135604-Pink-DustySalmon,in-media,
1000015548124-Pink-DustySalmon,in-media,
1000015588237-Green-Green,in-media,
1000015644062-Black-Black,in-media-ea,
1000011823704-Beige-Beige,in-media,
1000014026745-Blue-Antique,in-media,
1000014026805-Gold-Gold,in-media,
1000014321058-Pink-Peach,in-media,
1000014321137-Black-Black,in-media,
1000014937953-Black-Black,in-media,
1000014938031-Brown-ChikooMous,in-media,
1000015071470-Black-Black,in-media,
1000015175461-Black-Black,in-media,
1000015175549-Gold-Gold,in-media,
1000015221685-White-White,in-media,
1000015221691-White-White,in-media,
1000016019365-Black-Black,in-media,
1000016019433-Beige-Beige,in-media,
1000016092417-Black-Black,in-media,
1000014891812-Black-Black,in-media,
1000014260849-White-White,in-media,
1000015071519-Black-Black,in-media,
1000015221605-Black-Black,in-media,
1000014390656-Blue-LightBlue,in-media,
1000015279483-Blue-BlueNavyDen,in-media,
1000013707761-Blue-BlueNavyDen,in-media-us,
1000014827921-White-White,in-media,
1000014968490-Brown-Brown,in-media-ea,
1000015548012-Black-Black,in-media,
1000015993566-Beige-Beige,in-media,
1000016019355-Brown-Tan,in-media,
1000015117569-Green-GreenOlive,in-media,
1000014751396-Grey-Grey,in-media,
1000015258587-Multicolour,in-media,
1000015579729-Black-Black,in-media-ea,
1000011830597-Brown,in-media,
1000013719558-Gold-Gold,in-media-ea,
1000015258488-Green-Teal,in-media,
1000011110554-BLUSH,in-media,
1000013001765-Black-Black,in-media,
1000015258544-Multicolour,in-media,
1000015258572-Brown-Tan,in-media,
1000015662718-Brown-Brown,in-media,
1000014394769-Beige-Beige,in-media,
1000014962458-Multicolour,in-media,
1000015109956-Beige-Beige,in-media,
1000015117590-Black-Black,in-media,
1000015135604-Beige-Beige,in-media,
1000015385096-Gold-LightGold,in-media,
1000015643918-Beige-Cream,in-media-ea,
1000016124721-Gold-LightGold,in-media,
1000014084788-Pink-Peach,in-media,
1000013134414-Blue-BlueNavyDen,in-media-us,
1000013810529-Yellow-Yellow,in-media,
1000015156902-White-White,in-media,
1000014597773-Red-Red,in-media,
1000015258407-Blue-BlueNavyDen,in-media,
1000015258429-Yellow-Yellow,in-media,
1000015388530-Beige-Beige,in-media,
1000014825423-Grey-Grey,in-media,
1000014832317-Gold-Gold,in-media,
1000015156798-Grey-Grey,in-media,
1000015279490-Brown-Tan,in-media,
1000016141883-Black-Black,in-media-ea,
1000014627824-Brown-Tan,in-media,
1000015156881-Pink-Blush,in-media,
1000013719447-Gold-Gold,in-media,
1000013719504-Black-Black,in-media,
1000015545275-Blue-Navy,in-media,
1000015585391-Grey-Silver,in-media,
1000015258437-Green-Green,in-media,
1000015258445-Multicolour,in-media,
1000013177942-Blue-Navy,in-media-us,
1000013587660-Grey-Gunmetal,in-media-us,
1000014832274-Brown-Brown,in-media,
1000015258509-Black-Black,in-media,
1000015258523-Red-Red,in-media,
1000015258530-Grey-Gunmetal,in-media,
1000016141931-Purple-PurpleMau,in-media-ea,
1000014097181-Blue-BlueNavyDen,in-media,
1000016141853-Blue-Navy,in-media-ea,
1000015531557-Beige-Beige,in-media,
1000015532581-Silver-Sultan,in-media,
1000014390571-Blue-Navy,in-media,
1000013177910-Beige-GoldBeige,in-media-us,
1000015279497-Brown-Tan,in-media,
1000015545259-Grey-Grey,in-media,
1000014343344-Pink-LightPink,in-media,
1000015313117-Blue-WhiteBlue,in-media,
1000015258516-Brown-Brown,in-media,
1000015313105-Grey-Grey,in-media,
1000015662711-Black-Black,in-media,
1000015258595-Grey-Gunmetal,in-media,
1000013001627-Black-Black,in-media,
1000014084845-White-White,in-media,
1000014597780-Beige-Beige,in-media,
1000014832288-Grey-Silver,in-media,
1000015258474-Beige-Beige,in-media,
1000012504566-Black-Black,in-media,
1000015258558-Multicolour,in-media,
1000014595241-Red-BordoRosewoo,in-media,
1000015115062-Pink-RosePink,in-media,
1000015258537-Silver-Sultan,in-media,
1000015313111-Multicolour,in-media,
1000015769447-Pink-RosePink,in-media-ea,
1000015258565-Brown-Bronze,in-media,
1000015258467-Black-Black,in-media,
1000015532605-Grey-Grey,in-media,
1000015545248-Purple-PurpleMau,in-media,
1000014345706-Black-Black,in-media,
1000014968490-Pink-Ivory,in-media-ea,
1000015027140-Beige-Beige,in-media,
1000015027153-Blue-BlueNavyDen,in-media,
1000015068729-Beige-Cream,in-media,
