sku_id,container,reprocess
1000015300909-Black-Black,in-media,
1000014968490-Black-Black,in-media,
1000015068729-Beige-Cream,in-media,
1000015289482-Black-Black,in-media,
1000015026976-Brown-Tan,in-media,
1000015638945-Black-Black,in-media,
1000015548086-Black-Black,in-media,
1000014968578-Silver-Sultan,in-media,
1000015548086-Beige-Beige,in-media,
1000015151753-Grey-Grey,in-media,
1000015109762-White-White,in-media,
1000015495241-Brown-Brown,in-media,
1000015547872-Pink-Ivory,in-media,
1000015168097-Black-Black,in-media,
1000015168600-Yellow-Lemon,in-media,
1000015095928-White-White,in-media,
1000015177104-White-White,in-media,
1000015367557-Grey-Grey,in-media,
1000015186462-White-White,in-media,
1000016515242-Green-Olive,in-media,
1000016423444-Beige-Cream,in-media-ea,
1000016400349-Brown-Brown,in-media-ea,
1000016515242-Blue-Navy,in-media,
1000016423135-Gold-LightGold,in-media-ea,
