color_variant_id,container,reprocess
1000015602040-Green-Green,in-media-ea,true
1000015602105-White-White,in-media,true
1000015602118-White-White,in-media,true
1000015602459-White-White,in-media,true
1000015603359-Orange-Orange,in-media,true
1000015603528-White-White,in-media,true
1000015604847-White-White,in-media-ea,true
1000015605679-White-White,in-media,true
1000015605692-Green-Green,in-media,true
1000015713589-Purple-Purple,in-media,true
1000015713602-Purple-Purple,in-media,true
1000015713628-Purple-Purple,in-media,true
1000015722263-Pink-Pink,in-media-ea,true
1000015722791-Pink-Pink,in-media,true
1000015723017-Pink-Pink,in-media,true
1000015723069-Pink-Pink,in-media,true
1000015723160-Green-Green,in-media-ea,true
1000015723173-Pink-Pink,in-media-ea,true
1000015723186-Pink-Pink,in-media,true
1000015723694-Cream-Beige,in-media-ea,true
1100004000-Blue-Blue,in-media-ea,true
1100004115-Pink-Pink,in-media-ea,true
1100004137-Multicolour,in-media,true
1100004139-Multicolour,in-media,true
1100004143-Multicolour,in-media,true
1100004144-Pink-Pink,in-media,true
1100004145-Multicolour,in-media,true
1100004149-Pink-Pink,in-media,true
1100004150-White-White,in-media,true
1100004206-Pink-Pink,in-media-ea,true
1100004211-White-White,in-media-ea,true
1100004324-Pink-Pink,in-media-ea,true
1100004565-White-White,in-media-ea,true
1100004566-Green-Green,in-media-ea,true
1100004568-Red-Red,in-media-ea,true
1000015107332-White-White,in-media,true
1000015148939-Pink-Pink,in-media,true
1000015601158-Multicolour,in-media,true
1000015601263-Multicolour,in-media,true
1000015601278-Pink-Pink,in-media,true
1000015601308-Multicolour,in-media,true
1000015601338-Pink-Pink,in-media,true
1000015601398-Multicolour,in-media,true
1000015601485-White-White,in-media,true
1000015602712-White-White,in-media-ea,true
1000015602721-White-White,in-media,true
1000015606312-Multicolour,in-media,true
1000015936108-Pink-Pink,in-media,true
1100002932-White-White,in-media-ea,true
1100004152-Pink-Pink,in-media,true
1100004156-Multicolour,in-media,true
1100004157-Multicolour,in-media,true
