color_variant_id,container,reprocess
1100000797-Multicolour,in-media-ea,true
1100000798-Multicolour,in-media-ea,true
1100000800-Multicolour,in-media-ea,true
1100000801-Multicolour,in-media-ea,true
1100000803-Multicolour,in-media-ea,true
1100000805-Multicolour,in-media,true
1000014793781-Multicolour,in-media-ea,true
1000014793788-Multicolour,in-media-ea,true
1000014793795-Multicolour,in-media-ea,true
1000014793809-Multicolour,in-media-ea,true
1000014793816-Multicolour,in-media-ea,true
1000014793823-Multicolour,in-media-ea,true
1000014793830-Multicolour,in-media-ea,true
1000014793837-Multicolour,in-media-ea,true
1000014793844-Multicolour,in-media-ea,true
1000014793851-Multicolour,in-media,true
1000014793858-Multicolour,in-media-ea,true
1000014793865-Multicolour,in-media-ea,true
1000014793872-Multicolour,in-media-ea,true
1000014793879-Multicolour,in-media-ea,true
1000014793886-Multicolour,in-media-ea,true
1000014793893-Multicolour,in-media-ea,true
1000014793900-Multicolour,in-media-ea,true
1000014793907-Multicolour,in-media-ea,true
1000014793921-Multicolour,in-media-ea,true
1000014793928-Multicolour,in-media-ea,true
1000014793935-Multicolour,in-media-ea,true
1000014793942-Multicolour,in-media-ea,true
1000014793949-Multicolour,in-media-ea,true
1000014793956-Multicolour,in-media-ea,true
1100000796-Multicolour,in-media-ea,true
1000014571094-Blue-Blue,in-media,true
1000014571900-Black-Black,in-media,true
1000014571919-Purple-Purple,in-media,true
1000014572029-Green-Green,in-media,true
1000014591247-Black-Black,in-media,true
1000015056304-Blue-Blue,in-media,true
1000015056457-Pink-Pink,in-media,true
1000015060521-Red-Red,in-media,true
1000015235233-Pink-Pink,in-media,true
1000015795681-Pink-Pink,in-media,true
1000015924408-Pink-Pink,in-media-ea,true
1000015924476-Purple-Purple,in-media,true
1100000772-Cream-Beige,in-media,true
1100000783-Blue-Blue,in-media,true
1100001320-Blue-Blue,in-media,true
1100002026-Blue-Blue,in-media-ea,true
1100003192-Green-Green,in-media-ea,true
1100004767-Pink-Pink,in-media-ea,true
1100004777-Pink-Pink,in-media-ea,true
1100004802-White-White,in-media-ea,true
1100004803-Blue-Blue,in-media-ea,true
1100004804-Pink-Pink,in-media-ea,true
1100004810-Pink-Pink,in-media-ea,true
1100004811-Green-Green,in-media-ea,true
1100004826-White-White,in-media,true
1100005021-White-White,in-media-ea,true
1100005022-Green-Green,in-media,true
1100005023-White-White,in-media,true
1100005025-Pink-Pink,in-media,true
1100005026-Multicolour,in-media,true
1100005027-Green-Green,in-media,true
1100005052-White-White,in-media,true
1100005053-Pink-Pink,in-media-ea,true
1100005054-White-White,in-media,true
1100005562-Blue-Blue,in-media-ea,true
1000014278074-Purple-Purple,in-media,true
1000014308995-Multicolour,in-media,true
1000014409986-Blue-BLUE,in-media,true
1000014410346-Multi-MULTI,in-media,true
1000014435964-Grey-GREY,in-media,true
1000014436144-Grey-GREY,in-media,true
1000014436340-Pink-PINK,in-media,true
1000014438917-Pink-PINK,in-media,true
1000014570847-Pink-Pink,in-media,true
1000014571210-Pink-Pink,in-media,true
1000014571765-Pink-Pink,in-media,true
1000014571803-Pink-Pink,in-media,true
1000014571822-Grey-Grey,in-media,true
1000014571991-Black-Black,in-media,true
1000014572299-Green-Green,in-media,true
1000014590865-Pink-Pink,in-media,true
1000014591497-Pink-Pink,in-media,true
1000014591518-Blue-Blue,in-media,true
1000014619451-Purple-Purple,in-media,true
1000014619464-Green-Green,in-media,true
1000014868450-Pink-Pink,in-media,true
1000015056253-White-White,in-media,true
1000015056287-Pink-Pink,in-media,true
1000015059336-Pink-Pink,in-media,true
1000015060487-Grey-Grey,in-media,true
1000015172273-White-White,in-media,true
1000015172332-Cream-Beige,in-media,true
1000015234914-Blue-Blue,in-media,true
1000015234927-Grey-Grey,in-media,true
1000015238914-White-White,in-media,true
1000015252520-Red-Red,in-media,true
1000015252559-Green-Green,in-media,true
1000015328853-Multicolour,in-media,true
1000015369646-Pink-Pink,in-media,true
1000015591652-Blue-Navy,in-media,true
1000015593548-Mint-Green,in-media-ea,true
1000015593704-Beige-Beige,in-media,true
1000015593795-BrightPink-Pink,in-media,true
1000015668110-Purple-Purple,in-media-ea,true
1000015668214-Cream-Beige,in-media-ea,true
1000015680248-Multicolour,in-media,true
1000015680521-Lilac-Purple,in-media,true
1000015681333-Yellow-Yellow,in-media-ea,true
1000015681411-White-White,in-media-ea,true
1000015681489-Purple-Purple,in-media-ea,true
1000015717476-Pink-Pink,in-media,true
1000015717528-Pink-Pink,in-media,true
1000015719316-Red-Red,in-media,true
1000015719333-Pink-Pink,in-media,true
1000015719520-White-White,in-media,true
1000015719537-Purple-Purple,in-media,true
1000015719968-Pink-Pink,in-media,true
1000015780439-White-White,in-media,true
1000015835905-Cream-Beige,in-media,true
1000015878263-Pink-Pink,in-media,true
1000015911995-Multicolour,in-media,true
1000015924561-Purple-Purple,in-media,true
1000016040774-White-White,in-media,true
1100000071-Green-Green,in-media-ea,true
1100000782-Pink-Pink,in-media-ea,true
1100001795-Cream-Beige,in-media-ea,true
1100001981-White-White,in-media-ea,true
1100000770-Blue-Blue,in-media-ea,true
1100000771-Blue-Blue,in-media,true
1100000773-Pink-Pink,in-media-ea,true
1100001763-Cream-Beige,in-media,true
1100001796-Purple-Purple,in-media,true
1100001814-Pink-Pink,in-media,true
1100001837-White-White,in-media,true
1100003043-White-White,in-media-ea,true
1100003315-Blue-Blue,in-media-ea,true
1100003392-Yellow-Yellow,in-media-ea,true
1100003451-Green-Green,in-media-ea,true
1100004696-White-White,in-media,true
1100004698-Multicolour,in-media,true
1100004700-LightBlue-Blue,in-media-ea,true
1100004701-Ecru-Beige,in-media-ea,true
1100004750-Pink-Pink,in-media-ea,true
1100004751-Multicolour,in-media,true
1000014435964-White-WHITE,in-media,true
1000014436315-Green-GREEN,in-media,true
1000014571252-Blue-Blue,in-media,true
1000014572134-Purple-Purple,in-media,true
1000014572153-Grey-Grey,in-media,true
1000014572229-Pink-Pink,in-media,true
1000014572282-Grey-Grey,in-media,true
1000014591165-Pink-Pink,in-media,true
1000014600924-White-White,in-media,true
1000014824102-White-White,in-media,true
1000014824241-Pink-Pink,in-media,true
1000015059375-Purple-Purple,in-media,true
1000015060742-Blue-Blue,in-media,true
1000015060793-White-White,in-media,true
1000015060878-White-White,in-media,true
1000015171578-Blue-Blue,in-media,true
1000015173600-Black-Black,in-media,true
1000015235343-White-White,in-media,true
1000015235360-Blue-Blue,in-media,true
