sku_id,container,category
1000013766552-Green-LightGreen,in-media-us,jackandjones-men
1000013766552-Grey-Grey,in-media-us,jackandjones-men
1000013766552-Grey-LightGrey,in-media-us,jackandjones-men
1000013766552-White-OffWhite,in-media-us,jackandjones-men
1000013766552-White-White,in-media-us,jackandjones-men
1000013454467-Black-JetBlack,in-media-us,jackandjones-men
1000013430608-Blue-MidBlue,in-media-us,jackandjones-men
1000013095746-Black-Black,in-media-us,jackandjones-men
1000012952411-Beige-Beige,in-media-us,jackandjones-men
1000012952411-Black-Black,in-media-us,jackandjones-men
1000012952411-Green-Green,in-media-us,jackandjones-men
1000013148127-Blue-Blue,in-media-us,jackandjones-men
1000013028745-Blue-MidBlue,in-media-us,jackandjones-men
1000012952411-Grey-Grey,in-media-us,jackandjones-men
1000013429163-Blue-MidBlue,in-media-us,jackandjones-men
1000013766552-Green-Green,in-media-us,jackandjones-men
1000013354876-White-White,in-media-us,jackandjones-men
1000013430608-Blue-Blue,in-media-us,jackandjones-men
1000013454435-Black-Black,in-media-us,jackandjones-men
1000013429163-Blue-Blue,in-media-us,jackandjones-men
1000013454467-Black-Black,in-media-us,jackandjones-men
1000013354876-White-OffWhite,in-media-us,jackandjones-men
1000013148127-Blue-DarkBlue,in-media-us,jackandjones-men
1000013095746-Black-JetBlack,in-media-us,jackandjones-men
1000013454435-Black-JetBlack,in-media-us,jackandjones-men
1000013362626-White-OffWhite,in-media-us,jackandjones-men
1000013429151-Blue-Blue,in-media-us,jackandjones-men
1000013028768-Blue-MidBlue,in-media-us,jackandjones-men
1000013429151-Blue-MidBlue,in-media-us,jackandjones-men
1000013028768-Blue-Blue,in-media-us,jackandjones-men
1000013028745-Blue-Blue,in-media-us,jackandjones-men
1000013082386-Black-Black,in-media-us,jackandjones-men
1000013430577-Blue-MidBlue,in-media-us,jackandjones-men
1000013082386-Black-JetBlack,in-media-us,jackandjones-men
