sku_id,container,category
1000011911331-Blue-Navy,in-media-uk,kids-girlsclothing
1000011911331-GreyMelange,in-media-uk,kids-girlsclothing
1000011911331-Pink-Pink,in-media-uk,kids-girlsclothing
1000011911264-Blue-Navy,in-media-uk,kids-girlsclothing
1000011911264-GreyMelange,in-media-uk,kids-girlsclothing
1000011911264-Pink-Pink,in-media-uk,kids-girlsclothing
1000011911264-Red-Red,in-media-uk,kids-girlsclothing
1000010384349-AssortedColours,in-media-uk,kids-girlsclothing
1000011911253-Black-Black,in-media,kids-girlsclothing
1000011911253-GreyMelange,in-media-uk,kids-girlsclothing
1000011911253-Pink-Pink,in-media-uk,kids-girlsclothing
1000011911253-Yellow-Yellow,in-media-uk,kids-girlsclothing
1000016466787-Green-Green,in-media-ea,kids-girlsclothing
1000011911306-Blue-DarkBlue,in-media-uk,kids-girlsclothing
1000011911306-Blue-LightBlue,in-media-uk,kids-girlsclothing
1000011911331-Black-Black,in-media-uk,kids-girlsclothing
1000011911232-Blue-DarkBlue,in-media-us,kids-girlsclothing
1000011911232-Blue-MidBlue,in-media-us,kids-girlsclothing
1000016468415-White-White,in-media-ea,kids-girlsclothing
1000015587461-Black-Black,in-media,kids-girlsclothing
1000016468213-Yellow-LgtYellow,in-media-ea,kids-girlsclothing
1000016466875-Pink-BabyPink,in-media-ea,kids-girlsclothing
1000016468040-Blue-Blue,in-media,kids-girlsclothing
1000016468040-Red-Fuschia,in-media,kids-girlsclothing
1000016466875-Blue-Navy,in-media-ea,kids-girlsclothing
1000016468415-Black-Black,in-media-ea,kids-girlsclothing
1000016468129-Blue-Blue,in-media-ea,kids-girlsclothing
1000016468129-Pink-BabyPink,in-media-ea,kids-girlsclothing
1000016468129-White-Cream,in-media-ea,kids-girlsclothing
1000011074483-Blue-Navy,in-media-uk,kids-girlsclothing
1000011911363-Blue-DarkBlue,in-media-us,kids-girlsclothing
1000011911363-Blue-LightBlue,in-media-us,kids-girlsclothing
1000016468027-Pink-Pink,in-media-ea,kids-girlsclothing
1000011911232-Blue-LightBlue,in-media-us,kids-girlsclothing
1000016468027-Green-Green,in-media-ea,kids-girlsclothing
1000011911264-Black-Black,in-media-uk,kids-girlsclothing
1000016467860-White-White,in-media-ea,kids-girlsclothing
1000016468129-White-White,in-media-ea,kids-girlsclothing
1000016468469-Red-Rust,in-media-ea,kids-girlsclothing
1000007824390-Peach-Pink,in-media-uk,kids-girlsclothing
1000007824390-Pink,in-media-uk,kids-girlsclothing
1000007824390-Pink-Peach,in-media-uk,kids-girlsclothing
1000007824390-Purple,in-media-uk,kids-girlsclothing
1000007824390-White,in-media-uk,kids-girlsclothing
1000016468040-Green-Green,in-media,kids-girlsclothing
1000011911363-Blue-MidBlue,in-media-us,kids-girlsclothing
1000011911306-Blue-MidBlue,in-media-uk,kids-girlsclothing
1000016467860-Black-Black,in-media-ea,kids-girlsclothing
1000007824425-Blue-Navy,in-media-uk,kids-girlsclothing
1000007824425-Grey-Beige,in-media-uk,kids-girlsclothing
1000015587468-Beige-Beige,in-media,kids-girlsclothing
1000015587475-Beige-Beige,in-media,kids-girlsclothing
1000015587475-Black-Black,in-media,kids-girlsclothing
1000016468097-Blue-Blue,in-media,kids-girlsclothing
1000016468200-Blue-Blue,in-media,kids-girlsclothing
1000016466677-Pink-LightPink,in-media-ea,kids-girlsclothing
1000016466677-White-Cream,in-media-ea,kids-girlsclothing
1000016468306-Yellow-LgtYellow,in-media-ea,kids-girlsclothing
