sku_id,container,category
1000015926107-White-OffWhite,in-media,kids-winterwear
1000015925666-Yellow-Mustard,in-media,kids-winterwear
1000015927587-Blue-PowderBlue,in-media,kids-winterwear
1000015926128-Green-Sage,in-media,kids-winterwear
1000015927587-White-OffWhite,in-media,kids-winterwear
1000015830263-Green-Olive,in-media,kids-winterwear
1000015830263-Black-Black,in-media,kids-winterwear
1000015830172-Black-Black,in-media,kids-winterwear
1000016072152-White-OffWhite,in-media,kids-winterwear
1000015925666-Green-Olive,in-media,kids-winterwear
1000016072152-Black-Black,in-media,kids-winterwear
1000015830075-Beige-OatmealMlg,in-media,kids-winterwear
1000015830075-Blue-Navy,in-media,kids-winterwear
1000015830075-Red-Red,in-media,kids-winterwear
1000015830075-Yellow-Yellow,in-media,kids-winterwear
1000015830233-Red-Red,in-media,kids-winterwear
1000015830075-Green-Green,in-media,kids-winterwear
1000015818025-Blue-Navy,in-media,kids-winterwear
1000015818025-Pink-LightPink,in-media,kids-winterwear
1000015830172-Brown-Chocolate,in-media,kids-winterwear
1000015817928-Green-Green,in-media,kids-winterwear
1000015817928-Orange-Orange,in-media,kids-winterwear
1000015817928-Purple-Purple,in-media,kids-winterwear
1000016008613-Orange-FlrctOrng,in-media,kids-winterwear
1000015817851-White-OffWhite,in-media,kids-winterwear
1000015830052-Green-Green,in-media,kids-winterwear
1000015926128-Yellow-Mustard,in-media,kids-winterwear
1000015926107-Brown-Brown,in-media,kids-winterwear
