sku_id,container,reprocess
1000013861372-Black-Black,in-media,
1000015211960-White-White,in-media,
1000015118848-Red-Red,in-media,
1000013861413-Pink-Pink,in-media-us,
1000016330901-Multicolour-Mult,in-media-ea,
1000014797449-Multicolour,in-media,
1000015184734-Green-Mint,in-media,
1000016151117-Brown-Brown,in-media-ea,
1000016330791-Black-Black,in-media-ea,
1000016177046-Green-Mint,in-media,
1000015075637-Pink-Pink,in-media,
1000016151372-Gold-Gold,in-media,
1000016410291-Multicolour-Mult,in-media-ea,
1000016042584-Blue-LightBlue,in-media,
1000015916503-Blue-Blue,in-media,
1000016151139-Gold-Gold,in-media-ea,
1000016228286-Pink-Pink,in-media-ea,
1000015907716-Brown-Brown,in-media,
1000016068453-Green-Lime,in-media,
1000014568456-Red-Red,in-media,
1000016330692-Red-Wine,in-media-ea,
1000016176877-Multicolour-Mult,in-media,
1000016091067-Green-Mint,in-media,
1000016330737-Blue-Blue,in-media-ea,
