sku_id,container,reprocess
1000013639540-Brown-Brown,,
1000014178739,in-media,
1000014727640,in-media,
1000013750289-Brown-DarkBrown,,
1000014727634,in-media,
1000012595470,in-media-uk,
1000013987099-Brown-Brown,,
1000012166519-Black-Black,in-media-uk,
1000013493953-Green-Green,,
1000013987091-Blue-Navy,,
1000016268371,in-media-ea,
1000015289372,in-media,
1000013782963-Brown-Tan,,
1000015765888,in-media,
1000016268338-Black-Black,in-media,
1000016189914,in-media,
1000014798843,in-media,
1000016327398-White-White,in-media-ea,
1000014156328,in-media,
1000015634989,in-media-ea,
1000014798845,in-media,
1000014156330,in-media,
1000014727638,in-media,
1000016109132-Green-Green,in-media-ea,
1000014798835,in-media,
1000014798847,in-media,
1000014155576,in-media,
1000012166610-Multicolour-BkBn,in-media-uk,
1000014155698,in-media,
1000014798839,in-media,
1000014798841,in-media,
1000015775400,in-media,
1000014798851,in-media,
1000014798833,in-media,
1000014155216,in-media,
1000016189910,in-media,
1000014798795,in-media,
1000014155578,in-media,
1000016189932,in-media,
1000016109132-Brown-Brown,in-media-ea,
1000014155566,in-media,
1000014798849,in-media,
1000014798831,in-media,
1000014155544,in-media,
1000014798837,in-media,
1000014155556,in-media,
1000012926762-Brown-Brown,,
1000013987162,in-media,
1000014745521,in-media,
1000016327401-Brown-Brown,in-media-ea,
1000014097433,in-media,
1000013987164,,
1000012132427,in-media-uk,
1000014178747,in-media,
1000014097431,in-media,
1000016151660,in-media-ea,
1000016609515,in-media-ea,
1000012166603-Multicolour-BkBr,in-media-uk,
1000015663457,in-media,
1000016268373,in-media-ea,
1000015663462,in-media,
1000016268363,in-media-ea,
1000015645146-Grey-Grey,in-media,
1000016268369,in-media-ea,
1000015663450-Blue-Blue,in-media,
1000016268367,in-media-ea,
1000015765894,in-media,
1000016268375,in-media-ea,
1000015765890,in-media,
1000015663460,in-media,
1000016268365,in-media-ea,
1000015765896,in-media,
1000015765900,in-media,
1000014725391,in-media,
1000016268359,in-media-ea,
1000015634991-Blue-Blue,in-media,
1000015663454,in-media,
1000013750371-Multicolour-BkBr,,
1000015317866,in-media,
1000015645143-Blue-Navy,in-media,
1000015765892,in-media,
1000015663465,in-media,
1000015765898,in-media,
1000013465220-Black-Black,,
1000013888267-Black-Black,,
1000013987139-Brown-Brown,,
1000016462945-Black-Black,in-media-ea,
1000016462915-Brown-Brown,in-media-ea,
1000016462950-Brown-Brown,in-media-ea,
1000016165497-Brown-Brown,in-media-ea,
1000016165490-Brown-Brown,in-media-ea,
1000016462871-Black-Black,in-media-ea,
1000016463031,in-media,
1000016463033,in-media,
1000016165517-Black-Black,in-media-ea,
1000016462950-Grey-DarkGrey,in-media-ea,
1000016165497-Black-Black,in-media-ea,
1000016463032,in-media-ea,
1000016462871-Red-Wine,in-media-ea,
1000016165524-Black-Black,in-media-ea,
1000016462871-Brown-Tan,in-media-ea,
1000015909782-Black-Black,in-media-ea,
1000015909782-Blue-Navy,in-media-ea,
