sku_id,container,category
1000015669161-Brown-Stone,in-media,men-bottoms
1000015669161-Green-DarkOlive,in-media,men-bottoms
1000015669161-Green-Khaki,in-media,men-bottoms
1000015669161-Green-LightSage,in-media,men-bottoms
1000015669161-Grey-DarkGrey,in-media,men-bottoms
1000015669161-Black-JetBlack,in-media,men-bottoms
1000011516363-Blue-Navy,in-media-uk,men-bottoms
1000011516363-Blue-Teal,in-media-uk,men-bottoms
1000011516363-Green-Olive,in-media-uk,men-bottoms
1000011516363-White-WhiteMel,in-media-uk,men-bottoms
1000015814169-Black-Black,in-media,men-bottoms
1000014635203-Beige-Beige,in-media,men-bottoms
1000014635203-Black-Black,in-media,men-bottoms
1000015669222-Black-Black,in-media,men-bottoms
1000015669222-Blue-Navy,in-media,men-bottoms
1000015669222-Green-DustOlive,in-media,men-bottoms
1000015669222-Green-OliveMel,in-media,men-bottoms
1000015669222-Grey-CharcoalMel,in-media,men-bottoms
1000011516363-Black-Black,in-media-uk,men-bottoms
1000014741925-Beige-Beige,in-media,men-bottoms
1000014741925-Green-Olive,in-media,men-bottoms
1000014684695-Beige-Beige,in-media,men-bottoms
1000014684695-Black-Black,in-media,men-bottoms
1000014684695-Green-DustOlive,in-media,men-bottoms
1000014684695-Grey-DarkGrey,in-media,men-bottoms
1000014635203-Green-Olive,in-media,men-bottoms
1000015685837-Beige-Beige,in-media,men-bottoms
1000015685837-Brown-Brown,in-media,men-bottoms
1000015770352-Blue-Navy,in-media-ea,men-bottoms
1000015770352-Brown-Brown,in-media-ea,men-bottoms
1000016236269-Beige-LightKhaki,in-media,men-bottoms
1000016236269-Blue-DustyBlue,in-media-ea,men-bottoms
1000016236269-Brown-LightBrown,in-media,men-bottoms
1000016236269-Green-DarkOlive,in-media,men-bottoms
1000016236269-Grey-LightGrey,in-media,men-bottoms
1000016085682-Black-Black,in-media,men-bottoms
1000016085682-Blue-Navy,in-media,men-bottoms
1000016236480-Black-Black,in-media-ea,men-bottoms
1000016236480-Green-Olive,in-media-ea,men-bottoms
1000016236480-White-White,in-media-ea,men-bottoms
1000016285265-Beige-LightKhaki,in-media-ea,men-bottoms
1000016285265-Brown-DarkBrown,in-media-ea,men-bottoms
1000016285265-Grey-DarkSage,in-media-ea,men-bottoms
1000014219983-Black-Black,in-media,men-bottoms
1000014219983-Grey-MidGrey,in-media,men-bottoms
1000016285634-Blue-DustyBlue,in-media-ea,men-bottoms
1000016285634-Blue-Teal,in-media,men-bottoms
1000016285634-Brown-LightBrown,in-media,men-bottoms
1000016285634-Green-Khaki,in-media,men-bottoms
1000016285634-Green-LightSage,in-media,men-bottoms
1000016414296-Grey-Grey,in-media-ea,men-bottoms
1000016236480-Brown-BeigeBrown,in-media-ea,men-bottoms
1000016490016-Black-Black,in-media-ea,men-bottoms
1000016490016-Blue-Navy,in-media-ea,men-bottoms
1000016490016-Brown-Stone,in-media-ea,men-bottoms
1000016490016-Green-Sage,in-media-ea,men-bottoms
1000016490016-White-WhiteMel,in-media-ea,men-bottoms
1000016141224-Black-Black,in-media,men-bottoms
1000016141224-Grey-Grey,in-media,men-bottoms
1000016214476-Black-Black,in-media,men-bottoms
1000016214476-Blue-Navy,in-media-ea,men-bottoms
1000014702712-Beige-Beige,in-media,men-bottoms
