sku_id,container,category
1000000578632-Us17-0210-Asstd-Black-Black,in-media-uk,men-innerwear
1000001277332-8820-0310-White-White,in-media-uk,men-innerwear
1000000600927-9922-0105-White-White-White,in-media-uk,men-innerwear
1000006290841-Var0802-Grey-Grey-Melange,in-media-uk,men-innerwear
1000000600932-9922-0105-Black-Black-Black,in-media-uk,men-innerwear
1000008237511-Multicolour-MIX,in-media-uk,men-innerwear
1000011085742-Grey-DarkGrey,in-media-uk,men-innerwear
1000011085742-Grey-Grey,in-media,men-innerwear
1000011085742-Multicolour-Mlti,in-media,men-innerwear
1000004904050-Ic27-0105-Black-Black-Black,in-media-uk,men-innerwear
1000004904020-Ic32-0105-Black-Black-Black,in-media-uk,men-innerwear
1000008237516-Multicolour-MIX,in-media-uk,men-innerwear
Ic28-0105-Black-1000004904010-Black-Black,in-media-uk,men-innerwear
1000011683168-Black-Black,in-media-uk,men-innerwear
1000011085742-Black-Black,in-media-uk,men-innerwear
1000011243688-Black-Black,in-media-uk,men-innerwear
1000011243688-Blue-BlueMel,in-media-uk,men-innerwear
1000008237506-Multicolour-MIX,in-media-uk,men-innerwear
1000006290841-Var0802-Black-Black,in-media,men-innerwear
1000011683056-Black-Black,in-media-uk,men-innerwear
1000011683056-White-White,in-media,men-innerwear
1000004904065-Ic31-0105-Gunme-Grey-Grey,in-media-uk,men-innerwear
Ic27-0105-Ocnde-1000004904055-Blue-Teal,in-media-uk,men-innerwear
1000004904025-Ic32-0105-Gunme-Grey-Grey,in-media-uk,men-innerwear
1000011085830-Black-Black,in-media-us,men-innerwear
1000011085830-Blue-Navy,in-media-us,men-innerwear
1000011085830-Grey-GreyMelange,in-media-uk,men-innerwear
1000011085830-Grey-Grey,in-media,men-innerwear
1000000578548-1010-0210-Asstd-Blue-Mix,in-media-uk,men-innerwear
1000004904060-Ic31-0105-Black-Black-Black,in-media-uk,men-innerwear
Ic28-0105-Ocnde-1000004904015-Blue-Teal,in-media-uk,men-innerwear
1000007163438-Black,in-media,men-innerwear
1000007163443-White,in-media,men-innerwear
1000010592243-Blue,in-media-uk,men-innerwear
1000008608687-Blue,in-media,men-innerwear
1000009929563-Grey,in-media-uk,men-innerwear
1000009929564-Grey,in-media,men-innerwear
1000007163437-Black,in-media-uk,men-innerwear
1000007163442-White,in-media-uk,men-innerwear
1000000600831-9922-0105-Gryml-Grey-Grey-Melange,in-media-uk,men-innerwear
1000011683056-Grey-Grey,in-media,men-innerwear
1000011683168-White-White,in-media-uk,men-innerwear
1000004904030-Ic32-0105-White-White-White,in-media-uk,men-innerwear
1000011243688-Blue-NavyMelange,in-media-us,men-innerwear
1000011683115-Blue-BlueMel,in-media-uk,men-innerwear
1000010592243-Grey,in-media-uk,men-innerwear
1000010364330-Black,in-media-uk,men-innerwear
1000010364330-Blue-Navy,in-media-uk,men-innerwear
1000010833231-Black-Black,in-media-uk,men-innerwear
1000010833231-Blue-Blue,in-media-uk,men-innerwear
1000010833231-Blue-Navy,in-media-uk,men-innerwear
1000008608686-Blue,in-media-uk,men-innerwear
1000010345853-Blue,in-media-uk,men-innerwear
1000014262217-Blue-DarkBlue,in-media,men-innerwear
1000014262217-Blue-Navy,in-media,men-innerwear
1000010345853-White,in-media-uk,men-innerwear
