sku_id,container,reprocess
1000011052864,in-media,
1000013440471,in-media,
1000006703203-Neutral-100ML,in-media-uk,
1000013393515,in-media,
1000012747797,in-media,
1000014132587,in-media,
1000015048376,in-media,
1000013846666,in-media,
1000011161837,in-media,
1000011005286,in-media-uk,
1000015231578,in-media,
1000015046036,in-media,
1000015231504,in-media,
1000014598790,in-media,
1000016675991,in-media-ea,
1000015048344,in-media,
1000008766275,in-media-uk,
1000002820219-Multicolour-100ML,in-media-uk,
1000013905029,in-media,
1000016062443,in-media,
1000015123392,in-media,
1000016107046,in-media,
1000013181792,in-media-uk,
1000013187831,in-media,
1000014132601,in-media,
1000007794200,in-media-uk,
1000015231532,in-media,
1000012490317,in-media,
1000011004780,in-media-uk,
1000012608582,in-media-uk,
1000014132599,in-media,
1000016062419,in-media,
1000011767122,in-media,
1000016299240,in-media,
1000013393517,in-media,
1000016633544,in-media-ea,
1000005857909,in-media-uk,
1000001313574-Multicolour-100ML,in-media-uk,
1000016107052,in-media,
1000016299220,in-media,
1000016299248,in-media,
1000015231534,in-media,
1000013393527,in-media,
1000012558289,in-media,
1000009808425,in-media-uk,
1000012598835,in-media-uk,
1000016062407,in-media,
1000012515269,in-media,
1000016332379,in-media,
1000010798518,in-media,
1000012598897,in-media-uk,
1000012598889,in-media-uk,
1000011865626,in-media,
1000011865628,in-media,
1000012285335,in-media,
1000009808419,in-media-uk,
1000013440475,in-media,
1000013187819,in-media,
1000011501528,in-media,
1000006703201-Neutral-30ML,in-media-uk,
1000014132561,in-media,
1000015046052,in-media,
1000012037746,in-media,
1000011004086,in-media-uk,
1000016577532,in-media-ea,
1000011268745,,
1000013858627,in-media,
1000006703191-Neutral-150ML,in-media-uk,
1000013858633,in-media,
1000016299238,in-media,
1000015805373,in-media,
1000011173671,in-media,
1000016633502,in-media,
1000014202123,in-media,
1000015386144,in-media,
1000015386148,in-media,
1000013858630,in-media,
1000012241156,in-media,
1000015107270,in-media,
1000014202129,in-media,
1000013905045,in-media,
1000006930648,in-media-uk,
1000013905043,in-media,
1000013905053,in-media,
1000015919592,in-media,
1000003639131,in-media-uk,
1000013905027,in-media,
1000013905051,in-media,
1000015919590,in-media,
1000009654407,in-media-uk,
1000006930644,in-media-uk,
1000015919596,in-media,
1000013905049,in-media,
1000013905047,in-media,
1000013905063,in-media,
1000013905057,in-media,
1000009654409,in-media-uk,
1000015919594,in-media,
1000015919598,in-media,
1000013905059,in-media,
1000003122807-Multicolour-100ML,in-media-uk,
1000001305655-Multicolour-100ML,in-media-uk,
1000002820215-Multicolour-100ML,in-media-uk,
1000013490320,in-media,
1000011005004,in-media-uk,
1000014421002,in-media,
1000006930650,in-media-uk,
1000013825034,in-media,
1000012747795,in-media,
1000012239164,in-media,
1000010177553,in-media,
1000013187823,in-media,
1000011004392,in-media-uk,
1000012425955,in-media,
1000010739865,in-media,
1000012038864,in-media,
1000012285347,in-media,
1000014317584,in-media,
1000011006372,in-media-uk,
1000015992613,in-media,
1000016062445,in-media,
1000011865098,in-media,
1000011004768,in-media-uk,
1000005558555-Multicolour-100ML,in-media-uk,
1000013187821,in-media,
1000002820225-Multicolour-100ML,in-media-uk,
1000003639138-Multicolour-125ML,in-media-uk,
1000012500131,in-media,
1000013886735,in-media,
1000006810539,in-media-uk,
1000016299410,in-media-ea,
1000015919373,in-media,
1000013825036,in-media,
1000010739869,in-media,
1000009808431,in-media-uk,
1000015046064,in-media,
1000016299412,in-media,
1000014317576,in-media,
1000014598802,in-media,
1000012598841,in-media-uk,
1000012313787,in-media,
1000015959321,in-media,
1000016299242,in-media,
1000016522806,in-media-ea,
1000013187825,in-media,
1000015231530,in-media,
1000016121870,in-media,
1000001305697-Multicolour-100ML,in-media-uk,
1000016062441,in-media,
1000005857924-Multicolour-100ML,in-media-uk,
1000012747787,in-media,
1000015027728,in-media,
1000014210939,in-media,
1000009976810,in-media-uk,
1000012747793,in-media,
1000016277598,in-media,
1000011005148,in-media-uk,
1000014598800,in-media,
1000014774942,in-media-ea,
1000012598853,in-media-uk,
1000013187829,in-media,
1000016279658,in-media,
1000014774934,in-media-ea,
1000013187817,in-media,
1000012598845,in-media-uk,
1000014210937,in-media,
1000006195490-Multicolour-125ML,in-media-uk,
1000013294658,in-media,
1000016299246,in-media,
1000016069769,in-media,
1000011005320,in-media-uk,
1000006182893,in-media-uk,
1000012747783,in-media,
1000013394300,in-media,
1000011005350,in-media-uk,
1000010418387,in-media,
1000013825032,in-media,
1000012747781,in-media,
1000003265898-Multicolour-100ML,in-media-uk,
1000003523436-Multicolour-100ML,in-media-uk,
1000016201198,in-media,
1000016503546,in-media-ea,
1000016072376,in-media,
1000012747749,in-media-uk,
1000015959323,in-media,
1000011865122,in-media,
1000016277594,in-media,
1000010786432,in-media,
1000016248198,in-media,
1000012313779,in-media,
1000016633550,in-media,
1000012598847,in-media-uk,
1000013108072,in-media,
1000012262385,in-media,
1000006830061,in-media-uk,
1000016277600,in-media,
1000016225830,in-media,
1000011004782,in-media-uk,
1000013095714,in-media,
1000011004452,in-media-uk,
1000013809558,in-media,
1000016433540,in-media-ea,
1000016633506,in-media,
1000013501125,in-media,
1000011005132,in-media-uk,
1000012598851,in-media-uk,
1000016072388,in-media,
1000013825030,in-media,
1000014393510,in-media,
1000016405967,in-media-ea,
1000016522796,in-media-ea,
1000015027714,in-media,
1000012598925,in-media-uk,
1000009808423,in-media-uk,
1000011004912,in-media-uk,
1000016225832,in-media,
1000011929652,in-media,
1000012608578,in-media-uk,
1000015048366,in-media,
1000016121872,in-media,
1000012262377,in-media,
1000013751334,in-media,
1000012598877,in-media-uk,
1000013639803,in-media,
1000015231570,in-media,
1000015048354,in-media,
1000009808421,in-media-uk,
1000014598796,in-media,
1000016633546,in-media,
1000011004870,in-media-uk,
1000014774932,in-media-ea,
1000014421004,in-media,
1000013639815,in-media,
1000014132583,in-media,
1000016062427,in-media,
1000016633518,in-media-ea,
1000016247046,in-media,
1000015918206,in-media-ea,
1000012598869,in-media-uk,
1000008995949,in-media-uk,
1000016275496,in-media,
1000015048338,in-media,
1000016299252,in-media,
1000016263364,in-media,
1000012747757,in-media-uk,
1000016069765,in-media,
1000016633520,in-media,
1000011161825,in-media,
1000016633560,in-media,
1000009808427,in-media-uk,
1000012598901,in-media-uk,
1000015046054,in-media,
1000016299250,in-media,
1000015231584,in-media,
1000013360387,in-media,
1000011004774,in-media-uk,
1000015231572,in-media,
1000012285339,in-media,
1000014132597,in-media,
1000016633536,in-media-ea,
1000013782355,in-media,
1000013809572,in-media,
1000016275510,in-media,
1000004193834-Multicolour-100ML,in-media-uk,
1000013440461,in-media,
1000014853676,in-media,
1000016669214,in-media-ea,
1000013393521,in-media,
1000012598839,in-media-uk,
1000016299226,in-media,
1000012598871,in-media-uk,
1000016062435,in-media,
