sku_id,container,category
1000005319490-Beige-Beige,in-media,men-sportswear
1000005319490-Black-JetBlack,in-media-ea,men-sportswear
1000005319490-Blue-Blue,in-media,men-sportswear
1000005319490-Blue-LightBlue,in-media,men-sportswear
1000005319490-Blue-MidBlue,in-media,men-sportswear
1000005319490-Caffire-Neu-Black-Black,in-media-uk,men-sportswear
1000005319490-Caffire-Neu-Ecru-White,in-media,men-sportswear
1000005319490-Caffire-Neu-Red-Red,in-media-uk,men-sportswear
1000005319490-Green-Green,in-media,men-sportswear
1000005319490-Grey-Charcoal,in-media,men-sportswear
1000005319490-Grey-EcruMelange,in-media,men-sportswear
1000005319490-Yellow-Mustard,in-media,men-sportswear
1000016284820-White-OffWhite,in-media-ea,men-sportswear
1000016086605-Blue-Navy,in-media,men-sportswear
1000016086605-Green-Sage,in-media,men-sportswear
1000016086605-Grey-Grey,in-media,men-sportswear
1000005621928-Beige-Beige,in-media,men-sportswear
1000005621928-Blue-Blue,in-media-us,men-sportswear
1000005621928-Blue-MidBlue,in-media,men-sportswear
1000005621928-Blue-Navy,in-media,men-sportswear
1000005621928-Blue-Stone,in-media,men-sportswear
1000005621928-Brown-Brown,in-media,men-sportswear
1000005621928-Green-DarkOlive,in-media,men-sportswear
1000005621928-Green-LightOlive,in-media,men-sportswear
1000005621928-Green-Sage,in-media,men-sportswear
1000005621928-Grey-GreyMelange,in-media,men-sportswear
1000005621928-Kira-Open-Blue-Royal,in-media-uk,men-sportswear
1000005621928-Kira-Open-Grey-Charcoal-Melange,in-media,men-sportswear
1000012497624-Beige-Beige,in-media,men-sportswear
1000012497624-Blue-Aqua,in-media,men-sportswear
1000012497624-Blue-Blue,in-media-us,men-sportswear
1000012497624-Blue-BlueMel,in-media,men-sportswear
1000012497624-Blue-LightBlue,in-media,men-sportswear
1000012497624-Brown-Brown,in-media-us,men-sportswear
1000012497624-Green-DarkOlive,in-media-uk,men-sportswear
1000012497624-Green-LightOlive,in-media,men-sportswear
1000012497624-Green-Sage,in-media,men-sportswear
1000012497624-Grey-LightGrey,in-media,men-sportswear
1000012497624-Red-Red,in-media-uk,men-sportswear
1000012497624-Red-Rust,in-media,men-sportswear
1000012497624-Yellow-Yellow,in-media-uk,men-sportswear
1000016086605-Black-Black,in-media,men-sportswear
1000013515198-Beige-Beige,in-media-us,men-sportswear
1000013515198-Black-Black,in-media-ea,men-sportswear
1000013515198-Blue-Blue,in-media,men-sportswear
1000013515198-Brown-Brown,in-media-us,men-sportswear
1000013515198-Grey-LightGrey,in-media,men-sportswear
1000016284694-Grey-Charcoal,in-media-ea,men-sportswear
1000005319490-Red-Wine,in-media,men-sportswear
1000016235984-White-White,in-media-ea,men-sportswear
1000012497624-Black-Black,in-media-uk,men-sportswear
1000011315064-Black-Black,in-media-ea,men-sportswear
1000011315064-Blue-Navy,in-media-ea,men-sportswear
1000011315064-Green-Neon,in-media-us,men-sportswear
1000011315064-Purple-Purple,in-media,men-sportswear
