sku_id,container,category
1000011333827-Beige-Beige,in-media-us,men-tops
1000011333827-Beige-LightBeige,in-media,men-tops
1000011333827-Blue-Teal,in-media-uk,men-tops
1000011333827-Green-Mint,in-media,men-tops
1000011333827-Green-Olive,in-media,men-tops
1000011333827-Green-Sage,in-media-us,men-tops
1000011333827-Grey-Charcoal,in-media-uk,men-tops
1000011333827-Purple-Lilac,in-media-uk,men-tops
1000011333827-Red-Rust,in-media,men-tops
1000011333827-Yellow-LitYellow,in-media,men-tops
1000011333827-Yellow-Mustard,in-media-uk,men-tops
1000011333827-Yellow-Yellow,in-media-uk,men-tops
1000010501663-Beige-Beige,in-media-us,men-tops
1000010501663-Black-Black,in-media-uk,men-tops
1000010501663-Blue-LightBlue,in-media,men-tops
1000010501663-Blue-MidBlue,in-media-uk,men-tops
1000010501663-Blue-Scuba,in-media-uk,men-tops
1000010501663-Blue-SkyBlue,in-media-us,men-tops
1000010501663-Green-Green,in-media-uk,men-tops
1000010501663-Green-LightMint,in-media,men-tops
1000010501663-Green-Sage,in-media-us,men-tops
1000010501663-Orange-Coral,in-media-uk,men-tops
1000010501663-Pink-LightPink,in-media-us,men-tops
1000010501663-Red-DarkRed,in-media-us,men-tops
1000010501663-Red-Red,in-media-uk,men-tops
1000010501663-White-WhiteMel,in-media-uk,men-tops
1000010501663-Yellow-Mustard,in-media-uk,men-tops
1000008301238-Black-Black,in-media,men-tops
1000008301238-Blue-NAVY,in-media-uk,men-tops
1000008301238-Multicolour-BOBR,in-media,men-tops
1000008301238-Multicolour-BrCS,in-media-us,men-tops
1000008301238-Multicolour-CBBI,in-media-us,men-tops
1000008301238-Multicolour-CHGL,in-media-us,men-tops
1000008301238-Multicolour-CHUM,in-media,men-tops
1000008301238-Multicolour-GHCB,in-media,men-tops
1000008301238-Multicolour-GHGB,in-media-us,men-tops
1000008301238-Multicolour-MBF,in-media-us,men-tops
1000008301238-Multicolour-TSBG,in-media,men-tops
1000008301238-Multicolour-WRPN,in-media-us,men-tops
1000008301238-White-OffWhite,in-media-ea,men-tops
