sku_id,container,reprocess
1000002249921,in-media-us,
1000002920871,in-media,
1000004442853,in-media,
1000005170016,in-media,
1000005377099,in-media,
1000007104405,in-media,
1000007617793,in-media,
1000008306556,in-media,
1000008396245,in-media,
1000008501922,in-media,
1000010747923,in-media,
1000011213482,in-media,
1000012246795,in-media,
1000012539719,in-media,
1000013140094,in-media-us,
1000013140527,in-media,
1000013140577,in-media,
1000013178026,in-media,
1000013413368,in-media,
1000013477080,in-media,
1000013779104,in-media-ea,
1000013901847,in-media,
1000014074678,in-media,
1000014343298,in-media,
1000014396423,in-media,
1000014396557,in-media,
1000014628718,in-media,
1000014796023,in-media,
1000014801089,in-media,
1000014801095,in-media,
1000014909750,in-media,
1000014909752,in-media,
1000015211415,in-media,
1000015211427,in-media,
1000015211447,in-media,
1000015288802,in-media,
1000015353203,in-media,
1000015358414,in-media,
1000015376318,in-media,
1000015376448,in-media,
1000015376624,in-media,
1000015376648,in-media,
1000015440836,in-media,
1000015441114,in-media,
1000015441342,in-media,
1000015441362,in-media,
1000015523597,in-media,
1000015545325,in-media-ea,
1000015588879,in-media,
1000015588913,in-media,
1000015588917,in-media,
1000015588921,in-media,
1000015588949,in-media,
1000015588991,in-media,
1000015589049,in-media,
1000015589377,in-media,
1000015617603,in-media,
1000015617607,in-media,
1000015617635,in-media,
1000015668433,in-media,
1000015764715,in-media,
1000015857831,in-media,
1000016031140,in-media-ea,
1000016046982,in-media,
1000016140709,in-media,
1000016140751,in-media,
1000016140811,in-media,
1000016140873,in-media,
1000016182695,in-media,
1000016182703,in-media,
1000016182727,in-media,
1000016187888,in-media,
1000016191260,in-media,
1000016191310,in-media,
1000016246980,in-media,
1000016261159,in-media,
1000016307121,in-media,
1000016316205,in-media-ea,
1000016316213,in-media-ea,
1000016316217,in-media-ea,
1000016316229,in-media-ea,
1000016316247,in-media-ea,
1000016316259,in-media-ea,
1000016316265,in-media-ea,
1000016353070,in-media-ea,
1000016407354,in-media-ea,
1000016410678,in-media,
1000016410688,in-media,
1000016411035,in-media-ea,
1000016411037,in-media-ea,
1000016428873,in-media-ea,
1000016553682,in-media-ea,
1000016580461,in-media-ea,
1000016590042,in-media-ea,
1000016590076,in-media-ea,
