sku_id,container,category
1000015566056-Yellow-Yellow,in-media,men-winterwear
1000016233164-White-Ecru,in-media,men-winterwear
1000015664275-Grey-LightGrey,in-media,men-winterwear
1000014015816-Black-Black,in-media,men-winterwear
1000014015816-Blue-Stone,in-media,men-winterwear
1000014015816-Brown-Brown,in-media,men-winterwear
1000014015816-Grey-Grey,in-media,men-winterwear
1000016323028-Red-Wine,in-media-ea,men-winterwear
1000015697909-Grey-Charcoal,in-media-ea,men-winterwear
1000015664951-Beige-Beige,in-media,men-winterwear
1000015664951-Black-Black,in-media,men-winterwear
1000015664951-Grey-Grey,in-media,men-winterwear
1000016284628-Black-Black,in-media-ea,men-winterwear
1000016284628-Blue-Blue,in-media,men-winterwear
1000016237251-Beige-Beige,in-media,men-winterwear
1000015749562-Grey-LightGrey,in-media-ea,men-winterwear
1000015697867-Grey-Grey,in-media-ea,men-winterwear
1000016237251-Black-Black,in-media,men-winterwear
1000015565982-Brown-Brown,in-media,men-winterwear
1000015566078-Blue-Navy,in-media,men-winterwear
1000016321813-Grey-DarkGrey,in-media-ea,men-winterwear
1000015664275-Grey-Charcoal,in-media,men-winterwear
1000011365790-Beige-Beige,in-media-us,men-winterwear
1000011365790-Black-Black,in-media-ea,men-winterwear
1000011365790-Blue-Blue,in-media,men-winterwear
1000011365790-Blue-DarkBlue,in-media,men-winterwear
1000011365790-Blue-LightBlue,in-media,men-winterwear
1000011365790-Brown-Brown,in-media-ea,men-winterwear
1000011365790-Green-Olive,in-media-us,men-winterwear
1000011365790-Green-Sage,in-media,men-winterwear
1000011365790-Grey-Taupe,in-media,men-winterwear
1000011365790-Purple-DarkMauve,in-media,men-winterwear
1000011365790-Purple-Mauve,in-media,men-winterwear
1000011365790-Red-Red,in-media,men-winterwear
1000011365790-Red-Wine,in-media-us,men-winterwear
1000011365790-White-OffWhite,in-media-ea,men-winterwear
1000011365790-White-WhiteMel,in-media-us,men-winterwear
1000016284628-Grey-Grey,in-media-ea,men-winterwear
1000015565982-Grey-DarkSage,in-media,men-winterwear
1000015697909-Green-Sage,in-media-ea,men-winterwear
1000014834556-Black-Black,in-media,men-winterwear
1000014834556-Blue-Aqua,in-media,men-winterwear
1000014834556-Grey-LightGrey,in-media,men-winterwear
1000014615627-Black-Black,in-media-ea,men-winterwear
1000014615627-Blue-Blue,in-media,men-winterwear
1000014615627-Blue-Navy,in-media,men-winterwear
1000014615627-Green-Neon,in-media,men-winterwear
1000014615627-Green-Sage,in-media,men-winterwear
1000014615627-White-White,in-media,men-winterwear
