sku_id,container,reprocess
1000010501663-Blue-NavyMelange,in-media-us,
1000010501663-Green-Sage,in-media-us,
1000012171225-Blue-Navy,in-media,
1000013503463-White-White,in-media,
1000012497624-Beige-Beige,in-media,
1000011333827-Purple-Mauve,in-media-us,
1000008301238-Multicolour-BBTG,in-media,
1000007183619-Pink-Pink,in-media,
1000010501663-Red-DarkRed,in-media-us,
1000015610956-Purple-Purple,in-media,
1000015610914-Purple-Purple,in-media,
1000010021853-Beige-DarkBeige,in-media,
1000010021853-Purple-Mauve,in-media,
1000015610977-Blue-Blue,in-media,
1000016236731-Blue-Navy,in-media-ea,
1000015664127-Black-Black,in-media,
1000012497624-Green-DarkOlive,in-media-uk,
1000007183619-Purple-Purple,in-media,
1000016206095-Green-Green,in-media,
1000016099205-Grey-Grey,in-media,
1000011315064-Blue-Blue,in-media,
1000016587892-Blue-LightBlue,in-media-ea,
1000008301238-Multicolour-TSBG,in-media,
1000013524572-Blue-DarkBlue,in-media-us,
1000016235272-Green-Green,in-media,
1000016076061-Green-Olive,in-media,
1000010501663-Pink-LightPink,in-media-us,
1000014768137-Blue-Navy,in-media,
1000016206095-Yellow-Mustard,in-media,
1000016604332-Red-Rust,in-media-ea,
1000015803289-Beige-Beige,in-media-ea,
1000016074774-Black-Black,in-media,
1000016461926-Beige-Beige,in-media-ea,
1000016448169-Black-Black,in-media,
Core-Crew-Black-Black-Black,in-media,
1000005319490-Red-Wine,in-media,
1000013524572-Yellow-Mustard,in-media-us,
1000007183619-Beige-Beige,in-media,
1000015611692-Beige-Beige,in-media,
1000011333827-Green-Mint,in-media,
1000016448127-Black-Black,in-media-ea,
1000012497624-Black-Black,in-media-uk,
1000016416307-Black-Black,in-media-ea,
1000013524572-White-White,in-media-us,
1000016284694-White-White,in-media-ea,
1000016206121-Black-Black,in-media,
1000015664421-White-White,in-media,
1000016238880-Beige-Cream,in-media-ea,
1000016233600-Beige-Beige,in-media-ea,
1000012241523-Black-Black,in-media-uk,
1000016235973-Grey-Charcoal,in-media-ea,
1000016238125-White-OffWhite,in-media-ea,
1000016452823-Black-Black,in-media-ea,
1000016206138-Blue-DarkBlue,in-media,
1000008301238-Multicolour-CHUM,in-media,
1000015906533-Brown-Brown,in-media,
1000012241523-Green-LightSage,in-media,
1000015565795-Black-Black,in-media,
1000004104599-CORE-V-BLACK-Black-BLACK-Var1,in-media-uk,
1000014742094-Brown-DarkBrown,in-media,
1000007183619-Blue-Navy,in-media,
1000015956111-Brown-Brown,in-media,
1000016537049-Black-Black,in-media-ea,
1000016235851-Grey-Grey,in-media-ea,
1000015211316-White-White,in-media,
1000015567524-Beige-Beige,in-media,
1000013830345-Red-Wine,in-media-us,
1000015566361-Red-Red,in-media,
1000016238930-Red-Red,in-media,
1000007183619-Green-Olive,in-media,
1000016238577-Grey-DarkGrey,in-media,
1000016239066-Black-Black,in-media-ea,
1000016235217-Black-Black,in-media,
1000016236971-Green-Sage,in-media-ea,
1000015861704-Green-Olive,in-media,
1000010501663-Beige-Beige,in-media-us,
1000016233550-Brown-Brown,in-media-ea,
1000015131251-Blue-Navy,in-media,
1000011576982-Green-Sage,in-media,
1000016237021-Blue-Navy,in-media-ea,
1000016233403-Red-Rust,in-media,
1000013830417-Grey-Taupe,in-media,
1000016525798-Green-Khaki,in-media-ea,
1000015644338-Beige-Natural,in-media,
1000015612158-Black-Black,in-media,
1000016233582-Black-Black,in-media-ea,
1000008301238-Multicolour-GHCB,in-media,
1000011333827-Green-Sage,in-media-us,
1000007183619-Green-Lime,in-media,
1000015660223-Black-Black,in-media,
1000013830345-Green-Sage,in-media-us,
1000016235995-White-White,in-media-ea,
1000013830345-Purple-Mauve,in-media-us,
1000016418258-Black-Black,in-media-ea,
1000016234803-Brown-Brown,in-media-ea,
1000013515198-Grey-Grey,in-media,
1000016236018-Red-Red,in-media-ea,
1000012497624-Green-Sage,in-media,
1000015316642-White-White,in-media,
1000015664621-Green-Olive,in-media-ea,
1000015876123-White-OffWhite,in-media-ea,
1000015568693-Blue-Navy,in-media,
1000015610865-Brown-Brown,in-media-ea,
1000013515198-Blue-Blue,in-media,
1000015565609-Brown-Tan,in-media-ea,
1000013524572-Blue-Navy,in-media-us,
1000016214133-Green-Sage,in-media,
1000016139721-Blue-DarkBlue,in-media,
1000016235962-White-White,in-media-ea,
1000015906527-White-OffWhite,in-media,
1000016237779-White-OffWhite,in-media-ea,
1000016170540-Blue-Navy,in-media,
1000015567612-Green-Sage,in-media,
1000015564980-Brown-DarkBrown,in-media,
1000015900408-Blue-Navy,in-media-ea,
1000016525867-Black-Black,in-media-ea,
1000016238203-Purple-Mauve,in-media-ea,
1000013830417-Grey-AnthraMlnge,in-media,
1000014460490-Black-Black,in-media,
1000013830417-Green-Green,in-media-us,
1000015861522-Brown-DarkBrown,in-media,
1000014458124-Black-Black,in-media,
1000016285426-Grey-DarkSage,in-media-ea,
1000015400270-Black-Black,in-media,
1000012167240-Purple-Purple,in-media-us,
1000010501663-Black-Black,in-media-uk,
1000016234388-Blue-Navy,in-media,
1000016237477-White-White,in-media-ea,
1000007183619-181218-Black-Black,in-media,
1000013524572-Red-Red,in-media-us,
1000016152818-Brown-Tan,in-media,
1000015832435-Blue-Blue,in-media,
1000016238729-Green-DarkGreen,in-media-ea,
1000016238905-Yellow-Mustard,in-media-ea,
1000015566467-Beige-Beige,in-media,
1000016139579-Blue-Navy,in-media,
1000014704595-Black-Black,in-media,
1000016331405-Brown-Brown,in-media,
1000016236682-Black-Black,in-media-ea,
1000016623720-Brown-Brown,in-media-ea,
1000016604371-White-White,in-media-ea,
1000016236682-Green-DarkGreen,in-media-ea,
1000016511018-Black-Black,in-media-ea,
1000015565053-White-White,in-media,
1000015665099-Green-Olive,in-media,
1000011333827-Yellow-LitYellow,in-media,
1000016238981-Black-Black,in-media-ea,
1000015853836-Purple-Mauve,in-media,
1000016233403-White-White,in-media,
1000016511320-White-Ecru,in-media-ea,
1000011333827-Beige-Beige,in-media-us,
1000013524572-Beige-Beige,in-media-us,
1000013524572-Black-Black,in-media-us,
1000016238410-Green-Sage,in-media-ea,
1000016205647-Black-Black,in-media,
1000015660223-White-White,in-media,
1000016233644-Beige-Beige,in-media-ea,
1000010077601-Yellow-Yellow,in-media-uk,
1000016452747-Pink-LightPink,in-media,
1000015565795-Beige-Beige,in-media,
1000016234919-Brown-Brown,in-media-ea,
1000011439535-Blue-Teal,in-media,
1000016235162-Blue-Navy,in-media,
1000015876123-Black-Black,in-media-ea,
1000016235607-White-White,in-media-ea,
1000016074770-Red-Red,in-media,
1000012905760-Red-Red,in-media-uk,
1000015876123-Green-Green,in-media-ea,
1000015434966-Orange-Orange,in-media,
1000015610977-Grey-LightGrey,in-media,
1000015566315-Blue-Navy,in-media,
1000016233381-Black-Black,in-media,
1000016239185-Purple-Mauve,in-media-ea,
1000008301238-Multicolour-BOBR,in-media,
1000014704645-White-White,in-media,
1000014458130-Pink-Pink,in-media,
1000008301238-Var89-White,in-media-uk,
1000010501663-Green-LightMint,in-media,
1000016416307-Brown-DarkBrown,in-media-ea,
1000016237498-Green-DarkGreen,in-media-ea,
1000015566192-Black-Black,in-media,
1000015566424-White-White,in-media,
1000016083089-Beige-Beige,in-media-ea,
1000016416105-Blue-LightBlue,in-media-ea,
1000016284719-White-OffWhite,in-media-ea,
1000016239020-Blue-Teal,in-media,
1000015712161-Green-Green,in-media,
1000014708295-Purple-Violet,in-media,
1000015563676-Blue-MidBlue,in-media,
1000016111193-White-Ecru,in-media,
1000015568965-Blue-Navy,in-media,
1000016605299-White-White,in-media-ea,
1000015565294-White-OffWhite,in-media,
1000015663823-Blue-Blue,in-media,
1000016284782-Blue-LightBlue,in-media-ea,
1000016235332-Black-Black,in-media,
1000015567347-Blue-Navy,in-media,
1000015564752-Green-Lime,in-media,
1000015568965-Yellow-Yellow,in-media,
1000016033157-Green-Khaki,in-media,
1000016075986-Black-Black,in-media,
1000016233381-White-Ecru,in-media,
1000015400355-Yellow-Yellow,in-media,
1000011439560-Purple-Purple,in-media-ea,
1000013524572-Red-Maroon,in-media,
1000015566511-Green-Sage,in-media,
1000016448106-White-White,in-media-ea,
1000015611008-Green-Olive,in-media,
1000007301610-4319-Red-Wine,in-media-uk,
1000003426336-Grey-EcruMelange,in-media,
1000016412676-Black-Black,in-media-ea,
1000016234803-Green-Sage,in-media-ea,
1000010251543-Green,in-media-uk,
