sku_id,container,reprocess
1000010501663-Blue-NavyMelange,in-media-us,
1000012171225-Blue-Navy,in-media,
1000010501663-Green-Sage,in-media-us,
1000012497624-Beige-Beige,in-media,
1000011516363-Blue-Navy,in-media-uk,
1000011333827-Purple-Mauve,in-media-us,
1000014768137-Blue-Navy,in-media,
1000010501663-Red-DarkRed,in-media-us,
1000010021853-Purple-Mauve,in-media,
1000013524572-Blue-Navy,in-media-us,
1000015131251-Blue-Navy,in-media,
1000010021853-Beige-DarkBeige,in-media,
1000016206138-Blue-DarkBlue,in-media,
1000016206121-Blue-Blue,in-media,
1000016206095-Green-Green,in-media,
1000008301238-Multicolour-TSBG,in-media,
1000005319490-Red-Wine,in-media,
1000007183619-Green-Olive,in-media,
1000016206112-Green-Green,in-media-ea,
1000010501663-Beige-Beige,in-media-us,
1000016325835-Green-Green,in-media,
1000005621928-Blue-Navy,in-media,
1000015665170-Grey-Grey,in-media,
1000015914620-Black-Black,in-media,
1000005685700-Us54-0105-Grey-Grey,in-media-uk,
1000016152818-Brown-Tan,in-media,
1000016206121-Black-Black,in-media,
1000016206095-Yellow-Mustard,in-media,
1000016238981-Black-Black,in-media-ea,
1000012497624-Black-Black,in-media-uk,
1000015997128-Blue-MidBlue,in-media,
1000013385887-Blue-Navy,in-media,
1000016206138-Red-Rust,in-media,
1000015610191-Green-Green,in-media,
1000013756443,in-media,
1000014681497-Red-Maroon,in-media,
1000016543658-Beige-Beige,in-media-ea,
1000001277332-White-White,in-media,
1000016214571-White-White,in-media-ea,
1000016523688-White-White,in-media-ea,
1000012497624-Green-DarkOlive,in-media-uk,
1000014458130-Pink-Pink,in-media,
1000016603899-Blue-DarkBlue,in-media-ea,
1000016081469-Black-Black,in-media-ea,
1000007183619-Beige-Beige,in-media,
1000016283629-Green-Green,in-media,
1000013139183-Brown-LightBrown,in-media,
1000005621928-Green-DarkOlive,in-media,
1000015442097-Blue-Indigo,in-media,
1000012497624-Green-Sage,in-media,
1000016086605-Black-Black,in-media,
1000013830417-Brown-Brown,in-media,
1000011576307-Beige-Beige,in-media-us,
1000016152818-Blue-Navy,in-media,
1000016464028-Black-Black,in-media,
1000016179157-Green-DarkGreen,in-media,
1000015936530-Blue-Blue,in-media-ea,
1000015669222-Blue-Navy,in-media,
1000016452747-Pink-LightPink,in-media,
1000016487613-White-OffWhite,in-media-ea,
1000016462209-White-White,in-media-ea,
1000015609994-White-Ecru,in-media-ea,
1000016470348-Red-Red,in-media,
1000015861613-White-White,in-media,
1000015669120-Brown-LightBrown,in-media,
1000016639916-Green-Green,in-media-ea,
1000016283629-Grey-LightGrey,in-media,
1000016324524-Beige-Beige,in-media,
1000015316642-White-White,in-media,
1000016214218-Black-Black,in-media-ea,
1000008237516-Multicolour-Mix,in-media,
1000015997220-Grey-Grey,in-media,
1000016597138-White-White,in-media-ea,
1000011439535-Blue-Teal,in-media,
1000016170540-Blue-Navy,in-media,
1000015665170-White-LilyWhite,in-media,
1000007183619-Purple-Purple,in-media,
1000016616036-Beige-Beige,in-media-ea,
1000016504270-Black-Black,in-media-ea,
1000007183619-Pink-Pink,in-media,
1000016271445-Black-Black,in-media-ea,
1000013139183-White-White,in-media-us,
1000011259780-Green-DustOlive,in-media,
1000016560359-Red-Maroon,in-media-ea,
1000016239282-Black-Black,in-media-ea,
1000014722209-Grey-LightGrey,in-media,
1000015567027-Beige-Beige,in-media-ea,
1000013384836-Blue-Navy,in-media,
1000013384836-Black-Black,in-media-us,
1000016284012-Brown-DarkBrown,in-media-ea,
1000016525798-Green-Khaki,in-media-ea,
1000011085830-Blue-Navy,in-media-us,
1000013378857,in-media-uk,
1000011085813-Blue-DarkTeal,in-media-us,
1000015415763-Green-Olive,in-media,
1000015861165-Blue-Navy,in-media,
1000013515198-Grey-Grey,in-media,
1000015131160-Pink-DarkPink,in-media-ea,
1000015855717-Brown-Brown,in-media,
1000005319490-Green-Green,in-media,
1000016153408-Yellow-Mustard,in-media,
1000015861781-White-OffWhite,in-media,
1000011243688-Black-Black,in-media-uk,
1000015434966-Orange-Orange,in-media,
1000016275794-Blue-DarkBlue,in-media,
1000016315600-Red-Maroon,in-media,
1000011683168-Black-Black,in-media-uk,
1000014698036-Beige-Natural,in-media,
1000012905760-Red-Red,in-media-uk,
1000015659422-Beige-Beige,in-media,
1000010316881,in-media-uk,
1000010501663-Blue-Teal,in-media-uk,
1000015876123-White-OffWhite,in-media-ea,
1000011558444-White-White,in-media,
1000016499523-Red-Wine,in-media,
1000015861774-Green-DarkGreen,in-media,
1000015415757-Black-Black,in-media,
1000016271452-Blue-Navy,in-media,
1000010501663-Black-Black,in-media-uk,
1000015669161-Green-Khaki,in-media,
1000015870134-White-White,in-media-ea,
1000016603865-Pink-Peach,in-media-ea,
1000007183619-White-White,in-media,
1000016560274-Yellow-Yellow,in-media,
1000015803352-White-White,in-media,
1000015650447-Black-Black,in-media,
1000015981013-Blue-LightBlue,in-media,
1000016172731-Brown-Brown,in-media,
1000008301238-Multicolour-BBTG,in-media,
1000016152804-Red-Maroon,in-media,
1000016114782-Blue-Navy,in-media,
1000016065382-Blue-Navy,in-media,
1000015861718-White-White,in-media,
1000016237372-White-White,in-media,
1000016630796-Pink-Pink,in-media-ea,
1000012725075,in-media-uk,
1000012900220-Brown-Chocolate,in-media-uk,
1000015803164-Blue-LightBlue,in-media,
1000013384836-Beige-Beige,in-media,
1000013830345-Green-Sage,in-media-us,
1000015861557-Blue-Navy,in-media,
1000000578548-Multicolour-Mix,in-media,
1000016314558-Black-Black,in-media,
1000015914762-Blue-Indigo,in-media,
1000005319490-Var7-Green-Olive,in-media,
1000016170561-Blue-Navy,in-media,
1000015712161-Blue-Blue,in-media,
1000016111160-Black-Black,in-media,
1000016561750-Red-Red,in-media-ea,
1000016114782-Black-Black,in-media,
1000005769011-Var1710-Grey-Mix,in-media-uk,
1000016283612-Brown-Tan,in-media,
1000015130586-Green-Green,in-media,
1000016107963-Blue-LightIndigo,in-media,
1000015996869-Black-Black,in-media,
1000015906635-Multicolour-Mlti,in-media,
1000015876123-Blue-Navy,in-media-ea,
1000015399553-Brown-Brown,in-media,
1000015564352-Brown-Brown,in-media-ea,
1000016499547-Brown-Tan,in-media-ea,
1000015566648-Blue-Navy,in-media,
1000016172703-Blue-Navy,in-media,
1000015906455-Multicolour-Mlti,in-media,
1000016543535-Green-Olive,in-media-ea,
1000016084686-White-White,in-media,
1000015664739-Brown-Brown,in-media,
1000016487637-Grey-Grey,in-media-ea,
1000016081928-White-White,in-media-ea,
1000016452026-Black-Black,in-media-ea,
1000016185143-Blue-Denim,in-media,
