color_variant_id,container,reprocess
1000014382622,in-media,true
1000014382666-Pink-Pink,in-media,true
1000014564159-White-White,in-media,true
1000014939354-White-White,in-media,true
1100000304-Grey-Grey,in-media-ea,true
1100000842-Pink-Pink,in-media-ea,true
1100004564-White-White,in-media-ea,true
1100004574-White-White,in-media-ea,true
1100005328-Multicolour,in-media-ea,true
1100005329-Multicolour,in-media,true
1100005511-Multicolour,in-media,true
1100005512-Multicolour,in-media,true
1000014382619,in-media,true
1000014382625,in-media,true
1000014382628,in-media,true
1000014382631,in-media,true
1000014382655,in-media,true
1000014382661,in-media,true
1000014410584,in-media,true
1000014410590,in-media,true
1000014410608,in-media,true
1000014410749,in-media,true
1000014410903,in-media,true
1000014410979,in-media,true
1000014410985,in-media,true
1000014411015,in-media,true
1000014939348-White-White,in-media,true
1000014939351-Blue-Blue,in-media,true
1000014939357-White-White,in-media,true
1000015039769-Green-Green,in-media,true
1000015095635-Cream-Beige,in-media,true
1000015095638-White-White,in-media,true
1000015095641-White-White,in-media,true
1000015095644-Cream-Beige,in-media,true
1000015149351-Pink-Pink,in-media,true
1000015149354-Cream-Beige,in-media,true
1000015246400-WhiteBlue-White,in-media,true
1000015290486-WhiteGreen,in-media,true
1000015602838-Beige-Cream,in-media-ea,true
1000015602847-White-White,in-media,true
1000015602850-White-White,in-media,true
1000015602853-White-White,in-media,true
1000015602856-White-White,in-media,true
1000015713674-Beige-Beige,in-media,true
1000015713677-Purple-Purple,in-media,true
1100003518-White-White,in-media,true
1100003524-Pink-Pink,in-media-ea,true
1100003525-Blue-Blue,in-media-ea,true
1000014382678-Cream-Beige,in-media,true
1000014382790-Blue-Blue,in-media,true
1000014382796-Pink-Pink,in-media,true
1000014389870-Pink-Pink,in-media,true
1000014456047-Blue-Blue,in-media,true
1000014456050-Cream-Beige,in-media,true
1000014456053-Grey-Grey,in-media,true
1000014456056-Pink-Pink,in-media,true
1000014462274-WhiteBlue,in-media,true
1000014462277-WhiteGrey,in-media,true
1000014462280-WhitePink,in-media,true
1000014564153-White-White,in-media,true
1000015076226-Beige-Beige,in-media,true
1000015076226-Blush-Beige,in-media,true
1000015149348-Blue-Blue,in-media,true
1000015602841-White-White,in-media-ea,true
1000015606444-White-White,in-media,true
1000015606450-Blue-Blue,in-media-ea,true
1000015606453-Pink-Pink,in-media-ea,true
1000016033295-Blue-Blue,in-media-ea,true
1000016033311-Grey-Grey,in-media-ea,true
1000016033313-Pink-Pink,in-media-ea,true
1000016033317-Purple-Purple,in-media-ea,true
1100000302-Pink-Pink,in-media-ea,true
1100000303-Brown-Brown,in-media-ea,true
1100005510-Multicolour,in-media,true
