color_variant_id,container,reprocess
1000008929583-Multicolour,in-media,
1000008929595-Multicolour,in-media,
1000014870793,in-media,
1000008929580-Multicolour,in-media,
1000014870778,in-media,
1000008929589-Black-Black,in-media,
1000014870760,in-media,
1000016017227-Multicolour,in-media,
1000016017263-Red-Red,in-media,
1000016017230-Multicolour,in-media,
1000008929592-Pink-Pink,in-media,
1000008929586-Multicolour,in-media,
1000015204114,in-media,
1000014870763,in-media,
1000014870841,in-media,
1000014870808,in-media,
1000016147443,in-media,
1000014870838,in-media,
