sku_id,container,category
1000016276167-Mediumbeige,in-media-ea,women-bottoms
1000016276167-White-Offwhite,in-media-ea,women-bottoms
1000016276255-Brown-Brown,in-media-ea,women-bottoms
1000016492507-Black-Black,in-media-ea,women-bottoms
1000015390069-Beige-LightBeige,in-media,women-bottoms
1000015390069-Green-Olive,in-media,women-bottoms
1000015390069-Red-Wine,in-media-ea,women-bottoms
1000016065020-Blue-DarkBlue,in-media,women-bottoms
1000016096164-Blue-LightBlue,in-media,women-bottoms
1000015813020-Beige-Beige,in-media,women-bottoms
1000016276230-Brown-Brown,in-media-ea,women-bottoms
1000016345066-Blue-Lightblue,in-media-ea,women-bottoms
1000016345066-Blue-Midblue,in-media-ea,women-bottoms
1000016276167-Black-Black,in-media-ea,women-bottoms
1000016276230-Beige-LightBeige,in-media-ea,women-bottoms
1000016345066-Grey-Darkgrey,in-media-ea,women-bottoms
1000015683392-Blue-DarkBlue,in-media,women-bottoms
1000016276255-Black-Black,in-media-ea,women-bottoms
1000016120553-Beige-LightBeige,in-media,women-bottoms
1000015390069-Brown-DarkBrown,in-media-ea,women-bottoms
1000016492475-Blue-Lightblue,in-media-ea,women-bottoms
1000016161219-Black-Black,in-media,women-bottoms
1000016109647-Beige-LightBeige,in-media-ea,women-bottoms
1000016109647-Black-Black,in-media-ea,women-bottoms
1000016492475-Blue-Darkblue,in-media,women-bottoms
1000015708379-Brown-Brown,in-media,women-bottoms
1000015673313-Black-Black,in-media,women-bottoms
1000016492507-Blue-Lightblue,in-media-ea,women-bottoms
1000015760758-Brown-Brown,in-media,women-bottoms
1000016190135-Beige-LightBeige,in-media,women-bottoms
1000015281585-White-White,in-media,women-bottoms
1000015641352-Beige-Beige,in-media,women-bottoms
1000015641352-Black-Black,in-media,women-bottoms
1000015641352-Brown-Brown,in-media,women-bottoms
1000015641352-Brown-LightBrown,in-media,women-bottoms
1000015641352-Green-LightGreen,in-media,women-bottoms
1000015641352-Green-Olive,in-media,women-bottoms
1000015641352-Grey-Grey,in-media,women-bottoms
1000015641352-LightPurple,in-media,women-bottoms
1000015414587-Beige-LightBeige,in-media,women-bottoms
1000015414587-Black-Black,in-media,women-bottoms
1000015414587-White-OffWhite,in-media-ea,women-bottoms
1000015414587-White-White,in-media,women-bottoms
1000016190135-Green-Olive,in-media,women-bottoms
1000015390006-Beige-LightBeige,in-media,women-bottoms
1000015390006-Black-Black,in-media,women-bottoms
1000015390006-Brown-Brown,in-media,women-bottoms
1000015390006-Brown-LightBrown,in-media,women-bottoms
1000015390006-Brown-MediumBrow,in-media,women-bottoms
1000015390006-Green-DarkGreen,in-media,women-bottoms
1000015390006-Green-Olive,in-media,women-bottoms
1000015390006-Purple-Medium,in-media,women-bottoms
1000015390006-Red-Wine,in-media,women-bottoms
1000015659259-Black-Black,in-media,women-bottoms
1000016429999-White-White,in-media,women-bottoms
1000015755283-Green-LightGreen,in-media,women-bottoms
1000016148823-Purple-Purple,in-media,women-bottoms
1000015345294-Black-Black,in-media,women-bottoms
1000015345294-White-White,in-media,women-bottoms
1000015659259-Beige-Beige,in-media,women-bottoms
1000015891664-Black-Black,in-media,women-bottoms
1000016042275-White-OffWhite,in-media,women-bottoms
1000016172934-Black-Black,in-media,women-bottoms
1000016172934-MediumBeige,in-media,women-bottoms
1000016220809-Beige-Beige,in-media,women-bottoms
1000015708379-Brown-LightBrown,in-media,women-bottoms
1000016120478-Blue-Blue,in-media,women-bottoms
1000016120478-Pink-DustyPink,in-media,women-bottoms
1000015927022-Beige-MediumBeig,in-media,women-bottoms
1000016161649-Blue-LightBlue,in-media,women-bottoms
1000016120478-Purple-DarkPurpl,in-media,women-bottoms
1000015927022-Red-Wine,in-media,women-bottoms
1000015414587-Grey-LightGrey,in-media,women-bottoms
1000016203411-Black-Black,in-media,women-bottoms
1000016148823-Black-Black,in-media,women-bottoms
1000016042275-Green-LightGreen,in-media,women-bottoms
1000015683392-Blue-LightBlue,in-media,women-bottoms
1000015390006-LightPurple,in-media,women-bottoms
1000015641352-Beige-MediumBeig,in-media,women-bottoms
1000014934738-White-OffWhite,in-media,women-bottoms
1000015804582-DarkOrange,in-media,women-bottoms
1000016120553-Black-Black,in-media,women-bottoms
1000016429999-Black-Black,in-media-ea,women-bottoms
1000016120528-Beige-MediumBeig,in-media,women-bottoms
1000016120528-Black-Black,in-media,women-bottoms
1000016120528-Brown-Brown,in-media-ea,women-bottoms
1000016120528-Brown-LightBrown,in-media-ea,women-bottoms
1000015476220-Black-Black,in-media,women-bottoms
1000015476220-Brown-LightBrown,in-media,women-bottoms
1000015476220-Red-DarkWine,in-media,women-bottoms
1000015476220-White-OffWhite,in-media,women-bottoms
1000016036368-Brown-LightBrown,in-media,women-bottoms
1000016345257-Blue-Midblue,in-media-ea,women-bottoms
1000016065020-Blue-Blue,in-media,women-bottoms
1000016276205-Brown-Darkbrown,in-media-ea,women-bottoms
1000016276205-Beige-Beige,in-media-ea,women-bottoms
1000015536665-Brown-DarkBrown,in-media,women-bottoms
1000015599396-Black-Black,in-media,women-bottoms
1000015599396-Blue-Midblue,in-media,women-bottoms
1000015599396-Brown-Brown,in-media,women-bottoms
1000015599396-Green-Olive,in-media,women-bottoms
1000016161219-Pink-DustyPink,in-media,women-bottoms
1000015345294-Beige-Beige,in-media,women-bottoms
1000015594021-Red-Wine,in-media,women-bottoms
1000016120528-White-Offwhite,in-media-ea,women-bottoms
1000016226540-Black-Jetblack,in-media-ea,women-bottoms
1000015281585-Beige-Beige,in-media,women-bottoms
1000016226540-Black-Black,in-media,women-bottoms
1000015340551-Beige-Beige,in-media,women-bottoms
1000015513444-Beige-LightBeige,in-media,women-bottoms
1000015513444-Black-Black,in-media,women-bottoms
1000016203411-Purple-Purple,in-media,women-bottoms
1000015390044-Black-Black,in-media,women-bottoms
1000015390044-Red-Wine,in-media,women-bottoms
1000015915370-Brown-LightBrown,in-media,women-bottoms
1000015390044-Brown-LightBrown,in-media,women-bottoms
1000015813020-Black-Black,in-media,women-bottoms
1000015558127-Green-Olive,in-media,women-bottoms
1000015673313-Green-Olive,in-media,women-bottoms
1000016036368-Black-Black,in-media,women-bottoms
1000015755283-Green-Green,in-media,women-bottoms
1000015891664-Beige-LightBeige,in-media,women-bottoms
1000015760758-Blue-DarkBlue,in-media,women-bottoms
1000015562048-Black-Black,in-media,women-bottoms
1000015599396-Beige-Beige,in-media,women-bottoms
1000015558127-Blue-DarkBlue,in-media,women-bottoms
1000015479084-Beige-Beige,in-media,women-bottoms
1000015594021-Blue-DarkBlue,in-media,women-bottoms
1000015476220-Beige-Beige,in-media,women-bottoms
1000016161649-Blue-DarkBlue,in-media,women-bottoms
1000015479084-Black-Black,in-media,women-bottoms
1000016105238-Black-Black,in-media,women-bottoms
1000015536665-Beige-Beige,in-media,women-bottoms
1000015157642-Beige-MediumBeig,in-media,women-bottoms
1000015804582-Green-Olive,in-media,women-bottoms
1000016105238-Beige-LightBeige,in-media,women-bottoms
1000015390094-Black-Black,in-media,women-bottoms
1000016268786-Black-Black,in-media-ea,women-bottoms
1000016163732-Black-Black,in-media,women-bottoms
1000016220792-Black-Black,in-media-ea,women-bottoms
1000015573250-Beige-Beige,in-media,women-bottoms
1000015573250-Black-Black,in-media,women-bottoms
1000015573250-White-White,in-media,women-bottoms
1000016093006-Green-Green,in-media,women-bottoms
1000015340562-Black-Black,in-media,women-bottoms
1000015340562-Green-DarkGreen,in-media,women-bottoms
1000015340562-Grey-Charcoal,in-media,women-bottoms
1000016618443-Maroon-Maroon,in-media,women-bottoms
1000016108435-Brown-Brown,in-media,women-bottoms
1000016172934-Brown-Brown,in-media,women-bottoms
1000015340551-Black-Black,in-media,women-bottoms
1000016109647-Brown-Brown,in-media,women-bottoms
1000015340562-Purple-Purple,in-media,women-bottoms
1000016091471-Red-Maroon,in-media,women-bottoms
1000016187301-Purple-Purple,in-media,women-bottoms
1000015098064-Beige-Beige,in-media,women-bottoms
1000016219668-Pink-Pink,in-media,women-bottoms
1000016006695-Beige-Ivory,in-media,women-bottoms
1000016006695-Blue-Blue,in-media,women-bottoms
1000016006695-Pink-Pink,in-media,women-bottoms
1000016006695-Red-Maroon,in-media-ea,women-bottoms
