color_variant_id,container,reprocess
1000016648336-Grey-Sage,in-media-ea,
1000015688372-Beige-Beige,in-media,
1000016648313-Brown-Brown,in-media-ea,
1000016212346-White-Natural,in-media-ea,
1000016119288-Blue-Navy,in-media,
1000015700366-Blue-Navy,in-media,
1000015763975-White-Stone,in-media,
1000016272969-Black-Black,in-media,
1000016129615-Green-Olive,in-media,
1000015256868-Green-Mint,in-media,
1000015700345-Pink-Peach,in-media-ea,
1000015706124-Blue-Navy,in-media,
1000015233793-Green-Green,in-media,
1000016306950-Orange-Orange,in-media-ea,
1000016184251-Purple-Purple,in-media,
1000015230430-Pink-Pink,in-media,
1000015813831-Green-Green,in-media,
1000016272964-Multicolour,in-media,
1000015769279-Blue-Blue,in-media,
1000016337801-Black-Black,in-media-ea,
1000015834372-Pink-Pink,in-media-ea,
1000015936651-Blue-IceBlue,in-media,
1000015763612-Red-Burgundy,in-media,
1000015813854-Green-Olive,in-media,
1000016119288-Orange-Rust,in-media,
1000016283884-Pink-Peach,in-media,
1000015256862-Black-Black,in-media,
1000016338808-Black-Black,in-media-ea,
1000016095842-Red-Red,in-media,
1000016266970-Multicolour,in-media-ea,
1000016339063-Green-Green,in-media-ea,
1000016060336-Green-Green,in-media,
1000016328125-Pink-Peach,in-media-ea,
1000016012882-Purple-Purple,in-media,
1000016066172-Yellow-Mustard,in-media,
1000016339058-Red-Burgundy,in-media-ea,
1000016166605-Blue-NavyBlue,in-media,
1000016328130-Black-Black,in-media-ea,
1000016328134-Blue-NavyBlue,in-media-ea,
1000016012876-Blue-Blue,in-media,
1000016119813-Beige-Beige,in-media,
1000016280676-Purple-Purple,in-media-ea,
1000016326515-White-OffWhite,in-media-ea,
1000016045680-Blue-Blue,in-media,
1000016180276-Brown-Brown,in-media,
1000015487987-Grey-Grey,in-media,
1000015543628-Pink-Pink,in-media,
1000015936666-Blue-Navy,in-media-ea,
1000016062125-Blue-Blue,in-media,
1000015639202-Orange-Rust,in-media,
1000016020001-Red-Red,in-media,
1000015606640-Pink-Pink,in-media,
1000016051186-Beige-Beige,in-media,
1000016336852-Black-Black,in-media-ea,
1000016053895-Green-DarkGreen,in-media,
