sku_id,container,category
1000016280335-Brown-Lightbrown,in-media-ea,women-dressesandjumpsuits
1000016146514-Brown-Brown,in-media,women-dressesandjumpsuits
1000016398325-White-Offwhite,in-media,women-dressesandjumpsuits
1000016276154-Black-Black,in-media-ea,women-dressesandjumpsuits
1000016276026-Blue-MidBlue,in-media-ea,women-dressesandjumpsuits
1000016230260-Purple-Purple,in-media,women-dressesandjumpsuits
1000016321055-Green-Olive,in-media-ea,women-dressesandjumpsuits
1000016147575-Black-Black,in-media,women-dressesandjumpsuits
1000015477651-Green-Olive,in-media-ea,women-dressesandjumpsuits
1000016381771-Brown-Darkbrown,in-media-ea,women-dressesandjumpsuits
1000016280280-Brown-Lightbrown,in-media-ea,women-dressesandjumpsuits
1000016280291-Purple-Ltpurple,in-media,women-dressesandjumpsuits
1000016123637-Blue-LightBlue,in-media-ea,women-dressesandjumpsuits
1000016398325-Brown-Brown,in-media,women-dressesandjumpsuits
1000016046999-Black-Black,in-media,women-dressesandjumpsuits
1000016019206-Pink-Pink,in-media,women-dressesandjumpsuits
1000016123616-Black-Black,in-media,women-dressesandjumpsuits
1000016345522-Green-Darkolive,in-media-ea,women-dressesandjumpsuits
1000016280291-Black-Black,in-media,women-dressesandjumpsuits
1000016146488-Brown-Brown,in-media-ea,women-dressesandjumpsuits
1000016161047-Brown-Brown,in-media-ea,women-dressesandjumpsuits
1000016019206-Black-Black,in-media,women-dressesandjumpsuits
1000016381771-Black-Black,in-media-ea,women-dressesandjumpsuits
1000016230260-Black-Black,in-media,women-dressesandjumpsuits
1000015575619-Black-Black,in-media,women-dressesandjumpsuits
1000015545591-Black-Black,in-media,women-dressesandjumpsuits
1000016230243-Black-Black,in-media,women-dressesandjumpsuits
1000016230243-Purple-Purple,in-media,women-dressesandjumpsuits
1000016321055-Blue-Darkblue,in-media-ea,women-dressesandjumpsuits
1000016161100-Black-Black,in-media,women-dressesandjumpsuits
1000015511952-Green-Olive,in-media,women-dressesandjumpsuits
1000015511843-Red-Wine,in-media,women-dressesandjumpsuits
1000016051281-Black-Black,in-media,women-dressesandjumpsuits
1000015854220-Green-Olive,in-media,women-dressesandjumpsuits
1000016276026-Green-LimeGreen,in-media-ea,women-dressesandjumpsuits
1000016345522-Beige-Lightbeige,in-media-ea,women-dressesandjumpsuits
1000016280280-Blue-Blue,in-media-ea,women-dressesandjumpsuits
1000015545616-Brown-Brown,in-media,women-dressesandjumpsuits
1000015699542-Beige-Beige,in-media,women-dressesandjumpsuits
1000016161100-Pink-DustyPink,in-media,women-dressesandjumpsuits
1000015659172-Blue-LightBlue,in-media,women-dressesandjumpsuits
1000016161047-Black-Black,in-media,women-dressesandjumpsuits
1000015545578-Black-Black,in-media,women-dressesandjumpsuits
1000016093495-Black-Black,in-media,women-dressesandjumpsuits
1000016123637-Brown-Brown,in-media,women-dressesandjumpsuits
1000015854220-Beige-Beige,in-media,women-dressesandjumpsuits
1000015477651-Beige-Beige,in-media-ea,women-dressesandjumpsuits
1000015659172-Black-Black,in-media,women-dressesandjumpsuits
1000016148794-Black-Black,in-media,women-dressesandjumpsuits
1000016148794-Brown-DarkBrown,in-media,women-dressesandjumpsuits
1000016112412-Red-Red,in-media,women-dressesandjumpsuits
1000016018151-Blue-DarkBlue,in-media,women-dressesandjumpsuits
1000015632443-Blue-DarkBlue,in-media,women-dressesandjumpsuits
1000016146488-Black-Black,in-media,women-dressesandjumpsuits
1000016276154-Red-Red,in-media,women-dressesandjumpsuits
1000016147575-Brown-Brown,in-media,women-dressesandjumpsuits
1000016018172-Black-Black,in-media,women-dressesandjumpsuits
1000016123616-Brown-Brown,in-media,women-dressesandjumpsuits
1000015106979-Green-Olive,in-media,women-dressesandjumpsuits
1000015699542-Black-Black,in-media,women-dressesandjumpsuits
1000015476104-White-OffWhite,in-media,women-dressesandjumpsuits
1000016001924-Black-Black,in-media-ea,women-dressesandjumpsuits
1000016017346-Black-Black,in-media,women-dressesandjumpsuits
1000016193952-Brown-Brown,in-media,women-dressesandjumpsuits
1000016280335-Blue-Blue,in-media-ea,women-dressesandjumpsuits
1000016161079-Blue-Darkblue,in-media,women-dressesandjumpsuits
1000016018258-Black-Black,in-media,women-dressesandjumpsuits
1000016018172-Blue-DarkBlue,in-media,women-dressesandjumpsuits
1000015558102-Brown-Brown,in-media,women-dressesandjumpsuits
1000015523001-Brown-Brown,in-media,women-dressesandjumpsuits
1000016001924-Blue-LightBlue,in-media,women-dressesandjumpsuits
1000016046999-Green-DarkGreen,in-media,women-dressesandjumpsuits
1000015511843-Beige-LightBeige,in-media,women-dressesandjumpsuits
1000014794031-Brown-Brown,in-media,women-dressesandjumpsuits
1000015558102-Beige-Beige,in-media,women-dressesandjumpsuits
1000016018151-Yellow-DarkYello,in-media,women-dressesandjumpsuits
1000016161079-Brown-Darkbrown,in-media,women-dressesandjumpsuits
1000016093495-Beige-Beige,in-media,women-dressesandjumpsuits
1000015476079-Black-Black,in-media,women-dressesandjumpsuits
1000015632443-DarkOrange,in-media,women-dressesandjumpsuits
1000015545591-Brown-LightBrown,in-media,women-dressesandjumpsuits
1000015545616-Red-DarkRed,in-media,women-dressesandjumpsuits
1000015575619-Beige-LightBeige,in-media,women-dressesandjumpsuits
1000015523001-Black-Black,in-media,women-dressesandjumpsuits
1000016017346-Green-Olive,in-media,women-dressesandjumpsuits
1000016112412-Green-Green,in-media,women-dressesandjumpsuits
1000016355438-Black-Black,in-media-ea,women-dressesandjumpsuits
1000016051281-Red-Red,in-media,women-dressesandjumpsuits
1000014646625-Black-Black,in-media,women-dressesandjumpsuits
1000016092901-Red-Red,in-media,women-dressesandjumpsuits
1000016648302-Black-Black,in-media-ea,women-dressesandjumpsuits
1000016092901-Pink-Peach,in-media,women-dressesandjumpsuits
1000016093484-Green-Green,in-media,women-dressesandjumpsuits
1000016558616-Multicolour,in-media-ea,women-dressesandjumpsuits
1000015476079-Pink-LightPink,in-media,women-dressesandjumpsuits
1000016062767-Black-Black,in-media,women-dressesandjumpsuits
1000016033213-Blue-Teal,in-media,women-dressesandjumpsuits
1000016108429-Blue-Teal,in-media,women-dressesandjumpsuits
1000016108429-Red-Red,in-media,women-dressesandjumpsuits
1000016108429-Green-Green,in-media-ea,women-dressesandjumpsuits
1000016001193-Beige-Beige,in-media,women-dressesandjumpsuits
1000016355438-Beige-Beige,in-media-ea,women-dressesandjumpsuits
