sku_id,container,category
1000012927848-Beige-Beige,in-media,women-ethnicwear
1000012927848-Black-Black,in-media,women-ethnicwear
1000012927848-Blue-Indigo,in-media,women-ethnicwear
1000012927848-Grey-Grey,in-media,women-ethnicwear
1000012927848-Red-Maroon,in-media,women-ethnicwear
1000012927848-White-White,in-media,women-ethnicwear
1000016354253-Blue-Blue,in-media-ea,women-ethnicwear
1000016342179-Blue-Teal,in-media-ea,women-ethnicwear
1000016209108-Blue-Blue,in-media,women-ethnicwear
1000014444223-Black-Black,in-media,women-ethnicwear
1000014444223-Blue-Indigo,in-media,women-ethnicwear
1000014444223-Brown-Brown,in-media,women-ethnicwear
1000014444223-Red-Maroon,in-media,women-ethnicwear
1000016343069-Blue-Blue,in-media-ea,women-ethnicwear
1000016343418-Blue-Blue,in-media-ea,women-ethnicwear
1000009981719-Beige-Blush,in-media-us,women-ethnicwear
1000009981719-Beige-Ecru,in-media-us,women-ethnicwear
1000009981719-Black-Black,in-media-uk,women-ethnicwear
1000009981719-Blue-RoyalBlue,in-media-us,women-ethnicwear
1000009981719-Blue-Teal,in-media-uk,women-ethnicwear
1000009981719-Green-Olive,in-media-us,women-ethnicwear
1000009981719-Grey-Darkgrey,in-media-uk,women-ethnicwear
1000009981719-Grey-LightGrey,in-media-us,women-ethnicwear
1000009981719-Grey-Sage,in-media-us,women-ethnicwear
1000009981719-Pink-Coral,in-media-us,women-ethnicwear
1000009981719-Pink-Fuschia,in-media-us,women-ethnicwear
1000009981719-Pink-Pink,in-media-us,women-ethnicwear
1000009981719-Pink-Plum,in-media-us,women-ethnicwear
1000009981719-Red-Wine,in-media-uk,women-ethnicwear
1000009981719-White-White,in-media-us,women-ethnicwear
1000009981719-Yellow-Mustard,in-media-us,women-ethnicwear
1000014444223-White-White,in-media,women-ethnicwear
1000012969647-Black-Black,in-media-uk,women-ethnicwear
1000012969647-Blue-Indigo,in-media-uk,women-ethnicwear
1000012969647-White-OffWhite,in-media-uk,women-ethnicwear
1000012969647-White-White,in-media-uk,women-ethnicwear
1000012969647-White-Stone,in-media-ea,women-ethnicwear
1000015901869-Blue-Navy,in-media,women-ethnicwear
1000015665741-Beige-Beige,in-media,women-ethnicwear
1000015665741-Blue-LightBlue,in-media-ea,women-ethnicwear
1000016342217-Blue-Aqua,in-media-ea,women-ethnicwear
1000015665716-Blue-LightBlue,in-media-ea,women-ethnicwear
1000016354979-White-Offwhite,in-media,women-ethnicwear
1000016343418-Red-Red,in-media-ea,women-ethnicwear
1000016072658-Brown-Brown,in-media,women-ethnicwear
1000015639980-Red-Maroon,in-media-ea,women-ethnicwear
1000016270330-Yellow-Mustard,in-media-ea,women-ethnicwear
1000015587142-White-Stone,in-media,women-ethnicwear
1000015587142-White-White,in-media,women-ethnicwear
1000016278689-Red-Wine,in-media-ea,women-ethnicwear
1000016378815-Pink-Peach,in-media,women-ethnicwear
1000016557244-Pink-Pink,in-media,women-ethnicwear
1000016598604-Yellow-Yellow,in-media-ea,women-ethnicwear
1000015949509-White-OffWhite,in-media,women-ethnicwear
1000009981719-White-Offwhite,in-media-us,women-ethnicwear
1000015676415-Blue-Indigo,in-media,women-ethnicwear
1000015676415-Brown-Brown,in-media,women-ethnicwear
1000011052500-Black-Black,in-media-uk,women-ethnicwear
1000011052500-Gold-LightGold,in-media-uk,women-ethnicwear
1000011052500-Grey-Grey,in-media-uk,women-ethnicwear
1000011052500-White-White,in-media-uk,women-ethnicwear
1000015587142-Black-Black,in-media,women-ethnicwear
1000015554353-Blue-Blue,in-media,women-ethnicwear
1000016505204-White-Offwhite,in-media,women-ethnicwear
1000016354343-Grey-Sage,in-media,women-ethnicwear
1000016342179-Red-Wine,in-media-ea,women-ethnicwear
1000015606778-Pink-Fuschia,in-media,women-ethnicwear
1000015665958-Pink-Pink,in-media,women-ethnicwear
1000015458148-Beige-Beige,in-media-ea,women-ethnicwear
1000015458148-Black-Black,in-media-ea,women-ethnicwear
1000015458148-Blue-Navy,in-media-ea,women-ethnicwear
1000015458148-White-White,in-media-ea,women-ethnicwear
1000015902154-Blue-Indigo,in-media,women-ethnicwear
1000015556058-Green-Green,in-media,women-ethnicwear
1000009981719-Var6-DarkPink,in-media-uk,women-ethnicwear
1000015606804-Blue-Teal,in-media,women-ethnicwear
1000015606804-Red-Wine,in-media,women-ethnicwear
1000015606804-Black-Black,in-media,women-ethnicwear
1000015458111-Beige-Cream,in-media-ea,women-ethnicwear
1000015458111-Beige-Ecru,in-media-ea,women-ethnicwear
1000015458111-Black-Black,in-media-ea,women-ethnicwear
1000015458111-Blue-Navy,in-media-ea,women-ethnicwear
1000015458111-Green,in-media-ea,women-ethnicwear
1000015458111-Green-Lightgreen,in-media-ea,women-ethnicwear
1000015458111-Grey-Silvergrey,in-media-ea,women-ethnicwear
1000015458111-Pink-Babypink,in-media-ea,women-ethnicwear
1000015458111-Pink-Darkpink,in-media-ea,women-ethnicwear
1000015458111-Pink-Rosepink,in-media-ea,women-ethnicwear
1000015458111-Purple,in-media-ea,women-ethnicwear
1000015458111-Red-Darkred,in-media,women-ethnicwear
1000015458111-Red-Lightred,in-media-ea,women-ethnicwear
1000015458111-Red-Maroon,in-media-ea,women-ethnicwear
1000015458111-Red-Wine,in-media-ea,women-ethnicwear
1000015458111-White-Offwhite,in-media-ea,women-ethnicwear
1000015458111-White-White,in-media-ea,women-ethnicwear
1000015458111-Yellow-Mustard,in-media-ea,women-ethnicwear
1000015546467-White-OffWhite,in-media,women-ethnicwear
1000016164755-Yellow-Mustard,in-media-ea,women-ethnicwear
1000015594928-Beige-Beige,in-media-ea,women-ethnicwear
1000015594928-Blue-Turquoise,in-media-ea,women-ethnicwear
1000015594928-Brown-Brown,in-media-ea,women-ethnicwear
1000015594928-Green-Olive,in-media-ea,women-ethnicwear
1000015594928-Pink-LightPink,in-media-ea,women-ethnicwear
1000015594928-Red-Wine,in-media,women-ethnicwear
1000016342423-Red-Red,in-media,women-ethnicwear
1000016606171-Pink-Pink,in-media-ea,women-ethnicwear
1000015458111-Orange-Orange,in-media-ea,women-ethnicwear
1000015458170-Beige,in-media-ea,women-ethnicwear
1000015458170-Beige-Cream,in-media-ea,women-ethnicwear
1000015458170-Black-Black,in-media-ea,women-ethnicwear
1000015458170-Gold-Gold,in-media-ea,women-ethnicwear
1000015458170-Gold-Lightgold,in-media-ea,women-ethnicwear
1000015458170-Pink-Dustypink,in-media-ea,women-ethnicwear
1000016343069-Red-Red,in-media-ea,women-ethnicwear
1000011121647-Pink-Coral,in-media-uk,women-ethnicwear
1000011121647-Red-Red,in-media-uk,women-ethnicwear
1000011121647-White-OffWhite,in-media-uk,women-ethnicwear
1000015639980-Green-Green,in-media-ea,women-ethnicwear
1000016505191-Orange-Rust,in-media,women-ethnicwear
1000011052500-Gold-Gold,in-media-uk,women-ethnicwear
1000014618043-Beige-Cream,in-media,women-ethnicwear
1000014618043-Black-Black,in-media,women-ethnicwear
1000014618043-Brown-Brown,in-media,women-ethnicwear
1000014618043-Pink-DarkPink,in-media,women-ethnicwear
1000014618043-Red-Red,in-media,women-ethnicwear
1000014618043-White-White,in-media,women-ethnicwear
1000015458131-Gold-Antiquegold,in-media-ea,women-ethnicwear
1000015458131-Gold-Gold,in-media-ea,women-ethnicwear
1000015458131-Silver-Silver,in-media-ea,women-ethnicwear
1000015458131-White-White,in-media-ea,women-ethnicwear
1000015458131-Black-Black,in-media-ea,women-ethnicwear
