sku_id,container,category
1000016512528-Beige-Beige,in-media-ea,women-lingerie
1000016512528-Blue-Darkblue,in-media-ea,women-lingerie
1000012018292-Beige-Beige,in-media,women-lingerie
1000012018292-Black-Black,in-media-us,women-lingerie
1000016512528-Red-Heatherrose,in-media-ea,women-lingerie
1000015670302-Blue-MidBlue,in-media,women-lingerie
1000015670302-Black-Black,in-media,women-lingerie
1000006575289-2906-Var1-Beige-Skin,in-media-uk,women-lingerie
1000015670237-Blue-DarkBlue,in-media,women-lingerie
1000015670237-Green-Green,in-media,women-lingerie
1000015670237-Purple-Purple,in-media,women-lingerie
1000016549538-Black-Black,in-media-ea,women-lingerie
1000011239958-Grey-GreyMelange,in-media-uk,women-lingerie
1000002237710Black,in-media-uk,women-lingerie
1000006575289-2906-Var1-Black-Black,in-media-uk,women-lingerie
1000012018292-Pink-EnglishRose,in-media,women-lingerie
1000015670237-Brown-Brown,in-media,women-lingerie
1000016549538-Beige-Beige,in-media-ea,women-lingerie
1000014592519-Black-Black,in-media,women-lingerie
1000014592486-Grey-GreyMelange,in-media,women-lingerie
1000012534285-Blue-Blue,in-media,women-lingerie
1000011239523-Black-Black,in-media-uk,women-lingerie
1000011239523-Brown-Skin,in-media-uk,women-lingerie
1000011239523-Multicolour,in-media-uk,women-lingerie
1000011239523-Purple-Purple,in-media-uk,women-lingerie
1000011239523-Red-Red,in-media-uk,women-lingerie
1000014949060-Beige-Beige,in-media,women-lingerie
1000014949060-Purple-Plum,in-media,women-lingerie
1000012614667-Beige-Beige,in-media-uk,women-lingerie
1000012614667-Brown-Skin,in-media-uk,women-lingerie
1000015711994-Purple-Purple,in-media,women-lingerie
1000010746087-Var8-Blue-Navy,in-media-uk,women-lingerie
1000010746087-Var8-Brown-Skin,in-media-uk,women-lingerie
1000013294865-Pink-Coral,in-media,women-lingerie
1000016512589-Red-Heatherrose,in-media-ea,women-lingerie
1000011382052-Beige-Beige,in-media-us,women-lingerie
1000011382052-Black-Black,in-media-us,women-lingerie
1000010862014-Brown-Skin,in-media-uk,women-lingerie
1000015670335-Green-Green,in-media,women-lingerie
1000011775361-Beige-Beige,in-media-uk,women-lingerie
1000011775361-Black-Black,in-media-uk,women-lingerie
1000011775361-White-OffWhite,in-media-uk,women-lingerie
