color_variant_id,container,reprocess
1000014702032-Brown-Brown,in-media,
1000014868796-Beige-Beige,in-media,
1000016335979-Blue-Lightblue,in-media-ea,
1000013923995-Blue-Blue,in-media,
1000014452402-Blue-Navy,in-media,
1000014702175-Beige-Beige,in-media,
1000014868913-White-OffWhite,in-media,
1000014868926-Beige-Beige,in-media,
1000014870876-LightPurple,in-media,
1000014452303-Brown-Skin,in-media,
1000016336001-Blue-Lightblue,in-media-ea,
1000016336157-Blue-Lightblue,in-media-ea,
1000014452270-Red-Red,in-media,
1000014868835-LightPurple,in-media,
1000016336196-Beige-Beige,in-media-ea,
1000014702084-Black-Black,in-media,
1000014702006-Green-Mediumoliv,in-media,
1000013923729-Grey-Grey,in-media,
1000014868874-DarkPurple,in-media,
1000014868900-LightPurple,in-media,
1000015162738-Orange-Orange,in-media,
1000013923742-Beige-Beige,in-media,
1000014868939-Beige-Beige,in-media,
1000013923982-White-White,in-media,
1000014868770-White-OffWhite,in-media,
1000014868822-Red-Red,in-media,
1000014452303-Black-Black,in-media,
1000016336222-Blue-Lightblue,in-media-ea,
1000013923664-Beige-Beige,in-media,
1000013923677-Black-Black,in-media,
1000014148799-Purple-Lilac,in-media,
1000014452205-Blue-Navy,in-media,
1000014452337-Pink-Pink,in-media,
1000014701954-White-Offwhite,in-media,
1000014702162-White-Offwhite,in-media,
1000014702188-Beige-Beige,in-media,
1000015162725-White-OffWhite,in-media,
1000014870843-DarkPurple,in-media,
1000013924008-Grey-GreyMelange,in-media,
1000013923877-Brown-Brown,in-media,
1000013924060-Blue-Navy,in-media,
1000014347802-White-White,in-media,
1000014452292-White-OffWhite,in-media,
1000014701967-Red-DarkRed,in-media,
1000014868757-Green-LightOlive,in-media,
1000014868783-Brown-Brown,in-media,
1000014870854-Red-Red,in-media,
1000015162545-White-OffWhite,in-media,
1000015315058-Green-MediumOliv,in-media,
1000014452218-White-White,in-media,
1000014702110-Beige-Beige,in-media,
1000014148916-Purple-Lilac,in-media,
1000014347741-Purple-Lilac,in-media,
1000013923932-Black-Black,in-media,
1000014148890-White-White,in-media,
1000014347789-Grey-GreyMelange,in-media,
1000015162451-White-OffWhite,in-media,
1000014701980-Black-Black,in-media,
1000015162673-Orange-Orange,in-media,
1000013923910-Brown-Brown,in-media,
1000013924034-Brown-Tan,in-media,
1000013924073-Blue-Blue,in-media,
1000014452376-Red-Red,in-media,
1000014452389-Green-Green,in-media,
1000014702019-White-Offwhite,in-media,
1000014702058-Brown-Brown,in-media,
1000014702071-Beige-Beige,in-media,
1000014868861-White-OffWhite,in-media,
1000013923943-Black-JetBlack,in-media,
1000013924047-Beige-Beige,in-media,
1000014347815-Pink-Peach,in-media,
1000014347828-Black-Black,in-media,
1000014418016-White-White,in-media,
1000014452350-Beige-Beige,in-media,
1000014452363-Beige-Beige,in-media,
1000014701993-Red-DarkRed,in-media,
1000014702045-Green-Olive,in-media,
1000014868744-Beige-Beige,in-media,
1000014868848-Brown-Brown,in-media,
1000015315069-Pink-DustyPink,in-media,
1000010901011-Black-Black,in-media-us,
1000014868630-LightPurple,in-media,
1000015162488-LightYellow,in-media,
1000015315093-Pink-DustyPink,in-media,
1000015526829-Black-Black,in-media,
1000015540803-Red-DarkRed,in-media,
1000015540816-Blue-MidBlue,in-media,
1000015540829-Brown-LightBrown,in-media,
1000012139123-Purple-Purple,in-media-us,
1000014452324-White-OffWhite,in-media,
1000015315228-Pink-DustyPink,in-media,
1000014347776-Pink-Peach,in-media,
