sku_id,container,category
1000016377428-Red-Darkred,in-media-ea,women-plussize
1000016214267-Purple-LightPurp,in-media,women-plussize
1000016212638-Black-Black,in-media,women-plussize
1000016377320-Blue-Darkblue,in-media-ea,women-plussize
1000015689512-Blue-MidBlue,in-media,women-plussize
1000016214267-Black-Black,in-media,women-plussize
1000016212638-Blue-Navy,in-media,women-plussize
1000015619922-Green-LightGreen,in-media,women-plussize
1000016377428-Blue-Darkblue,in-media-ea,women-plussize
1000016377320-Red-Darkred,in-media-ea,women-plussize
1000015893850-Red-DarkWine,in-media,women-plussize
1000015893720-Black-Black,in-media,women-plussize
1000015619976-Green-Darkgreen,in-media,women-plussize
1000015619976-Brown-DarkBrown,in-media,women-plussize
1000015893850-Beige-MediumBeig,in-media,women-plussize
1000015893796-Blue-LightBlue,in-media,women-plussize
1000015689512-White-OffWhite,in-media,women-plussize
1000016156499-Pink-DustyPink,in-media,women-plussize
1000015893720-Beige-LightBeige,in-media,women-plussize
1000015893796-Green-DarkGreen,in-media,women-plussize
1000015619922-Brown-MediumBrow,in-media,women-plussize
1000015121324-Blue-Blue,in-media,women-plussize
1000015121293-Blue-Blue,in-media,women-plussize
1000015121293-Grey-Grey,in-media,women-plussize
1000015121293-Black-Black,in-media,women-plussize
1000015619901-Red-DarkWine,in-media,women-plussize
1000015619901-Green-DarkGreen,in-media,women-plussize
1000016156499-Green-LimeGreen,in-media,women-plussize
