sku_id,container,category
1000016303550-Pink-Dustypink,in-media,women-sportswear
1000016089732-Black-Black,in-media,women-sportswear
1000016303637-Beige-Beige,in-media-ea,women-sportswear
1000016145142-Pink-DustyPink,in-media,women-sportswear
1000016145142-Red-Wine,in-media,women-sportswear
1000016335465-Blue-Darkblue,in-media,women-sportswear
1000016145173-Black-Black,in-media,women-sportswear
1000016145173-Blue-DarkBlue,in-media,women-sportswear
1000016145173-White-OffWhite,in-media,women-sportswear
1000016335465-Black-Black,in-media-ea,women-sportswear
1000016089700-Green-Green,in-media,women-sportswear
1000016303637-Black-Black,in-media-ea,women-sportswear
1000016145055-Blue-DarkBlue,in-media,women-sportswear
1000016303529-Black-Black,in-media-ea,women-sportswear
1000015637007-Black-Black,in-media,women-sportswear
1000016089646-Black-Black,in-media,women-sportswear
1000016303700-Black-Black,in-media-ea,women-sportswear
1000016303700-Blue-Blue,in-media-ea,women-sportswear
1000016303700-Blue-Darkblue,in-media,women-sportswear
1000016303700-Red-Wine,in-media,women-sportswear
1000016303700-Orange-Rust,in-media-ea,women-sportswear
1000015636986-White-White,in-media,women-sportswear
1000016303529-Beige-Beige,in-media-ea,women-sportswear
1000015636901-Black-Black,in-media,women-sportswear
1000015637007-White-OffWhite,in-media,women-sportswear
1000016432317-Red-Wine,in-media-ea,women-sportswear
1000016335422-White-Offwhite,in-media-ea,women-sportswear
1000007762379-Beige-SKIN,in-media-uk,women-sportswear
1000007762379-White-WHITE,in-media-uk,women-sportswear
1000015439069-Black-Black,in-media,women-sportswear
1000016303658-Black-Black,in-media-ea,women-sportswear
1000015439090-Blue-DarkBlue,in-media,women-sportswear
1000016303679-Black-Black,in-media-ea,women-sportswear
1000016303658-White-Offwhite,in-media-ea,women-sportswear
1000016303679-White-Offwhite,in-media-ea,women-sportswear
1000016432317-White-Offwhite,in-media,women-sportswear
1000016570294-White-Offwhite,in-media-ea,women-sportswear
1000016570294-Blue-Blue,in-media-ea,women-sportswear
1000010746103-Blue-Blue,in-media-uk,women-sportswear
1000016089646-Blue-DarkBlue,in-media,women-sportswear
1000016089700-Red-Wine,in-media,women-sportswear
1000016145055-Brown-LightBrown,in-media-ea,women-sportswear
1000015636944-Black-Black,in-media,women-sportswear
1000016145142-Beige-Beige,in-media,women-sportswear
1000015636944-White-White,in-media,women-sportswear
1000016089732-Brown-DarkBrown,in-media,women-sportswear
1000015636901-Pink-DustyPink,in-media,women-sportswear
1000015439048-Pink-DustyPink,in-media,women-sportswear
1000015439069-Beige-Beige,in-media,women-sportswear
1000015439090-Pink-DustyPink,in-media,women-sportswear
1000003942522-Black-Black,in-media-uk,women-sportswear
1000003942522-Purple-Purple,in-media-uk,women-sportswear
1000016303550-Brown-Brown,in-media-ea,women-sportswear
1000015439048-Blue-DarkBlue,in-media,women-sportswear
1000015636986-Black-Black,in-media,women-sportswear
1000016335422-Black-Black,in-media-ea,women-sportswear
1000015439027-Beige-Beige,in-media,women-sportswear
