sku_id,container,category
1000016382106-Green-Limegreen,in-media,women-tops
1000015796923-Pink-DustyPink,in-media,women-tops
1000015414678-Beige-MediumBeig,in-media,women-tops
1000015414678-Black-Black,in-media,women-tops
1000015414678-Blue-MidBlue,in-media-ea,women-tops
1000015414678-Brown-LightBrown,in-media,women-tops
1000015414678-Green-Olive,in-media,women-tops
1000015414678-LightPurple,in-media,women-tops
1000015414678-Red-Wine,in-media,women-tops
1000016321251-Blue-Darkblue,in-media-ea,women-tops
1000016407833-Black-Black,in-media-ea,women-tops
1000016402987-White-Offwhite,in-media-ea,women-tops
1000015390962-Black-Black,in-media,women-tops
1000015390962-Brown-LightBrown,in-media,women-tops
1000015390962-Brown-MediumBrow,in-media,women-tops
1000015390962-Green-DarkGreen,in-media,women-tops
1000015390962-Green-Olive,in-media,women-tops
1000015390962-LightPurple,in-media,women-tops
1000015390962-Purple-Medium,in-media,women-tops
1000015390962-Red-Wine,in-media,women-tops
1000016402819-Brown-Darkbrown,in-media-ea,women-tops
1000016429865-Red-Red,in-media-ea,women-tops
1000016276344-Blue-MidBlue,in-media-ea,women-tops
1000015869016-Black-Black,in-media-ea,women-tops
1000015869016-Pink-Pink,in-media-ea,women-tops
1000015869016-Red-Red,in-media-ea,women-tops
1000016146579-Blue-DarkBlue,in-media,women-tops
1000016311901-Brown-Darkbrown,in-media-ea,women-tops
1000015558230-Beige-Beige,in-media,women-tops
1000016255216-Brown-Lightbrown,in-media-ea,women-tops
1000016321251-Green-Olive,in-media-ea,women-tops
1000015665958-White-OffWhite,in-media,women-tops
1000016402819-Yellow,in-media-ea,women-tops
1000015496797-Brown-Brown,in-media,women-tops
1000016120642-Brown-Lightbrown,in-media-ea,women-tops
1000016120642-Green-Olive,in-media-ea,women-tops
1000016120642-Red-Wine,in-media,women-tops
1000015693952-Blue-MidBlue,in-media,women-tops
1000015494927-Black-Black,in-media,women-tops
1000015494927-Green-Olive,in-media,women-tops
1000015494927-Red-MediumRed,in-media,women-tops
1000015483743-Brown-Brown,in-media,women-tops
1000015483743-Green-Green,in-media,women-tops
1000016402987-Red-Wine,in-media-ea,women-tops
1000016321213-Brown-Brown,in-media-ea,women-tops
1000015558281-Brown-DarkBrown,in-media,women-tops
1000015494902-Brown-Brown,in-media,women-tops
1000015494902-Brown-Darkbrown,in-media,women-tops
1000015494902-Green-DarkGreen,in-media,women-tops
1000016640426-Green-Olive,in-media,women-tops
1000016640426-Purple-Lilac,in-media-ea,women-tops
1000016640426-White-White,in-media,women-tops
1000015927056-Beige-MediumBeig,in-media,women-tops
1000016097639-Blue-DarkBlue,in-media,women-tops
1000016120742-Brown-Brown,in-media,women-tops
1000016120742-Brown-Lightbrown,in-media-ea,women-tops
1000016120742-Green-DarkGreen,in-media,women-tops
1000016120742-Purple-Purple,in-media-ea,women-tops
1000016120742-Red-Red,in-media,women-tops
1000015659370-Beige-Beige,in-media,women-tops
1000016321320-White-Offwhite,in-media,women-tops
1000016398469-Black-Black,in-media,women-tops
1000016161531-Black-Black,in-media,women-tops
1000016388395-Black-Black,in-media-ea,women-tops
1000016321213-Blue-Lightblue,in-media-ea,women-tops
1000016280417-Red-Red,in-media-ea,women-tops
1000015414678-Blue-Blue,in-media,women-tops
1000016109828-Brown-Brown,in-media,women-tops
1000015854279-Beige-Beige,in-media,women-tops
1000015693784-Brown-Brown,in-media,women-tops
1000015512067-Red-Wine,in-media,women-tops
1000016388395-Red-Wine,in-media-ea,women-tops
1000016539238-White-White,in-media,women-tops
1000016403051-Yellow,in-media-ea,women-tops
1000016120617-Black-Black,in-media,women-tops
1000016120617-Blue-Blue,in-media,women-tops
1000016120617-MediumBeige,in-media,women-tops
1000016120617-Pink-DustyPink,in-media,women-tops
