sku_id,container,category
1000015674324-Blue-DarkBlue,in-media,women-winterwear
1000016109621-Beige-LightBeige,in-media-ea,women-winterwear
1000016109621-Black-Black,in-media,women-winterwear
1000015644562-Green-Olive,in-media,women-winterwear
1000015477739-Brown-Brown,in-media,women-winterwear
1000015621010-Red-Wine,in-media,women-winterwear
1000015671071-Brown-Brown,in-media,women-winterwear
1000015710798-Orange-DarkOrang,in-media,women-winterwear
1000016276129-Beige-Beige,in-media-ea,women-winterwear
1000016276129-Brown-Darkbrown,in-media-ea,women-winterwear
1000015710745-Brown-Brown,in-media,women-winterwear
1000015561924-Blue-DarkBlue,in-media,women-winterwear
1000016145204-Brown-LightBrown,in-media,women-winterwear
1000015674324-Orange-DarkOrang,in-media,women-winterwear
1000015674281-Red-Wine,in-media,women-winterwear
1000015621064-White-White,in-media,women-winterwear
1000015594431-Black-Black,in-media,women-winterwear
1000015476169-Black-Black,in-media,women-winterwear
1000015476169-Brown-LightBrown,in-media,women-winterwear
1000015476169-Red-DarkWine,in-media,women-winterwear
1000015476169-White-OffWhite,in-media,women-winterwear
1000015621064-Green-Olive,in-media,women-winterwear
1000015621010-Blue-DarkBlue,in-media,women-winterwear
1000016145204-Blue-DarkBlue,in-media,women-winterwear
1000015477739-Black-Black,in-media-ea,women-winterwear
1000015511297-Brown-Brown,in-media,women-winterwear
1000015899250-Black-Black,in-media,women-winterwear
1000015477696-White-OffWhite,in-media,women-winterwear
1000015720619-Pink-DustyPink,in-media,women-winterwear
1000015594431-White-OffWhite,in-media,women-winterwear
1000015561924-White-OffWhite,in-media,women-winterwear
1000015710648-Red-Red,in-media,women-winterwear
1000015511297-Beige-Beige,in-media,women-winterwear
1000015536640-Beige-Beige,in-media,women-winterwear
1000015511259-Red-Wine,in-media,women-winterwear
1000015594314-Green-LightOlive,in-media,women-winterwear
1000015764899-White-OffWhite,in-media-ea,women-winterwear
1000016036330-Brown-LightBrown,in-media,women-winterwear
1000015673675-Brown-DarkBrown,in-media,women-winterwear
1000015674281-Black-Black,in-media,women-winterwear
1000015511322-Black-Black,in-media,women-winterwear
1000016109621-Brown-Brown,in-media,women-winterwear
1000015899250-White-OffWhite,in-media,women-winterwear
1000015710798-White-White,in-media,women-winterwear
1000016036330-Black-Black,in-media,women-winterwear
1000015620941-Pink-Pink,in-media,women-winterwear
1000016280721-Beige-Cream,in-media,women-winterwear
1000015536640-Brown-DarkBrown,in-media,women-winterwear
1000015765367-Beige-Beige,in-media,women-winterwear
1000015765367-Brown-Brown,in-media,women-winterwear
1000016333556-Beige-Cream,in-media-ea,women-winterwear
1000015710691-White-OffWhite,in-media,women-winterwear
1000016193384-Green-LightGreen,in-media-ea,women-winterwear
1000015773929-Black-Black,in-media,women-winterwear
1000015899288-Yellow-Mustard,in-media,women-winterwear
1000015899288-Beige-LightBeige,in-media,women-winterwear
1000015671071-White-OffWhite,in-media,women-winterwear
1000015710777-Blue-DarkBlue,in-media,women-winterwear
1000015773954-Blue-Navy,in-media,women-winterwear
1000015683042-Green-LightOlive,in-media,women-winterwear
1000015710648-Black-Black,in-media,women-winterwear
1000015710777-Pink-DustyPink,in-media,women-winterwear
1000015764899-Black-Black,in-media-ea,women-winterwear
1000015642734-Orange-Rust,in-media,women-winterwear
1000015594314-Beige-LightBeige,in-media,women-winterwear
1000014451123-White-OffWhite,in-media,women-winterwear
1000015899313-Blue-Blue,in-media,women-winterwear
