sku_id,container,reprocess
1000011085830-Blue-Navy,,
1000011683168-Black-Black,in-media-uk,
1000011683150-White-White,in-media-uk,
1000011085742-Black-Black,in-media-uk,
1000011683168-White-White,in-media-uk,
1000015246040-Multicolour-Mlti,in-media,
1000011085742-Grey-Grey,in-media,
1000006838769-Var1710-Grey-Mix,in-media-uk,
1000011741914-Black-Black,,
1000001277332-White-White,in-media,
1000011456700-Multicolour-Mix,in-media,
1000000578632-Multicolour-Mix,in-media,
1000003467891-Multicolour-Mix,in-media,
1000011243688-Blue-NavyMelange,,
1000005769011-Var1710-Grey-Mix,in-media-uk,
1000005308937-Multicolour-Mix,in-media,
1000015246051-Multicolour-Mlti,in-media,
1000011085864-White-White,in-media-uk,
1000005315224-Multicolour-Mix,in-media,
1000013074391-Multicolour-Mlti,in-media-uk,
1000000578548-Multicolour-Mix,in-media,
1000009220720-Multicolour-Mix,in-media,
1000008237506-Multicolour-Mix,in-media,
1000003467886-Multicolour-Mix,in-media,
1000004904010-Black-Black,in-media,
1000007685790-Multicolour-Mix,in-media,
1000006290793-Multicolour-Mix,in-media,
1000008237516-Multicolour-Mix,in-media,
1000006290783-Multicolour-Mix,in-media,
1000007685800-Var2705-Blue-Navy,in-media-uk,
1000011742104-White-White,,
1000013157465-Green-Green,in-media-uk,
1000007163456-41218-Black-Black,in-media,
1000011683159-White-White,in-media-uk,
1000015246018-Multicolour-Mlti,in-media,
1000013157460-Red-Red,in-media-uk,
1000007685830-Multicolour-Mix,in-media,
1000009001975-Blue-Navy,in-media-uk,
1000008237511-Multicolour-Mix,in-media,
1000011545838-Beige-Khaki,in-media,
1000011683056-Black-Black,in-media-uk,
1000003362677-I024-001-P2-White-White,in-media-uk,
1000006290841-Var0802-Black-Black,in-media,
1000005685685-19112017-Grey-Grey,in-media,
1000011243688-Black-Black,in-media-uk,
1000015245985-Multicolour-Mlti,in-media,
1000011085830-Grey-Grey,in-media,
1000010657908-Multicolour,in-media,
1000011683141-White-White,in-media-uk,
1000000600927-White-White,in-media,
1000000600831-Grey-GreyMelange,in-media,
1000011085742-Multicolour-Mlti,in-media,
1000004904060-Black-Black,in-media,
1000008141085-Multicolour-MIX,in-media-uk,
1000004904050-Black-Black,in-media,
1000000600932-Black-Black,in-media,
1000004904015-Blue-Teal,in-media,
1000011741868-Multicolour-Mlti,in-media-uk,
1000006838698-1608-Var1-Orange-Mix,in-media-uk,
1000007685850-Black-Black,in-media,
1000004904055-Blue-Teal,in-media,
1000012477012-Green-Green,in-media,
1000013157438-Green-Green,in-media-uk,
1000009989213-Brown-Brown,in-media,
1000005685700-Us54-0105-Grey-Grey,in-media-uk,
1000009929554-Blue,in-media,
1000005685700-Us54-0105-Blue-Blue,in-media-uk,
1009-0210-White-1000000578827-White-White,in-media-uk,
1000014180869-Black-Black,in-media,
1000009989205-Brown-Brown,in-media,
1000004904065-Grey-Grey,in-media,
1000015245974-Multicolour-Mlti,in-media,
1000011456790-White-White,in-media-uk,
1000006290841-Var0802-Grey-Grey-Melange,in-media-uk,
1000010345920-Green,in-media,
1000015245996-Multicolour-Mlti,in-media,
1000015246029-Multicolour-Mlti,in-media,
1000011683115-Black-Black,in-media-uk,
1000011085813-Blue-DarkTeal,,
1000007685860-White-White,in-media,
1000009828253-Var78-Grey,in-media-uk,
1000008608687-Blue,in-media,
1000015246007-Multicolour-Mlti,in-media,
1000007685805-Blue-DarkBlue,in-media,
1000011456730-Green-Green,in-media,
1000009828253-Grey-Charcoal,in-media-uk,
1000009220745-Beige-Khaki,in-media,
1000008608686-Blue,in-media-uk,
1000010878343-Blue-Navy,in-media,
1000005313286-141118-Black-Black,in-media-uk,
1000011741878-Red-Burgundy,,
1000004175216-Blue-Navy,in-media-uk,
1000010592243-Blue,in-media-uk,
1000011683056-Grey-Grey,in-media,
1000011085830-Black-Black,,
1000005769026-8918-Red-Mix,in-media-uk,
1000004175206-Black-Black,in-media-uk,
1000000578914-1009-0210-Asstd-Black-Mix,in-media-uk,
1000010592243-Grey,in-media-uk,
1000008591430-Blue-Blue,in-media-uk,
1000005711003-12122017-Blue-Mix,in-media-uk,
1000007163442-White,in-media-uk,
1000009827208-Black-Black,in-media,
1000009827228-Black,in-media-uk,
1000000578323-9930-0105-Black-Black-Black,in-media-uk,
1000007685820-Blue-Blue,in-media,
1000007362897-180219-Red-Red,in-media-uk,
1000010878333-Blue-Blue,in-media,
1000007163438-Black,in-media,
1000000578317-9930-0105-White-White-White,in-media-uk,
1000011456760-Black-Black,in-media,
1000007685795-Var2705-Blue-Mix,in-media-uk,
1000011456785-Red-Red,in-media,
1000005685661-Multicolour-BW,in-media,
1000007163437-Black,in-media-uk,
1000004904020-Black-Black,in-media,
1000009220770-Black-Black,in-media,
1000009222097-Blue-Navy,in-media-uk,
1000007816918-White-WHITE,in-media-uk,
1000010345897-Black,in-media,
1000005685648-Black-Black,in-media,
1000009929564-Grey,in-media,
1000009220787-Grey,in-media-uk,
1000000578713-8823-0210-White-White-White,in-media-uk,
1000007163443-White,in-media,
1000012132516-Blue-DrkblueNavy,in-media,
1000013157418-Blue-Navy,,
1000009220790-Blue-Navy,in-media-uk,
1000012477022-Grey-Grey,in-media,
1000006290822-Multicolour-Mix,in-media,
1000005685700-Us54-0105-Black-Black,in-media-uk,
1000009929563-Grey,in-media-uk,
1000005685676-281117-Black-Black,in-media-uk,
1000011545843-Grey-DarkGrey,in-media-uk,
1000004904025-Grey-Grey,in-media,
1000006290798-Blue-Navy,in-media,
1000003467896-Multicolour-Mix,in-media,
1000005685690-Multicolour-BW,in-media,
1000006290827-Blue-Navy,in-media,
1000004904030-White-White,in-media,
1000011741702-Red-Burgundy,,
1000011456765-Blue-Navy,in-media,
1000009222127-Blue-Navy,in-media-uk,
1000005685695-11118-Blue-Mix,in-media-uk,
1000009001945-Black-Black,in-media-uk,
Ihvt1Cwh10071-1000005314315-White-White,in-media-uk,
1000013157423-Black-Black,in-media-uk,
1000013157433-Red-Red,in-media-uk,
8826-0110-White-1000000600922-White-White,in-media-uk,
1000013157428-Blue-Blue,in-media-uk,
1000011085873-White-White,in-media-uk,
1000011290428-Blue-Blue,in-media-uk,
1000009222623-Black,in-media-uk,
1000007362892-180219-Blue-Navy,in-media-uk,
1000000012719-1222-0210-Asstd-Grey-Mix,in-media-uk,
1000009828280-Var78-White,in-media-uk,
1000013157453-Black-Black,in-media-uk,
1000010345925-Black,in-media-uk,
1000009222107-Blue-Navy,in-media-uk,
1000009828267-Black-Black,in-media-uk,
1000009828267-Var78-Grey,in-media-uk,
1000005051749-Var2208-Grey-Grey-Melange,in-media-uk,
Ihvt1Lk4560072-1000005314300-Grey-Grey,in-media-uk,
1000009001983-Black-Black,in-media-uk,
1000009828262-Black-Black,in-media-uk,
1000010364330-Multicolour,in-media-uk,
1000009222122-Grey-GreyMelange,in-media-uk,
1000010345853-White,in-media-uk,
1000004175211-Red-Red,in-media-uk,
1000005432301-12122017-Grey-Mix,in-media-uk,
1000008830731-Green-Green,in-media-uk,
1000008591400-Blue-Blue,in-media-uk,
1000008043502-Blue-BLUE,in-media-uk,
1000000578553-1011-0210-Asstd-Black-Mix,in-media-uk,
1000009828289-White-Ecru,in-media-uk,
1000005313296-Var1807-Blue-Navy,in-media-uk,
1000008591395-Blue-Blue,in-media-uk,
1000008591435-Blue-Blue,in-media-uk,
1000009222087-Blue-Navy,in-media-uk,
1000010833231-Grey-GreyMelange,in-media-uk,
1000009828280-Green-Green,in-media-uk,
1015-0110-White-1000000578401-White-White,in-media-uk,
1000000578972-1015-0110-Asstd-Grey-Mix,in-media-uk,
1000005832730-Var1807-Red-Mix,in-media-uk,
1000009827188-Blue-Navy,in-media-uk,
1000000770709-Multicolour-Mlti,in-media-uk,
1000014262158-Blue-Navy,in-media,
1000007844785-Black-Black,in-media-uk,
1000007844790-Blue-NAVY,in-media-uk,
1000006015784-12122017-Black-Mix,in-media-uk,
1000010345853-Blue,in-media-uk,
1000009222092-Black,in-media-uk,
1000011683067-Blue-Navy,in-media-uk,
