sku_id,container,reprocess
1000016378840-White-Offwhite,in-media,
1000016343418-Red-Red,in-media-ea,
1000016256810-White-OffWhite,in-media-ea,
1000016500437-Pink-Pink,in-media,
1000016208765-Red-Maroon,in-media-ea,
1000016354872-Blue-Indigo,in-media,
1000016164927-Blue-Blue,in-media,
1000016354149-Yellow-Mustard,in-media-ea,
1000015554223-Pink-Pink,in-media-ea,
1000016278766-Beige-Beige,in-media-ea,
1000016165031-Blue-Navy,in-media,
1000016164992-Purple-Purple,in-media,
1000016343340-Blue-Blue,in-media-ea,
1000016536760-Red-Red,in-media,
1000016342397-Blue-Indigo,in-media,
1000016165018-Blue-Blue,in-media,
1000016354188-Yellow-Mustard,in-media-ea,
1000015901750-Black-Black,in-media,
1000016256862-Blue-Teal,in-media-ea,
1000016208780-Orange-Rust,in-media,
1000016354885-Yellow-Mustard,in-media-ea,
1000016354201-Yellow-Mustard,in-media,
1000016256888-Red-Maroon,in-media-ea,
1000015901690-Blue-Indigo,in-media,
1000016487163-Yellow-Yellow,in-media,
1000016342141-Beige-Beige,in-media-ea,
1000016358247-Black-Black,in-media-ea,
1000016165241-Blue-Blue,in-media-ea,
1000016354575-Pink-Mauve,in-media-ea,
1000015901720-Black-Black,in-media,
1000016605712-Multicolour,in-media-ea,
1000016529644-Pink-Pink,in-media-ea,
1000016209043-Red-Wine,in-media,
1000016557041-White-White,in-media,
1000016165163-Red-Wine,in-media,
1000015672313-Purple-Lilac,in-media-ea,
1000016358286-Blue-Blue,in-media-ea,
1000016358234-Blue-Blue,in-media-ea,
1000016505565-Black-Black,in-media,
1000015902789-Blue-Indigo,in-media,
1000016164755-Purple-Lilac,in-media-ea,
1000016534482-Beige-Ivory,in-media-ea,
1000016343133-Red-Red,in-media,
1000016343559-Blue-Blue,in-media-ea,
1000016270388-Pink-Magenta,in-media-ea,
1000016490630-Pink-Pink,in-media,
1000016247634-White-Offwhite,in-media,
1000016354227-Pink-Fuchsia,in-media-ea,
1000016354393-White-Offwhite,in-media,
