sku_id,container,reprocess
1000014949027-Beige-Beige,in-media,
1000014592519-Black-Black,in-media,
1000012018292-Beige-Beige,in-media,
1000014592519-Beige-Beige,in-media,
1000012018292-Black-Black,,
1000011239958-Grey-GreyMelange,in-media-uk,
1000014949060-Beige-Beige,in-media,
1000012018292-Pink-EnglishRose,in-media,
1000015670335-Black-Black,in-media,
1000002012398-Black-Black,in-media-uk,
1000012541187-Pink-Dustypink,in-media-uk,
1000014949060-Black-Black,in-media,
1000011239983-Brown-Skin,in-media-uk,
1000015670335-Green-Green,in-media,
1000011238549-Multicolour,in-media-uk,
1000015711994-Purple-Purple,in-media,
1000011382052-Black-Black,,
1000015711994-Black-Black,in-media,
1000009061397-Pink-DustyPink,in-media-uk,
1000011954106-Black-Black,in-media-uk,
1000009061495-Blue-Mix,in-media-uk,
1000011775361-White-OffWhite,in-media-uk,
1000012120391-Brown-Skin,in-media-uk,
1000014387978-Black-Black,in-media,
1000010862014-Black-Black,in-media-uk,
1000016228581-Multicolour-Mix,in-media,
1000011239983-Var6-Grey,in-media-uk,
1000012534383-Beige-Beige,,
1000011381945-Var4-Pink-Coral,,
1000011381945-Black-Black,,
1000015441548-Multicolour-Mix,in-media,
1000015670237-Brown-Brown,in-media,
1000010862014-Brown-Skin,in-media-uk,
1000015670237-Purple-Purple,in-media,
1000012614713-Black-Black,in-media-uk,
1000015670302-Black-Black,in-media,
1000014949060-Purple-Plum,in-media,
1000012534285-Purple-Purple,in-media-uk,
1000011239523-White-White,in-media-uk,
1000015457478-Red-Wine,in-media,
1000015670237-Green-Green,in-media,
1000012585223-Beige-Beige,in-media,
1000012585223-Black-Black,,
1000015532951-Beige-Beige,in-media-ea,
1000002237710Beige,in-media-uk,
1000011954146-White-White,in-media-uk,
1000015532951-Black-Black,in-media-ea,
1000012120428-Black-Black,in-media-uk,
1000011961599-Multicolour,in-media-uk,
1000014592486-Pink-EnglishRose,in-media,
203I327-Beige-BEIGE,in-media-uk,
1000007172067-Beige-BEIGE,in-media-uk,
1000006575289-2906-Var1-Black-Black,in-media-uk,
1000011240209-Grey-GreyMelange,in-media-uk,
1000015670237-Blue-DarkBlue,in-media,
1000010214382-Beige-Blush,in-media-uk,
1000001543786-White-White,in-media-uk,
1000003194771-Var0406-Beige-Skin,in-media-uk,
1000015670302-Blue-MidBlue,in-media,
1000011381688-Brown-DarkBrown,in-media,
1000011239958-Black-Black,in-media-uk,
1000010862050-Blue-Mix,in-media-uk,
1000011953525-Purple-Violet,in-media-uk,
1000003194867-121218-Beige-Skin,in-media-uk,
1000015654991-Black-Black,in-media,
1000015654991-Blue-MidBlue,in-media,
1000011511553-Black-Black,in-media-uk,
1000011323111-Purple-Purple,in-media-uk,
1000012692551-Black-Black,,
1000011511599-Multicolour,in-media-uk,
1000011923098-Black-Black,in-media-uk,
1000011954106-Beige-Beige,in-media-uk,
1000014387966-Beige-Beige,in-media,
1000011240318-Beige-Beige,in-media-uk,
1000016114573-Multicolour,in-media,
1000012120391-Black-Black,in-media-uk,
1000012120017-Red-Wine,in-media-uk,
1000012541187-Black-Black,in-media-uk,
1000014387972-Pink-Fuchsia,in-media,
1000010864131-Blue-Mix,in-media-uk,
1000011511553-White-PearlWhite,in-media-uk,
1000015532934-Beige-Beige,in-media-ea,
1000015651914-Pink-DarkPink,in-media,
1000011775361-Black-Black,in-media-uk,
1000012725106-Brown-Brown,,
1000015441564-Multicolour-Mix,in-media,
1000015522805-Pink-Pink,in-media,
1000016025080-Brown-Brown,in-media,
1000014421465-Red-Wine,in-media,
1000015532934-Black-Black,in-media-ea,
1000015392860-Pink-Pink,in-media,
1000011511553-Multicolour,in-media-uk,
1000011288178-Brown-Skin,in-media-uk,
1000015441593-Brown-Skin,in-media,
1000015654954-Green-Green,in-media,
1000011775361-White-White,in-media-uk,
1000012614713-Brown-Skin,in-media-uk,
1000010746087-Red-Red,in-media-uk,
1000011923098-White-White,in-media-uk,
1000015457616-Orange-Honey,in-media,
1000015826751-Blue-LightBlue,in-media-ea,
1000015654991-Beige-Beige,in-media,
1000014612232-Purple-Purple,in-media,
1000002237710Black,in-media-uk,
1000015441593-Black-Black,in-media,
1000006575289-2906-Var1-Beige-Skin,in-media-uk,
1000007172082-Beige-Beige,in-media-uk,
1000011381945-Beige-Beige,,
1000015652027-Black-Black,in-media,
1000012685800-Brown-Skin,in-media-uk,
1000015457490-White-White,in-media,
1000013294865-Pink-Coral,in-media,
1000015441593-Beige-Beige,in-media,
1000015441593-Blue-Navy,in-media,
1000011953634-Pink-Pink,in-media-uk,
1000014612182-Purple-Purple,in-media,
1000012615142-Brown-Skin,in-media-uk,
1000016160814-Purple-Lilac,in-media,
1000007820967-Black-Black,in-media-uk,
1000011288178-Var5-Grey-Grey,in-media-uk,
1000012534383-Black-Black,in-media-uk,
1000011238220-Black-Black,in-media-uk,
1000015651914-Green-Green,in-media,
1000013884780-Black-Black,,
1000015306499-White-White,in-media,
1000006575289-Var1306-White-White,in-media-uk,
1000011953634-White-White,in-media-uk,
1000015654954-Purple-DarkPurpl,in-media,
1000016160840-Pink-Pink,in-media,
1000012614667-Beige-Beige,in-media-uk,
1000014612232-Brown-Brown,in-media-ea,
1000013884690-Red-Wine,,
1000015652040-White-OffWhite,in-media,
1000014421477-Pink-RosePink,in-media,
1000015306277-Pink-LightPink,in-media,
1000012725106-Black-Black,,
1000010746087-Var8-Brown-Skin,in-media-uk,
1000005337335-Beige-Skin,in-media-uk,
1000013903427-Pink-Pink,,
1000005234696-Var0406-Brown-Dark-Brown,in-media-uk,
1000010746087-Purple-Purple,in-media-uk,
1000015651939-Blue-LightBlue,in-media,
1000012671736-White-OffWhite,,
1000015651939-Beige-Beige,in-media,
1000013294865-Grey-GreyMelange,in-media,
1000011382052-Pink-EnglishRose,in-media,
1000012671699-Black-Black,,
1000012534311-Black-Black,in-media-uk,
1000015402635-Black-Black,in-media,
1000014421494-Blue-Blue,in-media,
1000014386162-Purple-Violet,in-media,
1000014387950-Green-Green,in-media,
1000015826772-Red-Red,in-media-ea,
1000014386156-Blue-Blue,in-media-ea,
1000013884767-Beige-Cream,,
1000015402522-Green-Olive,in-media,
1000013886284-Grey-LightGrey,,
1000015529508-Red-Red,in-media-ea,
1000014612177-Black-Black,in-media,
1000015826751-Black-Black,in-media-ea,
1000011954438-Pink-Plum,in-media-uk,
1000013868632-White-White,,
1000010862056-Blue-Mix,in-media-uk,
1000014949027-Black-Black,in-media,
1000014387956-Purple-Lilac,in-media,
1000012585223-Pink-Peach,,
1000014592486-Grey-GreyMelange,in-media,
1000011398316-Blue-Blue,in-media-uk,
1000012585182-Beige-Beige,in-media,
1000012870189-Beige-Beige,in-media,
202I490-Red-Burgundy,in-media-uk,
1000009989625-Black-Black,in-media-uk,
1000002573242-Red-Burgundy,in-media-uk,
1000011238054-White-OffWhite,in-media,
1000008419671-Black-Black,,
1000011239689-White-PearlWhite,in-media-uk,
1000011239728-Purple-Purple,in-media-uk,
1000012180330-Black-Black,in-media-uk,
1000011382375-Multicolour,in-media-uk,
1000005553853-Black-BLACK,in-media-uk,
1000012585182-Black-Black,,
1000011398307-Purple-Purple,in-media-uk,
1000008496667-Var8-Black-Black,in-media-uk,
1000012152299-Black-Black,in-media-uk,
1000012649951-Pink-Pink,in-media-uk,
1000012778512-White-OffWhite,in-media-uk,
1000011239751-Var6-DustyPink,in-media-uk,
1000011238054-Var6-Brown-Skin,in-media-uk,
1000012652407-Blue-Blue,in-media-uk,
1000011240318-Black-Black,in-media-uk,
1000012496111-Brown-Sand,in-media-uk,
1000006392289-Beige-Beige,in-media-uk,
1000015654954-Blue-LightBlue,in-media,
1000010214382-Brown-Brown,in-media-uk,
1000005183766-Black-Black,in-media-uk,
1000012227180-Pink-Pink,in-media-uk,
1000011398316-Black-Black,in-media-uk,
1000002237559-var5-Black,in-media-uk,
1000011290198-Beige-Beige,in-media-uk,
1000012652407-White-White,in-media-uk,
1000012652407-Black-Black,in-media-uk,
1000011237691-Black-Black,in-media-uk,
1000002237719-2709-Var3-Black-Black,in-media-uk,
1000012120391-Pink-Peach,in-media-uk,
1000005885164-Black-Black,in-media-uk,
1000011239523-Black-Black,in-media-uk,
1000005980449-Brown-Skin,in-media,
1000011237905-Grey,in-media-uk,
20I542-Black-Black,in-media-uk,
1000006675588-Black-Black,in-media-uk,
1000012119899-Black-Black,in-media-uk,
1000011240165-Pink-Pink,in-media-uk,
1000012152299-Brown-Skin,in-media-uk,
1000011398294-Blue-Blue,in-media-uk,
1000011240165-Var6-Beige-Beige,in-media-uk,
1000012960025-Black-Black,,
1000003772724-Brown-Skin,in-media-uk,
1000012537194-Blue-Navy,in-media-uk,
1000004364575Beige,in-media-uk,
1000012956678-Grey-Grey,in-media,
1000011239649-Beige-Beige,in-media-uk,
1000011239889-Black-Black,in-media-uk,
1000006675692-Beige-IVORY,in-media-uk,
1000011290198-Grey-Grey,in-media-uk,
1000000165994-var1-White-White,in-media-uk,
1000011239983-Black-Black,in-media-uk,
1000010860905-Red-DarkRed,in-media-uk,
1000011524077-Grey-Greymelange,,
1000011398294-Black-Black,in-media-uk,
1000011238220-Var6-Brown-Skin,in-media-uk,
1000004967649-Var0406-Black-Black,in-media-uk,
1000011240313-Black-Black,in-media-uk,
1000011239523-Brown-Skin,in-media-uk,
1000011240165-Black-Black,in-media-uk,
1000011240313-Beige-Beige,in-media-uk,
1000012179714-Pink-DarkPink,in-media-uk,
1000009989625-Beige-Beige,in-media-uk,
1000001361619-2205-Beige-Skin,in-media-uk,
1000008496689-Beige-BEIGE,in-media-uk,
1000012650703-Black-Black,in-media-uk,
1000015654954-Pink-DarkPink,in-media,
1000006675758-Beige-Beige,in-media-uk,
1000007348332-White-White,in-media-uk,
1000011966431-Pink-Plum,in-media-uk,
1000010214598-Brown-Brown,in-media-uk,
1000008496792-Black-Black,in-media,
1000012778512-Multicolour-Mix,in-media-uk,
1000001361619-Black-Black,in-media-uk,
1000011239889-Brown-Skin,in-media-uk,
1000011381945-Grey-GreyMelange,in-media,
1000006184498-White-WHITE,in-media-uk,
1000003389073Beige,in-media-uk,
1000007348348-White-White,in-media-uk,
1000007166756-2812-Beige-Beige,in-media-uk,
1000008419666-White-White,in-media-uk,
1000012692551-Pink-DarkPink,,
1000012960025-Beige-Beige,,
1000001114353-Red-Burgundy,in-media-uk,
1000006675692-Beige-BEIGE,in-media-uk,
20I542--White-White,in-media-uk,
1000004453311-11918-Beige-Beige,in-media-uk,
1000008495608-Var5-White-White,in-media-uk,
1000007790997-White-White,in-media-uk,
1000005236677-Brown-Skin,in-media-uk,
1000002237559-Var7-White-White,in-media-uk,
1000011239983-White-Off-White,in-media-uk,
1000011382375-Beige-Beige,in-media-uk,
1000008496667-var5-White,in-media-uk,
1000006675588-Beige-Ivory,in-media-uk,
1000006675680-Beige-BEIGE,in-media-uk,
1000010214598-Grey-Grey,in-media-uk,
1000011239983-Beige-Beige,in-media-uk,
1000010214598-Beige-Blush,in-media-uk,
1000002237559-Var5-Burgundy,in-media-uk,
1000002237719-1211-Beige-Beige,in-media-uk,
1000012018380-Red-Maroon,,
1000011524077-Var3-Beige-Beige,,
1000012018313-Grey-Greymelange,in-media,
1000012649317-Pink-Pink,in-media,
1000015441579-Red-Wine,in-media,
1000015306316-Beige-Beige,in-media,
1000015441579-Black-Black,in-media,
1000013884654-Black-Black,,
1000016228616-Black-Black,in-media,
1000015306264-Multicolour-Mix,in-media,
1000013839924-Black-Black,,
1000013182016-Beige-Cream,,
1000015069284-Black-Black,in-media,
1000016228599-Black-Black,in-media,
1000013884654-Grey-Grey,,
1000014612102-Brown-Brown,in-media,
1000011841702-Black-Black,in-media-uk,
1000015393203-Brown-Brown,in-media,
1000013839890-Black-Black,,
1000013886259-Blue-Navy,,
1000011288240-Black-Black,in-media-uk,
1000016228586-Multicolour-Mix,in-media,
1000013839890-Beige-Beige,,
1000014949699-Brown-Skin,in-media,
1000005553779-Black-BLACK,in-media-uk,
1000003948017-White-White,in-media-uk,
1000012614602-Black-Black,in-media-uk,
1000013845788-Black-Black,,
1000014949699-Black-Black,in-media,
1000015441574-Multicolour-Mix,in-media,
1000015392845-Beige-Beige,in-media,
1000013884641-Grey-LightGrey,,
1000013183801-Grey-Grey,,
1000005553978-30818-Black-Black,in-media-uk,
1000015826772-Brown-Brown,in-media,
1000015307179-Brown-Brick,in-media,
1000016160814-Black-Black,in-media,
1000010862023-Brown-Skin,in-media-uk,
1000013886259-Grey-Grey,,
1000014612139-Red-DarkRed,in-media,
1000015307175-Black-Black,in-media,
1000015393056-Brown-Coffee,in-media,
1000012614602-Brown-Skin,in-media-uk,
1000015441525-Black-Black,in-media,
1000016025002-Blue-Blue,in-media,
1000013845793-Beige-Beige,,
1000015457449-Brown-Brown,in-media,
1000014612146-Brown-Brown,in-media,
1000014385946-Black-Black,in-media,
