sku_id,container,reprocess
1000016259445-Pink-Lightpink,in-media-ea,
1000016420621-Black-Black,in-media-ea,
1000016420556-Orange-Rust,in-media,
1000016335957-Red-Red,in-media-ea,
1000016336040-Blue-Darkblue,in-media-ea,
1000016336014-Brown-Lightbrown,in-media,
1000016259282-Purple-Purple,in-media-ea,
1000016259341-Purple-Purple,in-media-ea,
1000016278445-Blue-Lightblue,in-media,
1000016259406-Pink-LightPink,in-media,
1000016420569-Black-Black,in-media-ea,
1000016420510-Orange-Rust,in-media,
1000016259510-Purple-Purple,in-media-ea,
1000016259367-Purple-Purple,in-media-ea,
1000016259245-Blue-Lightblue,in-media-ea,
1000016420634-Pink-Mediumpink,in-media-ea,
1000016336092-Blue-Darkblue,in-media-ea,
1000016259354-Yellow-Yellow,in-media-ea,
1000016335918-Beige-Beige,in-media-ea,
1000016420595-Brown-Darkbrown,in-media,
1000016259258-Blue-Lightblue,in-media-ea,
1000016259232-Beige-Beige,in-media-ea,
1000016259432-Pink-Lightpink,in-media-ea,
1000016420521-Black-Black,in-media-ea,
1000016420499-Brown-Darkbrown,in-media,
1000016259206-Pink-Lightpink,in-media-ea,
1000016335968-Blue-Darkblue,in-media-ea,
1000016278458-Beige-Lightbeige,in-media-ea,
1000016335944-Beige-Beige,in-media,
1000016259149-Beige-Beige,in-media,
1000016259219-Brown-Brown,in-media-ea,
1000016259458-Purple-Purple,in-media-ea,
1000016420582-Pink-Mediumpink,in-media-ea,
1000016336027-Red-Red,in-media-ea,
1000016336235-Blue-Darkblue,in-media-ea,
1000016335894-Blue-Darkblue,in-media-ea,
1000016335905-Blue-Darkblue,in-media,
1000016420543-Brown-Darkbrown,in-media,
1000016336105-Beige-Beige,in-media-ea,
1000015162608-Blue-LightBlue,in-media,
1000016259497-Brown-Brown,in-media-ea,
1000016259315-Pink-Lightpink,in-media-ea,
1000016259471-Brown-Brown,in-media-ea,
1000016420608-Orange-Rust,in-media,
1000016336131-Red-Red,in-media-ea,
1000014452303-Black-Black,in-media,
1000016336066-Brown-Lightbrown,in-media,
1000016336170-Blue-Darkblue,in-media-ea,
1000016259193-Brown-Brown,in-media-ea,
1000016336287-Brown-Lightbrown,in-media-ea,
1000016259328-Brown-Brown,in-media-ea,
1000016336209-Blue-Darkblue,in-media-ea,
1000016278510-Blue-Lightblue,in-media,
1000016259293-Brown-Brown,in-media-ea,
1000016259271-Beige-Beige,in-media-ea,
1000016259419-Beige-Beige,in-media-ea,
1000015821623-Grey-DarkGrey,in-media,
1000016259484-Beige-Beige,in-media-ea,
1000016278471-Beige-Lightbeige,in-media,
1000016058468-Beige-Beige,in-media,
1000016420532-Pink-Mediumpink,in-media-ea,
1000016336300-Blue-Darkblue,in-media-ea,
1000016336118-Blue-Darkblue,in-media-ea,
1000016278484-Blue-Lightblue,in-media-ea,
1000015645481-Beige-Beige,in-media,
1000016058403-Pink-LightPink,in-media,
1000016336183-Brown-Lightbrown,in-media,
1000016015778-Blue-MidBlue,in-media,
1000016278423-Blue-Lightblue,in-media-ea,
1000016058286-Green-DarkOlive,in-media,
1000015645385-Green-Lightgreen,in-media,
1000016058312-Black-Black,in-media,
1000016335883-Brown-Lightbrown,in-media-ea,
1000015821577-Green-MediumOliv,in-media,
1000016336248-Brown-Lightbrown,in-media-ea,
1000015821766-Brown-LightBrown,in-media,
1000015821566-Grey-DarkGrey,in-media,
1000016058107-Green-Green,in-media,
1000016335990-Red-Red,in-media-ea,
1000016058481-Beige-Beige,in-media,
1000016259304-Pink-Lightpink,in-media-ea,
1000016015791-Green-MediumOliv,in-media,
1000015821727-Orange-Rust,in-media,
1000016058429-Beige-Beige,in-media,
1000015821516-Green-MediumOliv,in-media,
1000016058351-Pink-LightPink,in-media,
1000016058168-Red-Wine,in-media,
1000016058559-Pink-LightPink,in-media,
1000015645525-Brown-DarkBrown,in-media,
1000015162621-White-OffWhite,in-media,
1000016058416-Purple-Purple,in-media,
1000015821599-Grey-DarkGrey,in-media,
1000015821714-Blue-MidBlue,in-media,
1000016058338-Beige-Beige,in-media,
1000015526653-White-OffWhite,in-media,
1000016058236-Beige-Beige,in-media,
1000015821555-Blue-MidBlue,in-media,
1000015821779-Green-MediumOliv,in-media,
1000015526803-White-OffWhite,in-media,
1000015315306-Pink-DustyPink,in-media,
1000015645627-Brown-DarkBrown,in-media,
1000015526790-White-OffWhite,in-media,
1000016058494-Beige-Beige,in-media,
1000016058273-Brown-LightBrown,in-media,
1000016058247-Beige-Beige,in-media,
1000015821610-Brown-LightBrown,in-media,
1000015821588-Orange-Rust,in-media,
1000015540903-Brown-LightBrown,in-media,
1000016058507-Beige-Beige,in-media,
1000016058390-Green-DarkOlive,in-media,
