sku_id,container,reprocess
1000011052864,in-media,
1000013440471,in-media,
1000006703203-Neutral-100ML,in-media-uk,
1000013393515,in-media,
1000016107056,in-media,
1000012747797,in-media,
1000013751348,in-media,
1000014132587,in-media,
1000003062935-2818-Neutral-100-ml,in-media-uk,
1000009477624,in-media-uk,
1000015048376,in-media,
1000013846666,in-media,
1000011161837,in-media,
1000009808401,in-media-uk,
1000011005286,in-media-uk,
1000013490324,in-media,
1000015231578,in-media,
1000012239180,in-media,
1000015046036,in-media,
1000009477626,in-media-uk,
1000015231504,in-media,
1000014598790,in-media,
1000016675991,in-media-ea,
1000016275520,in-media,
1000015048344,in-media,
1000013846678,in-media,
1000011556487,in-media,
1000012199813,in-media,
1000011556501,in-media,
1000008766275,in-media-uk,
1000002820219-Multicolour-100ML,in-media-uk,
1000013905029,in-media,
1000010980440,in-media,
1000016062443,in-media,
1000015123392,in-media,
1000016107046,in-media,
1000013181792,in-media-uk,
1000013187831,in-media,
1000014132601,in-media,
1000007794200,in-media-uk,
1000015231532,in-media,
1000012490317,in-media,
1000011004780,in-media-uk,
1000012608582,in-media-uk,
1000014132599,in-media,
1000005858010-Multicolour-50ML,in-media-uk,
1000010830294,in-media,
1000011072007,in-media,
1000016062419,in-media,
1000011767122,in-media,
1000016062449,in-media,
1000016299240,in-media,
1000014132623,in-media,
1000013393517,in-media,
1000005858054-Multicolour-100ML,in-media-uk,
1000016633544,in-media-ea,
1000005858000-Multicolour-100ML,in-media-uk,
1000005857909,in-media-uk,
1000001313574-Multicolour-100ML,in-media-uk,
1000016107052,in-media,
1000016299220,in-media,
1000016299248,in-media,
1000015231534,in-media,
1000011004314,in-media-uk,
1000016062411,in-media,
1000013393527,in-media,
1000012558289,in-media,
1000009808425,in-media-uk,
1000012598835,in-media-uk,
1000016062407,in-media,
1000012515269,in-media,
1000016332379,in-media,
1000009811162,in-media-uk,
1000010798518,in-media,
1000014230348,in-media,
1000012598897,in-media-uk,
1000012598889,in-media-uk,
1000011865626,in-media,
1000013507643,in-media,
1000007954757,in-media-uk,
1000011865628,in-media,
1000014132609,in-media,
1000012285335,in-media,
1000009808419,in-media-uk,
1000013440475,in-media,
1000013846681,in-media,
1000016405975,in-media-ea,
1000013490330,in-media,
1000013490328,in-media,
1000011926368,in-media-uk,
1000013187819,in-media,
1000015048390,in-media,
1000013440465,in-media,
1000016577534,in-media-ea,
1000011865640,in-media,
1000011501528,in-media,
1000006703201-Neutral-30ML,in-media-uk,
1000014132561,in-media,
1000015046052,in-media,
1000012037746,in-media,
1000011004086,in-media-uk,
1000011005702,in-media-uk,
1000016447042,in-media-ea,
1000016577532,in-media-ea,
1000011268745,,
1000013858627,in-media,
1000006703191-Neutral-150ML,in-media-uk,
1000013858633,in-media,
1000016299238,in-media,
1000015805373,in-media,
1000011217329,,
1000013858636,in-media,
1000011173671,in-media,
1000016633502,in-media,
1000014202123,in-media,
1000016069771,in-media,
1000015386144,in-media,
1000015386148,in-media,
1000012285357,in-media,
1000011492857,in-media-uk,
1000011469253,in-media-uk,
1000010875926,in-media-uk,
1000011469274,in-media-uk,
1000013858630,in-media,
1000012631297,in-media,
1000012241238,in-media,
1000014202135,in-media,
1000012241244,in-media,
1000012241220,,
1000014202138,in-media,
1000013858639,in-media,
1000015107270,in-media,
1000014202129,in-media,
1000014357109,in-media,
1000011469271,in-media-uk,
1000013397732,in-media,
1000014357117,in-media,
1000013905045,in-media,
1000010604273,in-media,
1000006364213,in-media-uk,
1000013905079,in-media,
1000003639163,in-media-uk,
1000013905069,in-media,
1000006930648,in-media-uk,
1000013905043,in-media,
1000013905053,in-media,
1000006291160,in-media-uk,
1000015919592,in-media,
1000003639131,in-media-uk,
1000014357113,in-media,
1000014357111,in-media,
1000013905027,in-media,
1000013905051,in-media,
1000013905081,in-media,
1000013905083,in-media,
1000015919590,in-media,
1000009654407,in-media-uk,
1000014961150,in-media,
1000015599542,in-media,
1000014357119,in-media,
1000006930644,in-media-uk,
1000015919596,in-media,
1000014357115,in-media,
1000013905049,in-media,
1000013905047,in-media,
1000013905063,in-media,
1000013905057,in-media,
1000009654409,in-media-uk,
1000015919594,in-media,
1000015919598,in-media,
1000013905059,in-media,
1000010177573,in-media,
1000015027740,in-media,
1000003122807-Multicolour-100ML,in-media-uk,
1000001305655-Multicolour-100ML,in-media-uk,
1000002820215-Multicolour-100ML,in-media-uk,
1000012285365,in-media,
1000013490320,in-media,
1000011005004,in-media-uk,
1000014421002,in-media,
1000016633570,in-media,
1000011612677,in-media,
1000006930650,in-media-uk,
1000012747801,in-media,
1000016633564,in-media,
1000016062453,in-media,
1000012598977,in-media-uk,
1000013825034,in-media,
1000012747795,in-media,
1000011005832,in-media-uk,
1000012608584,in-media-uk,
1000012239164,in-media,
1000010177553,in-media,
1000013825012,in-media,
1000013187823,in-media,
1000011004392,in-media-uk,
1000012425955,in-media,
1000011005494,in-media-uk,
1000010739865,in-media,
1000012038864,in-media,
1000012285347,in-media,
1000014317584,in-media,
1000011006372,in-media-uk,
1000015992613,in-media,
1000014132617,in-media,
1000016062445,in-media,
1000011865098,in-media,
1000011004768,in-media-uk,
1000005558555-Multicolour-100ML,in-media-uk,
1000013187821,in-media,
1000016295790,in-media-ea,
1000002820225-Multicolour-100ML,in-media-uk,
1000013751340,in-media,
1000016069685,in-media,
1000013983513,in-media,
1000016633574,in-media,
1000015027734,in-media,
1000015046030,in-media,
1000003639138-Multicolour-125ML,in-media-uk,
1000013021464,in-media-uk,
1000012546558,in-media,
1000016299268,in-media,
1000012500131,in-media,
1000013507649,in-media,
1000013886735,in-media,
1000013181794,in-media-uk,
1000013825020,in-media,
1000016295796,in-media-ea,
1000006810539,in-media-uk,
1000011005954,in-media,
1000016299410,in-media-ea,
1000015919373,in-media,
1000013825036,in-media,
1000010739869,in-media,
1000009808431,in-media-uk,
1000015046064,in-media,
1000016299412,in-media,
1000014317576,in-media,
1000014598802,in-media,
1000015048392,in-media,
1000012747811,in-media,
1000012598841,in-media-uk,
1000013187841,in-media,
1000016332377,in-media,
1000012313787,in-media,
1000015046098,in-media,
1000016603946,in-media-ea,
1000015959321,in-media,
1000016299242,in-media,
1000016522806,in-media-ea,
1000016069693,in-media,
1000013187825,in-media,
1000015231530,in-media,
1000016121870,in-media,
1000005858031,in-media-uk,
1000015048396,in-media,
1000001305697-Multicolour-100ML,in-media-uk,
1000016062441,in-media,
1000005857924-Multicolour-100ML,in-media-uk,
1000015048398,in-media,
1000013507631,in-media,
1000011005584,in-media-uk,
1000012747787,in-media,
1000016633592,in-media,
1000014194247,in-media,
1000015027728,in-media,
1000013187847,in-media,
1000014210939,in-media,
1000009976810,in-media-uk,
1000016275524,in-media,
1000016633594,in-media-ea,
1000012747793,in-media,
1000016633598,in-media-ea,
1000016277598,in-media,
