sku_id,container,reprocess
1000016460580,in-media,
1000016462945-Black-Black,in-media-ea,
1000016457752,in-media,
1000016320718,in-media-ea,
1000016377826,in-media-ea,
1000016377823,in-media-ea,
1000016309514-Black-Black,in-media,
1000016461255,in-media,
1000016460562,in-media,
1000016320692,in-media-ea,
1000016325486,in-media-ea,
1000016072785-Black-Black,in-media,
1000015909871-Black-Black,in-media-ea,
1000016461270,in-media,
1000016462915-Brown-Brown,in-media-ea,
1000016462950-Brown-Brown,in-media-ea,
1000015909831-Brown-Brown,in-media-ea,
1000016457740,in-media,
1000016320678,in-media-ea,
1000016320684,in-media-ea,
1000016377835,in-media-ea,
1000016309500-Black-Black,in-media,
1000016460586,in-media,
1000016072914-Black-Black,in-media,
1000016460589,in-media,
1000013888712,in-media,
1000015204105,in-media,
1000016320676,in-media-ea,
1000015392142,in-media,
1000015821912,in-media,
1000015167386,in-media,
1000015806487,in-media-ea,
1000015582164,in-media,
1000015074934,in-media,
1000013971566,in-media,
1000016035786,in-media,
1000015166410,in-media,
1000016309466-Brown-Tan,in-media-ea,
1000016253102-Multicolour,in-media,
1000016035822,in-media,
1000016309556-Black-Black,in-media,
1000015331300,in-media,
1000016035594,in-media,
1000016165531-Brown-DarkBrown,in-media-ea,
1000012249197,in-media,
1000016073049-White-White,in-media,
1000013971614,in-media,
1000016461258,in-media,
1000016100220,in-media,
1000016073004-Black-Black,in-media,
1000015576324,in-media,
1000015074922,in-media,
1000016309602-Black-Black,in-media,
1000016457746,in-media,
1000016072901-Brown-Coffee,in-media,
1000016165497-Brown-Brown,in-media-ea,
1000016309549-Brown-Coffee,in-media,
1000016461267,in-media,
1000015196426,in-media,
1000016320710,in-media-ea,
1000016253099-White-White,in-media,
1000015113600,in-media,
1000016460574,in-media,
1000016073036-Black-Black,in-media-ea,
1000016073004-Brown-Tan,in-media,
1000016320708,in-media-ea,
1000016377838,in-media-ea,
1000016159821,in-media-ea,
1000015600506,in-media,
1000016377829,in-media-ea,
1000016073036-Brown-Coffee,in-media,
1000015319324,in-media,
1000015716719-Brown-Brown,in-media,
1000015073209,in-media,
1000016060152,in-media,
1000015185853-Brown-Brown,in-media,
1000015073200,in-media,
1000016167035,in-media,
1000015814517,in-media-ea,
1000014873842,in-media-ea,
1000013890332,in-media,
1000016060149,in-media,
1000013085796-White-White,,
1000016060170,in-media,
1000015318131,in-media-ea,
1000014614084,in-media,
1000015319354,in-media,
1000015332730,in-media,
1000013994832,in-media,
1000015814523,in-media-ea,
1000015746363,in-media-ea,
1000016074507,in-media,
1000015576321,in-media,
1000016035762,in-media,
1000015909723-Black-Black,in-media-ea,
1000015441670,in-media,
1000016035837,in-media,
1000013150720,in-media,
1000015909800-Blue-Navy,in-media-ea,
1000015491676,in-media,
1000015441673,in-media,
1000015364089,in-media,
1000016035520,in-media,
1000015185844-Brown-Brown,in-media,
1000013971617,in-media,
1000014873683,in-media,
1000015490385,in-media,
1000015413150,in-media,
1000016035732,in-media,
1000016166775,in-media,
1000015814520,in-media-ea,
1000016247103,in-media-ea,
1000015071373,in-media,
1000014293863,in-media,
1000015716772-Black-Black,in-media,
1000015600521,in-media,
1000012741571,in-media,
1000015821307,in-media-ea,
1000016060146,in-media,
1000014670444,in-media,
1000015319318,in-media,
1000013429022,,
1000016045257,in-media,
1000015700295,in-media-ea,
1000016045254,in-media,
1000015197360,in-media,
1000016035738,in-media,
1000015329854,in-media,
1000015491639,in-media,
1000015071080,in-media,
1000013537668,in-media-ea,
1000008582404,in-media-uk,
1000012747295,in-media,
1000014281117,in-media,
1000013189411,,
1000015167383,in-media,
1000015716843-White-OffWhite,in-media-ea,
1000015926952-Brown-Brown,in-media,
1000015926959-Black-Black,in-media,
1000015490379,in-media,
1000015073194,in-media,
1000016166748,in-media,
1000015617894,in-media,
1000015363546,in-media,
1000015716712-Blue-Navy,in-media,
1000015716927-Beige-Beige,in-media,
1000016060164,in-media,
1000015781561,in-media-ea,
1000016155785,in-media,
1000015391237,in-media-ea,
1000015520227-Brown-Brown,in-media-ea,
1000016035777,in-media,
1000015821340,in-media,
1000015809617,in-media-ea,
1000012731734-Pink-Pink,in-media-uk,
1000016167026,in-media,
1000015520204-Brown-Brown,in-media-ea,
1000014143931,in-media,
1000015909822-Brown-Brown,in-media-ea,
1000015696619,in-media-ea,
1000015071120,in-media,
1000015909714-Black-Black,in-media-ea,
1000015617903,in-media-ea,
1000016073023-Black-Black,in-media,
1000016035568,in-media,
1000014975776,in-media,
1000015164670-Black-Black,in-media,
1000015814529,in-media-ea,
1000015576315,in-media,
1000013123183,in-media,
1000015164587-Red-Red,in-media,
1000016167050,in-media,
1000015319357,in-media,
1000016072830-Black-Black,in-media,
1000014964072-Pink-Ivory,in-media,
1000015166413,in-media,
1000016035591,in-media,
1000015697749,in-media-ea,
1000014281114,in-media,
1000015463544,in-media,
1000015441667,in-media,
1000016035825,in-media,
1000016115812,in-media,
1000013971605,in-media,
1000015821313,in-media,
1000015700094,in-media-ea,
1000015071895,in-media,
1000015909822-Black-Black,in-media-ea,
1000015814490,in-media-ea,
1000015319345,in-media,
1000016462862-Brown-Brown,in-media-ea,
1000016166739,in-media,
1000016460565,in-media,
1000015491636,in-media,
1000014032765,in-media-ea,
1000016155797,in-media,
1000015164670-Grey-Silver,in-media,
1000014948975,in-media,
1000016072875-White-White,in-media-ea,
1000016461276,in-media,
1000015806502,in-media-ea,
1000014948973,in-media,
1000015814496,in-media-ea,
1000014873659,in-media,
1000016072804-Black-Black,in-media,
1000016035544,in-media,
1000015074943,in-media,
1000016072862-White-White,in-media,
1000016147437,in-media,
1000016072862-Black-Black,in-media,
1000015197375,in-media,
1000014435223,in-media,
1000015074928,in-media,
1000015806496,in-media-ea,
1000016072888-White-White,in-media,
1000013523821,in-media,
1000016072985-Black-Black,in-media,
1000016167041,in-media,
1000016167055,in-media,
1000016072914-Beige-Beige,in-media,
1000015491685,in-media,
1000016035756,in-media,
1000015598078,in-media,
1000016045119,in-media,
1000015909871-Blue-Navy,in-media-ea,
1000014612992,in-media,
1000015376689,in-media,
1000016460592,in-media,
1000016035807,in-media,
1000015814493,in-media-ea,
1000016165490-Brown-Brown,in-media-ea,
1000013890338,in-media,
1000011874131-Brown-Brown,in-media-uk,
1000015529039,in-media,
1000016072914-Pink-Pink,in-media,
1000016462808-Red-Red,in-media,
1000016457761,in-media,
1000016167053,in-media,
1000015071092,in-media,
1000016072959-Black-Black,in-media,
1000013627064,in-media,
1000015385068,in-media-ea,
1000016371477,in-media-ea,
1000016072959-Brown-Tan,in-media,
1000016461273,in-media,
1000016320702,in-media-ea,
1000016462844-Brown-Tan,in-media,
1000016457788,in-media,
1000016320706,in-media-ea,
1000016462871-Black-Black,in-media-ea,
1000015781558,in-media-ea,
1000016457764,in-media,
1000016155791,in-media,
1000016072785-Brown-Brown,in-media,
1000016320698,in-media-ea,
1000016320680,in-media-ea,
1000016309479-Grey-Grey,in-media,
1000016072817-Beige-Beige,in-media,
1000016155812,in-media,
1000011874131-Black-Black,in-media-uk,
1000016371420,in-media-ea,
1000016073049-Pink-Pink,in-media,
1000016462808-Blue-Navy,in-media,
1000016462884-Black-Black,in-media-ea,
1000016371486,in-media-ea,
1000016388529,in-media-ea,
1000016073023-Pink-Pink,in-media-ea,
1000016461261,in-media,
1000016309563-Red-Wine,in-media,
1000016377847,in-media-ea,
1000016166751,in-media,
1000016371423,in-media-ea,
1000016462959-Black-Black,in-media-ea,
1000016072985-Green-Mint,in-media,
1000016554302-Brown-Tan,in-media-ea,
1000016371471,in-media-ea,
1000016072933-Grey-Grey,in-media,
1000016462862-Black-Black,in-media-ea,
1000016072952-Black-Black,in-media,
1000016462959-Brown-Brown,in-media-ea,
1000016072875-Pink-Pink,in-media,
1000016371465,in-media-ea,
1000016165470-Black-Black,in-media-ea,
1000016462835-Brown-Brown,in-media,
1000016462844-Black-Black,in-media,
1000016460583,in-media-ea,
1000016072817-Black-Black,in-media,
1000016371441,in-media-ea,
1000016462835-Black-Black,in-media,
1000016371474,in-media-ea,
1000016035714,in-media,
1000015548571-Black-Black,in-media,
1000015548537-Brown-Brown,in-media,
1000015548516-Brown-Tan,in-media,
1000015166407,in-media,
1000016072804-Beige-Beige,in-media,
1000016309535-White-White,in-media,
1000016309521-Black-Black,in-media,
1000016371483,in-media-ea,
1000016309528-Black-Black,in-media,
1000016377850,in-media-ea,
1000015746390-Brown-Tan,in-media,
1000016073004-Pink-Ivory,in-media-ea,
1000016072888-Black-Black,in-media,
1000016320720,in-media-ea,
1000016388526,in-media,
1000016165517-Black-Black,in-media-ea,
1000016320696,in-media-ea,
1000014025371,in-media,
1000016320688,in-media-ea,
1000016388523,in-media-ea,
1000015074980,in-media,
1000016377820,in-media-ea,
1000015909880-Black-Black,in-media-ea,
1000016072830-Red-Maroon,in-media,
1000016462950-Grey-DarkGrey,in-media-ea,
1000016457749,in-media,
1000016165497-Black-Black,in-media-ea,
1000014677240,in-media-ea,
1000016072985-Pink-Pink,in-media,
1000016377817,in-media,
1000016320712,in-media-ea,
1000016457782,in-media,
1000016320674,in-media-ea,
1000016073049-Black-Black,in-media,
1000016457755,in-media,
1000016320714,in-media-ea,
1000016320716,in-media-ea,
1000015166356,in-media,
1000016457785,in-media,
1000016072785-Pink-Ivory,in-media-ea,
1000016460595,in-media,
1000016309542-Brown-Coffee,in-media,
1000013500661,in-media,
1000016072972-White-White,in-media-ea,
1000016462871-Red-Wine,in-media-ea,
1000016309563-Black-Black,in-media,
1000016309563-Beige-Beige,in-media,
1000016165524-Black-Black,in-media-ea,
1000016309582-Brown-Coffee,in-media,
1000016457758,in-media,
1000016320690,in-media-ea,
1000016072972-Black-Black,in-media-ea,
1000016462871-Brown-Tan,in-media-ea,
1000016320704,in-media-ea,
1000016457743,in-media,
1000015329851,in-media,
1000016460577,in-media,
1000016320700,in-media-ea,
1000016320722,in-media-ea,
1000016371456,in-media-ea,
1000016072933-Brown-Brown,in-media,
1000016309486-Brown-Tan,in-media,
1000016325492,in-media-ea,
1000016309595-Black-Black,in-media,
1000016165470-Brown-Brown,in-media-ea,
1000016165510-Black-Black,in-media-ea,
1000016165483-Black-Black,in-media-ea,
1000016072933-Black-Black,in-media,
1000016371444,in-media-ea,
1000016309582-Black-Black,in-media,
1000014873457,in-media,
1000016072901-Brown-Khaki,in-media,
1000016072830-Brown-Brown,in-media,
1000013888715,in-media,
1000016320686,in-media-ea,
1000014605312-Brown-Brown,in-media,
1000015447107-Black-Black,in-media,
1000015548533-Brown-Brown,in-media,
1000015463555,in-media,
1000015169065-Brown-Brown,in-media,
1000015746367-Multicolour-Mlti,in-media,
1000015196423,in-media,
1000015490364,in-media,
1000016166787,in-media,
1000015821343,in-media,
1000016035774,in-media,
1000015582161,in-media,
1000016268348-Multicolour-Mlti,in-media,
1000015520238-Red-Wine,in-media-ea,
1000015716772-Brown-Coffee,in-media,
1000015548559-Black-Black,in-media,
1000015724777,in-media-ea,
1000015204063,in-media,
1000015700298,in-media,
1000016035768,in-media,
1000014025356,in-media,
1000015204129,in-media,
1000015716843-Black-Black,in-media,
1000015631598,in-media,
1000015376692,in-media,
1000015716753-Pink-Pink,in-media,
1000015332733,in-media,
1000015909723-Brown-Brown,in-media-ea,
1000016227536,in-media-ea,
1000014143916,in-media,
1000015071383,in-media,
1000015491642,in-media,
1000016100241,in-media,
1000016155815,in-media,
1000015778307,in-media,
1000015520212-Pink-Ivory,in-media-ea,
1000015520222-Brown-Brown,in-media-ea,
1000015520212-Brown-Coffee,in-media-ea,
1000015071355,in-media,
1000015197381,in-media,
1000015600509,in-media,
1000016247097,in-media-ea,
1000015197372,in-media-ea,
1000013491041,in-media,
1000015071132,in-media,
1000015332724,in-media,
1000016035819,in-media,
1000016115809,in-media,
1000015185947-Brown-Tan,in-media,
1000016160144,in-media,
1000016147485,in-media,
1000015164618-Brown-Coffee,in-media,
1000016100583,in-media,
1000015600518,in-media,
1000016035597,in-media,
1000015696592,in-media-ea,
1000015909907-Black-Black,in-media-ea,
1000013537617,in-media,
1000015716940-Black-Black,in-media,
1000015071340,in-media,
1000015582167,in-media,
1000016035720,in-media,
1000015926931-Black-BlackBrown,in-media,
1000015700310,in-media-ea,
1000016167020,in-media,
1000015319342,in-media,
1000016035547,in-media,
1000015696598,in-media,
1000015364092,in-media,
1000015071367,in-media,
1000015600512,in-media,
1000015204081,in-media,
1000015582158,in-media,
1000015909800-Black-Black,in-media-ea,
1000014873665,in-media,
1000014873454,in-media,
1000016035741,in-media,
1000015204117,in-media,
1000016268323-Brown-Tan,in-media,
1000015166329,in-media,
