sku_id,container,reprocess
1000016612729-Green-LightGreen,in-media-ea,
1000016543195-Blue-BlueNavyDen,in-media-ea,
1000016543195-Red-RedRodiumCor,in-media-ea,
1000016543174-Grey-Silver,in-media-ea,
1000015229179-Grey-Gunmetal,in-media,
1000016543174-Blue-BlueNavyDen,in-media-ea,
1000015229165-Black-Black,in-media,
1000011345831-Blue-BlueNavyDen,in-media-ea,
1000012743504-Blue-BlueNavyDen,,
1000015835268-Blue-BlueNavyDen,in-media-ea,
1000015223699-Blue-BlueNavyDen,in-media,
1000015229189-Grey-Silver,in-media-ea,
1000015319374-Blue-Blue,in-media,
1000015330104-Blue-DarkBlue,in-media,
1000015229165-Blue-Blue,in-media,
1000015330107-Blue-Blue,in-media,
1000015223699-Blue-TurquiseTBl,in-media,
1000015229179-Blue-Navy,in-media,
1000015319374-Black-Black,in-media,
1000015319377-Black-Black,in-media,
1000015223699-Green-GreenOlive,in-media,
1000015835268-Black-Black,in-media-ea,
1000015330104-Blue-Blue,in-media,
1000015319377-Brown-Brown,in-media,
1000012743504-Black-Black,,
1000016543164-Grey-GreyGun-Met,in-media-ea,
1000012079981-Black-Black,,
1000011679241-Brown-LBrownWarm,,
1000009988921-Green-GreenOlive,,
1000016543181-Black-Black,in-media-ea,
1000015229165-Green-Green,in-media,
1000015330107-Yellow-Yellow,in-media,
