sku_id,container,reprocess
1000016466236-Blue-LightBlue,in-media-ea,
1000016318087-Blue-LightBlue,in-media,
1000015965202-White-OffWhite,in-media-ea,
1000016526966-Red-Red,in-media,
1000015634013-Blue-LightBlue,in-media,
1000016527021-Green-Green,in-media,
1000016330945-Green-DarkGreen,in-media-ea,
1000016457913-Red-Red,in-media-ea,
1000016071281-Blue-Blue,in-media,
1000016288081-Black-Black,in-media,
1000015965139-Beige-Beige,in-media-ea,
1000016330701-Yellow-Mustard,in-media-ea,
1000016317658-Green-Lime,in-media,
1000016318108-White-White,in-media-ea,
1000016146140-Green-Sage,in-media-ea,
1000016072008-Multicolour-Mult,in-media,
1000016330755-Black-Black,in-media-ea,
1000016610949-Red-Red,in-media-ea,
1000016443749-Orange-Orange,in-media-ea,
1000016330813-Black-Black,in-media-ea,
1000016072195-Brown-Brown,in-media,
1000016410534-Brown-Brown,in-media-ea,
1000016330764-White-White,in-media-ea,
1000016330879-Beige-Beige,in-media-ea,
1000016330956-Black-Black,in-media-ea,
1000013861413-Beige-Beige,in-media,
1000016387396-Black-Black,in-media-ea,
1000016159985-Yellow-Mustard,in-media,
1000016387385-Blue-Navy,in-media-ea,
1000016580282-Blue-Blue,in-media,
1000016151278-Green-Sage,in-media,
1000016610959-Blue-Blue,in-media-ea,
1000016330824-Beige-Beige,in-media-ea,
1000016330890-Multicolour-Mult,in-media-ea,
1000016318000-White-White,in-media-ea,
1000016330683-Black-Black,in-media-ea,
1000016330719-White-White,in-media-ea,
1000016330728-Blue-Blue,in-media-ea,
1000016151471-Blue-LightBlue,in-media,
1000016371356-Red-Red,in-media-ea,
1000016146167-Green-Sage,in-media,
1000016397610-Black-Black,in-media-ea,
1000016446541-Green-Olive,in-media-ea,
1000016151139-Gold-Gold,in-media-ea,
1000016434791-Orange-Orange,in-media-ea,
1000016151460-Blue-Navy,in-media-ea,
1000015964702-White-OffWhite,in-media-ea,
1000016466426-Beige-Beige,in-media-ea,
1000016022845-Blue-Blue,in-media,
1000013861323-Pink-Pink,in-media,
1000016371367-Black-Black,in-media-ea,
1000016330802-White-White,in-media-ea,
1000016150897-Red-Red,in-media-ea,
1000016317989-Black-Black,in-media-ea,
1000016387407-Beige-Beige,in-media-ea,
1000016330773-White-White,in-media-ea,
1000016150930-Blue-DarkBlue,in-media,
1000013861372-Blue-SkyBlue,,
1000015965139-Green-Olive,in-media-ea,
1000016446532-Blue-Blue,in-media,
1000016552553-Yellow-Yellow,in-media-ea,
1000016330710-White-White,in-media-ea,
1000016151106-Beige-Beige,in-media-ea,
1000016150699-Red-Coral,in-media,
1000016151260-Black-Black,in-media,
1000016371345-Red-Coral,in-media-ea,
1000016410302-Blue-Navy,in-media-ea,
1000016150875-Brown-Brown,in-media-ea,
1000015989642-Beige-Beige,in-media-ea,
1000016371301-Red-Red,in-media-ea,
1000016128360-Multicolour-Mult,in-media-ea,
1000015444445-White-White,in-media-ea,
1000016410269-Green-Sage,in-media-ea,
