sku_id,container,reprocess
1000016291906-Black-Black,in-media-ea,
1000016091155-Black-Black,in-media,
1000016176931-Black-Black,in-media-ea,
1000016071879-Multicolour-Mult,in-media,
1000016228231-Black-Black,in-media,
1000016177046-Green-Mint,in-media,
1000016317744-Blue-LightBlue,in-media-ea,
1000016366463-White-OffWhite,in-media-ea,
1000016242667-Blue-MidBlue,in-media-ea,
1000016176969-Green-Mint,in-media,
1000016176681-White-White,in-media-ea,
1000016399924-Yellow-Yellow,in-media-ea,
1000016090839-Pink-LightPink,in-media-ea,
1000016176796-Red-Coral,in-media-ea,
1000016510592-Blue-MidBlue,in-media-ea,
1000016242946-Black-Black,in-media-ea,
1000016068366-Blue-Blue,in-media,
1000016068687-White-OffWhite,in-media,
1000016177167-Black-Black,in-media-ea,
1000016177002-Blue-Blue,in-media-ea,
1000016228220-Black-Black,in-media-ea,
1000011911264-Black-Black,in-media-uk,
1000016399942-Pink-Pink,in-media,
1000016228341-Black-Black,in-media-ea,
1000011911331-Black-Black,in-media-uk,
1000016091100-Purple-Lilac,in-media,
1000016176958-Red-Coral,in-media-ea,
1000016176648-Red-Fuschia,in-media,
1000016442030-Black-Black,in-media-ea,
1000016177057-Pink-LightPink,in-media-ea,
1000016042546-Green-Lime,in-media-ea,
1000016176615-Green-Mint,in-media-ea,
1000016358084-Beige-Beige,in-media-ea,
1000011911264-Blue-Navy,in-media-uk,
1000016068489-Blue-Navy,in-media,
1000016228143-Pink-Pink,in-media-ea,
1000016068480-Blue-Blue,in-media,
1000016068435-Yellow-Yellow,in-media,
1000016503184-Black-Black,in-media-ea,
1000016176859-Pink-Pink,in-media,
1000016317755-Black-Black,in-media-ea,
1000016131742-Peach-Peach,in-media,
1000016497306-Blue-Navy,in-media-ea,
1000016068759-Purple-Purple,in-media,
1000016177013-Black-Black,in-media-ea,
1000016242901-Pink-Pink,in-media-ea,
1000016068732-Black-Black,in-media,
1000016242955-Blue-LightBlue,in-media-ea,
1000016228090-Yellow-Yellow,in-media-ea,
1000016175689-Black-Black,in-media,
1000016071888-Yellow-Yellow,in-media,
1000016242874-Blue-MidBlue,in-media-ea,
1000016442041-Pink-Pink,in-media-ea,
1000016441857-Blue-Navy,in-media-ea,
1000016468186-White-OffWhite,in-media,
1000016227940-Yellow-Yellow,in-media-ea,
1000015597679-Black-Black,in-media,
1000016228004-Black-Black,in-media-ea,
1000016358066-White-White,in-media-ea,
1000016175678-Blue-DarkBlue,in-media-ea,
1000015647197-Pink-LightPink,in-media,
1000016068285-Blue-MidBlue,in-media,
1000016228099-Pink-Pink,in-media-ea,
1000016128896-Multicolour-Mult,in-media,
1000016330674-Blue-Navy,in-media,
1000015209313-Black-Black,in-media,
1000011911253-GreyMelange,in-media-uk,
1000016330665-Pink-LightPink,in-media,
1000016176913-Black-Black,in-media-ea,
1000011911264-GreyMelange,in-media-uk,
1000016091067-Green-Mint,in-media,
1000016510625-Black-Black,in-media-ea,
1000015814623-Yellow-Yellow,in-media-ea,
1000016175744-White-OffWhite,in-media,
1000011911363-Blue-MidBlue,,
1000016067666-Blue-MidBlue,in-media,
1000016177156-Blue-Blue,in-media,
1000016228209-Multicolour-Mult,in-media-ea,
1000016399810-White-OffWhite,in-media-ea,
1000016067490-Pink-LightPink,in-media-ea,
1000016176692-Blue-Navy,in-media-ea,
1000016176823-White-White,in-media-ea,
1000016071852-Multicolour-Mult,in-media,
1000016176991-Yellow-Yellow,in-media-ea,
1000016496954-Yellow-Yellow,in-media-ea,
1000011911253-Blue-Navy,in-media-uk,
1000016177178-Pink-LightPink,in-media-ea,
1000016242703-Multicolour-Mult,in-media-ea,
1000016242676-Black-Black,in-media-ea,
1000015647439-Black-Black,in-media,
1000016399933-Green-Mint,in-media-ea,
1000011911253-Pink-Pink,in-media-uk,
1000016399759-White-OffWhite,in-media-ea,
1000016176670-Green-Lime,in-media-ea,
1000016611035-Multicolour-Mult,in-media-ea,
1000016176769-Grey-Charcoal,in-media-ea,
1000016177134-Red-Fuschia,in-media-ea,
1000016176659-Red-Fuschia,in-media-ea,
1000016177112-Black-Black,in-media-ea,
1000015892221-Black-Black,in-media-ea,
1000016442195-Blue-LightBlue,in-media-ea,
1000016067545-Peach-Peach,in-media,
1000016467311-Blue-MidBlue,in-media,
1000016468213-Red-Red,in-media-ea,
1000016228026-White-OffWhite,in-media-ea,
1000016176606-Blue-Aqua,in-media-ea,
1000016177024-Pink-LightPink,in-media-ea,
1000016176832-White-White,in-media-ea,
1000016176980-Red-Fuschia,in-media-ea,
1000016176805-Blue-Navy,in-media,
1000016158658-Multicolour-Mult,in-media-ea,
1000011911306-Blue-DarkBlue,in-media-uk,
1000011911331-Blue-Navy,in-media-uk,
1000016068525-Black-Black,in-media,
1000016176787-Green-Green,in-media,
1000016090974-Blue-Navy,in-media,
1000016177145-Beige-Beige,in-media-ea,
1000016176778-Yellow-Yellow,in-media,
1000016429204-Pink-Pink,in-media-ea,
1000015990644-Blue-Blue,in-media,
1000016068225-Blue-Navy,in-media,
1000016177035-Black-Black,in-media,
1000016228319-Blue-MidBlue,in-media-ea,
1000016068399-Green-Mint,in-media,
1000011911331-Pink-Pink,in-media-uk,
1000016176868-Pink-Pink,in-media,
1000016358057-White-OffWhite,in-media-ea,
1000015229839-Pink-LightPink,in-media,
1000015815344-Yellow-Yellow,in-media-ea,
1000016317724-White-OffWhite,in-media-ea,
1000016131621-Red-Coral,in-media,
1000016176886-White-White,in-media,
1000016176758-Blue-Aqua,in-media-ea,
1000016068741-Blue-MidBlue,in-media,
1000016468306-Orange-Chrome,in-media-ea,
1000016467192-White-White,in-media-ea,
1000016441711-Blue-Navy,in-media-ea,
1000016175733-Grey-Charcoal,in-media,
1000016186638-Multicolour-Mult,in-media-ea,
1000016067655-Blue-LightBlue,in-media,
1000016042512-Blue-Blue,in-media,
1000016067479-White-OffWhite,in-media-ea,
1000016399996-Green-Mint,in-media-ea,
1000015646806-Green-Lime,in-media,
1000016177090-Multicolour-Mult,in-media,
1000016090755-Green-Lime,in-media-ea,
