sku_id,container,reprocess
1100004264-Green-Green,in-media-ea,
1100004452-Green-Green,in-media-ea,
1000015605315-Multicolour,in-media,
1000015602394-White-White,in-media,
1100003999-Pink-Pink,in-media-ea,
1100004495-Pink-Pink,in-media-ea,
1100004272-Pink-Pink,in-media-ea,
1100002929-White-White,in-media-ea,
1000015603346-Green-Green,in-media,
1100003993-Yellow-Yellow,in-media-ea,
1100004422-Green-Green,in-media-ea,
1000015604087-Beige-Beige,in-media-ea,
1000015604074-Lilac-Purple,in-media-ea,
1100003978-Pink-Pink,in-media-ea,
1000015600836-White-White,in-media-ea,
1100004418-Pink-Pink,in-media-ea,
1000015391295-Pink-Pink,in-media-ea,
1100004265-Blue-Blue,in-media-ea,
1000015604860-White-White,in-media,
1000015723082-Green-Green,in-media,
1100003996-Pink-Pink,in-media-ea,
1000015603320-White-White,in-media,
1000015723629-Pink-Pink,in-media,
1000014949316-White-White,in-media,
1100003995-Blue-Blue,in-media-ea,
1100004203-White-White,in-media-ea,
1000014602777-Multicolour,in-media,
1000015722197-Purple-Purple,in-media,
1000014949446-Pink-Pink,in-media,
1000015148990-Pink-Pink,in-media,
1000015095286-White-White,in-media,
1000015668082-Beige-Cream,in-media,
1100004494-Pink-Pink,in-media-ea,
1000015604529-Pink-Pink,in-media,
1100004325-Multicolour,in-media-ea,
1000015722879-Grey-Grey,in-media-ea,
1100004496-Pink-Pink,in-media-ea,
1100004268-Pink-Pink,in-media-ea,
1000015602693-White-White,in-media,
1000015605829-Pink-Pink,in-media,
1100004205-Green-Green,in-media-ea,
1100004204-Pink-Pink,in-media-ea,
1000015602446-Green-Green,in-media-ea,
1000015604797-Cream-Beige,in-media,
1000015148731-Pink-Pink,in-media,
1000015602381-Pink-Pink,in-media,
1000015095208-Peach-Pink,in-media,
1000015604977-Multicolour,in-media,
1100004276-Pink-Pink,in-media-ea,
1100003994-Green-Green,in-media-ea,
1000015722571-Pink-Pink,in-media-ea,
1100003980-Grey-Grey,in-media-ea,
1000015603866-White-White,in-media,
1000015602654-White-White,in-media,
1100004197-Pink-Pink,in-media-ea,
1000015722208-Pink-Pink,in-media-ea,
1000015603853-White-White,in-media,
1000015600862-Green-Green,in-media,
1000015602092-White-White,in-media,
1100003974-Green-Green,in-media-ea,
1100004211-White-White,in-media-ea,
1000015713589-Purple-Purple,in-media,
1000015723160-Green-Green,in-media-ea,
1000015605679-White-White,in-media,
1000015603359-Orange-Orange,in-media,
1000015713628-Purple-Purple,in-media,
1000015602459-White-White,in-media,
1000015722263-Pink-Pink,in-media-ea,
1100004566-Green-Green,in-media-ea,
1000015722791-Pink-Pink,in-media,
1100004324-Pink-Pink,in-media-ea,
1000015605692-Green-Green,in-media,
1000015723017-Pink-Pink,in-media,
1000015713602-Purple-Purple,in-media,
1100004568-Red-Red,in-media-ea,
1000015603528-White-White,in-media,
1100004000-Blue-Blue,in-media-ea,
1000015723186-Pink-Pink,in-media,
1000015723173-Pink-Pink,in-media-ea,
1000015602040-Green-Green,in-media-ea,
1000015604847-White-White,in-media-ea,
1000015723069-Pink-Pink,in-media,
1000015723694-Cream-Beige,in-media-ea,
1000015602105-White-White,in-media,
1100004206-Pink-Pink,in-media-ea,
1000015602118-White-White,in-media,
1100004565-White-White,in-media-ea,
