sku_id,container,reprocess
1000016004493-Black-Black,in-media,
1000016131180-Red-Wine,in-media,
1000015979346-Beige-Beige,in-media,
1000016131189-Red-Coral,in-media,
1000015870524-Blue-Navy,in-media,
1000016003889-Blue-Blue,in-media,
1000016131171-Green-Olive,in-media,
1000016025549-Multicolour-Mult,in-media,
1000015893382-Purple-Lilac,in-media,
1000016068339-Green-Mint,in-media,
1000015926149-Yellow-LtYellow,in-media,
1000015953865-Beige-Beige,in-media,
1000015965268-Red-Rust,in-media,
1000015979355-Blue-Navy,in-media,
1000015892514-Pink-Pink,in-media,
1000015892559-White-White,in-media,
1000015965822-Blue-Blue,in-media,
1000015677165-Green-Mint,in-media,
1000015964323-Green-Sage,in-media,
1000015892268-Pink-LightPink,in-media,
1000016026009-Red-Maroon,in-media,
1000015964260-Red-Red,in-media,
1000015965301-Yellow-Mustard,in-media,
1000015925718-Red-Red,in-media,
1000016004482-White-White,in-media,
1000015830111-Black-Black,in-media,
1000015677120-Pink-Pink,in-media-ea,
1000015893274-White-White,in-media,
1000015966632-Blue-Navy,in-media,
1000015893238-Black-Black,in-media-ea,
1000015966679-Multicolour-Mult,in-media,
1000016025880-Green-Sage,in-media,
1000015925666-Yellow-Mustard,in-media,
1000015870484-Black-Black,in-media,
1000015964738-White-OffWhite,in-media,
1000015655506-Pink-Pink,in-media-ea,
1000016003871-Black-Black,in-media,
1000016072152-Green-Olive,in-media,
1000015893445-Blue-Navy,in-media,
1000016098232-Red-Rust,in-media,
1000015926171-Black-Black,in-media,
1000015927587-White-OffWhite,in-media,
1000015964224-Beige-Beige,in-media,
1000015892505-Red-Red,in-media,
1000015964305-Blue-Blue,in-media,
1000016025699-Beige-Beige,in-media,
1000015966605-Green-Olive,in-media,
1000016131162-White-White,in-media,
1000015870439-Green-Sage,in-media,
1000016004471-Purple-Purple,in-media,
1000015965312-Black-Black,in-media,
1000015964179-Blue-Blue,in-media,
1000015892523-Blue-Navy,in-media,
1000015797274-White-OffWhite,in-media,
1000015926204-Green-Sage,in-media,
1000016098223-Beige-Beige,in-media,
1000015979319-Red-Red,in-media,
1000016131955-White-OffWhite,in-media,
1000015655517-Purple-Lilac,in-media,
1000015797256-Red-Red,in-media,
1000015965777-Pink-Pink,in-media,
1000015813939-Multicolour-Mult,in-media,
1000015964089-White-White,in-media,
1000015964152-Beige-Beige,in-media,
1000015964783-Blue-Blue,in-media,
1000015870502-Black-Black,in-media,
1000015892595-Beige-Beige,in-media,
1000015953909-Beige-Beige,in-media,
1000015927587-Blue-PowderBlue,in-media,
1000015893328-Blue-Navy,in-media,
1000015926107-Brown-Brown,in-media,
1000016071499-Blue-PowderBlue,in-media,
1000015926182-White-OffWhite,in-media,
1000015953920-Black-Black,in-media,
1000015892496-Pink-Pink,in-media,
1000015965786-Blue-Navy,in-media,
1000015893391-Beige-Beige,in-media,
1000015813966-Beige-Beige,in-media,
1000015655495-White-OffWhite,in-media,
1000015964197-Brown-Brown,in-media,
1000015964711-Blue-Navy,in-media,
1000015893418-White-OffWhite,in-media,
1000015964116-Brown-Brown,in-media,
1000015964269-Blue-Navy,in-media,
1000016025799-Red-Maroon,in-media,
1000015893319-White-OffWhite,in-media,
1000015925700-Green-Lime,in-media,
1000015964242-Green-Olive,in-media,
1000015892649-White-OffWhite,in-media,
1000015676653-Pink-LightPink,in-media,
1000015797265-Grey-Charcoal,in-media,
1000015964206-Yellow-Mustard,in-media,
1000015979310-Green-Olive,in-media,
1000015892667-White-White,in-media,
1000015964071-White-OffWhite,in-media,
1000016131268-Blue-Blue,in-media,
1000015964251-Multicolour-Mult,in-media,
1000015797247-Multicolour-Mult,in-media,
1000015676662-Yellow-Yellow,in-media,
1000016131277-White-OffWhite,in-media,
1000015964143-Red-Coral,in-media,
1000015965858-Blue-Aqua,in-media,
1000015959213-Purple-Lilac,in-media,
1000015964747-Orange-Orange,in-media,
1000015676680-Green-Mint,in-media,
1000015979337-Red-Coral,in-media,
1000015815567-Pink-LightPink,in-media,
1000015979328-Yellow-Yellow,in-media,
1000015965795-Pink-Pink,in-media,
1000016026141-Black-Black,in-media,
1000015892433-Pink-LightPink,in-media,
1000016067688-Green-Mint,in-media,
1000015959257-Blue-Blue,in-media,
1000016068303-Blue-Blue,in-media,
1000016068330-Pink-Pink,in-media,
1000015965279-Beige-Beige,in-media,
1000015965768-Green-Mint,in-media,
1000016068795-Green-Mint,in-media,
1000015676689-White-OffWhite,in-media,
1000015870421-Beige-Beige,in-media,
1000015964188-White-Cream,in-media,
1000015870430-Beige-Beige,in-media,
1000016072186-Beige-Beige,in-media,
1000015815479-Black-Black,in-media,
1000015925727-Beige-Beige,in-media,
1000016096936-Green-Olive,in-media,
1000015813957-Yellow-Yellow,in-media,
1000015964765-Yellow-Yellow,in-media,
1000016022818-Red-Rust,in-media,
1000015870466-White-OffWhite,in-media,
1000015964080-Beige-Beige,in-media,
1000015964161-Black-Black,in-media,
1000015964107-Blue-Navy,in-media,
1000016003853-White-White,in-media,
1000015965849-White-OffWhite,in-media,
1000015964098-White-White,in-media,
1000015966019-Green-Sage,in-media,
1000015964801-Brown-Brown,in-media,
1000015965867-Pink-Pink,in-media,
1000015964819-Yellow-Yellow,in-media,
1000015677129-Yellow-Yellow,in-media-ea,
1000015797283-Red-Coral,in-media,
1000015964720-Blue-PowderBlue,in-media,
1000015892388-White-White,in-media,
1000016004198-Black-Black,in-media,
1000016072343-Brown-Khaki,in-media,
1000015815578-Pink-Pink,in-media,
1000016068768-White-White,in-media,
1000016071463-White-OffWhite,in-media,
1000016068777-Blue-Blue,in-media,
1000015965323-White-OffWhite,in-media,
1000015966614-Yellow-Mustard,in-media,
1000016004234-Grey-Charcoal,in-media,
1000016072152-Black-Black,in-media,
1000015964792-Beige-Beige,in-media,
1000015964810-White-OffWhite,in-media,
1000016003862-Beige-Beige,in-media,
1000016004243-Beige-Beige,in-media,
1000015870448-Blue-PowderBlue,in-media,
1000016167139-Yellow-Mustard,in-media,
1000015893283-Yellow-Yellow,in-media,
1000016131984-Blue-LightBlue,in-media,
1000015925709-Red-Coral,in-media,
1000015964756-White-OffWhite,in-media,
1000015965246-Blue-Blue,in-media,
1000015966641-Blue-Navy,in-media,
1000016004504-Grey-Grey,in-media,
1000016068321-Yellow-Yellow,in-media,
1000015964774-Blue-Navy,in-media,
1000016071508-White-White,in-media,
1000015676698-Blue-Navy,in-media,
1000015925745-Green-Olive,in-media,
1000016071454-White-White,in-media,
1000016004162-White-White,in-media,
1000016025862-Multicolour-Mult,in-media,
1000016071490-Red-Rust,in-media,
1000016167094-Green-Olive,in-media,
1000015925666-Green-Olive,in-media,
1000016003898-Green-Sage,in-media,
1000015892487-Yellow-Yellow,in-media,
1000015966623-Multicolour-Mult,in-media,
1000015965831-Beige-Beige,in-media,
1000015966659-Multicolour-Mult,in-media,
1000016025673-Multicolour-Mult,in-media,
1000015965876-Blue-Blue,in-media,
1000015893409-White-White,in-media,
1000015676671-White-OffWhite,in-media-ea,
1000015959246-Green-Mint,in-media,
1000015926128-Yellow-Mustard,in-media,
1000015893544-Beige-Beige,in-media,
1000015870475-Blue-Navy,in-media,
1000016098187-White-White,in-media,
1000015925736-White-OffWhite,in-media,
1000015892397-Beige-Beige,in-media,
1000015813948-Brown-Brown,in-media,
1000015677138-White-OffWhite,in-media,
1000015892478-Peach-Peach,in-media,
1000015953876-Red-Rust,in-media,
1000016004537-Beige-Beige,in-media,
1000016004449-Multicolour-Mult,in-media,
1000015965257-Blue-Blue,in-media,
1000015926193-Beige-Beige,in-media,
1000015830263-Black-Black,in-media,
1000015817881-Pink-LightPink,in-media-ea,
1000015830075-Green-Green,in-media,
1000015817828-Pink-LightPink,in-media,
1000015830263-Green-Olive,in-media,
1000015800517-Black-Black,in-media,
1000015830233-Blue-Navy,in-media,
1000016008613-Orange-FlrctOrng,in-media,
1000016008613-Green-FlretGreen,in-media,
1000015895932-Yellow-MdmYellow,in-media,
1000015990519-White-OffWhite,in-media,
1000015817904-Pink-LightPink,in-media,
1000015800242-Yellow-Yellow,in-media,
1000015817719-Red-Burgundy,in-media,
1000015830075-Yellow-Yellow,in-media,
1000015818025-Pink-LightPink,in-media,
1000015817928-Pink-Pink,in-media,
1000016007489-White-OffWhite,in-media,
1000016007632-Blue-MidBlue,in-media,
1000015830052-Black-Black,in-media,
1000015800378-Black-Black,in-media,
1000015897036-White-White,in-media,
1000015893301-Red-Red,in-media,
1000015926128-Green-Sage,in-media,
1000015892451-Black-Black,in-media,
1000015964233-Red-Red,in-media,
1000015893247-White-OffWhite,in-media,
1000015959268-Multicolour-Mult,in-media,
1000014748175-Grey-Charcoal,in-media,
1000016072152-White-OffWhite,in-media,
1000015892259-Green-Mint,in-media,
1000015892460-White-White,in-media,
1000016026130-White-OffWhite,in-media,
1000015893571-Pink-Pink,in-media,
1000015892442-White-OffWhite,in-media,
1000015815446-White-White,in-media,
1000015965224-Blue-Navy,in-media,
1000015892532-Multicolour-Mult,in-media,
1000016028775-Blue-Navy,in-media,
1000015966668-Beige-Beige,in-media,
1000015815391-White-OffWhite,in-media,
1000016004515-Beige-Beige,in-media,
1000015818025-Blue-Navy,in-media,
1000015830172-Brown-Chocolate,in-media,
1000015953898-Red-Wine,in-media,
1000015830172-Black-Black,in-media,
1000015829747-Grey-GreyMelange,in-media,
1000015815468-Multicolour-Mult,in-media,
1000015655484-Pink-LightPink,in-media-ea,
1000015964215-Multicolour-Mult,in-media,
1000015965885-Multicolour-Mult,in-media,
1000015893229-Pink-LightPink,in-media-ea,
1000015815380-Beige-Beige,in-media,
1000015815402-Black-Black,in-media,
1000015965334-Blue-Navy,in-media,
1000015656854-Blue-LightBlue,in-media,
1000015815435-White-OffWhite,in-media,
1000015870513-White-OffWhite,in-media,
1000015990555-Pink-Pink,in-media,
1000016026042-Multicolour-Mult,in-media,
1000016072302-Black-Black,in-media,
1000016026075-Yellow-Yellow,in-media,
1000016098160-Red-Wine,in-media,
1000015965235-Multicolour-Mult,in-media,
1000016004548-White-OffWhite,in-media,
1000015926107-White-OffWhite,in-media,
1000015815765-White-White,in-media,
1000016030608-Yellow-Yellow,in-media,
1000016068804-White-White,in-media,
1000016072302-White-OffWhite,in-media,
1000015893580-Pink-Pink,in-media,
1000015959191-White-OffWhite,in-media,
1000015817851-Purple-Lilac,in-media,
1000015656843-Black-Black,in-media,
1000016030680-Green-Green,in-media,
1000015815798-Peach-Peach,in-media,
1000015893562-Green-Mint,in-media,
1000015965840-Purple-Lilac,in-media,
1000015959235-Multicolour-Mult,in-media,
1000016028225-Blue-LightBlue,in-media,
