sku_id,container,reprocess
1000016142614-Green-Khaki,in-media,
1000016237202-Black-Black,in-media-ea,
1000016538583-Black-Black,in-media-ea,
1000016415177-Grey-LightGrey,in-media-ea,
1000015663671-Blue-Navy,in-media,
1000014705492-Black-Black,in-media,
1000016235808-Black-Black,in-media-ea,
1000013385887-Blue-Navy,in-media,
1000016237046-Grey-DarkSage,in-media-ea,
1000016214103-Grey-Charcoal,in-media,
1000016214045-Black-Black,in-media,
1000016285634-Green-Khaki,in-media,
1000015610219-White-White,in-media-ea,
1000016413656-Grey-LightGrey,in-media,
1000016214476-Black-Black,in-media,
1000016549685-Beige-Beige,in-media-ea,
1000016233194-White-Ecru,in-media-ea,
1000016234198-Black-Black,in-media-ea,
1000016285512-Brown-Brown,in-media-ea,
1000016234288-Grey-LightGrey,in-media-ea,
1000015959948-Brown-Brown,in-media,
1000015664794-Black-Black,in-media,
1000005621928-Blue-Navy,in-media,
1000016331240-Black-Black,in-media-ea,
1000016285265-Brown-DarkBrown,in-media-ea,
1000016499356-Brown-Brown,in-media-ea,
1000016331240-Brown-Brown,in-media-ea,
1000016237046-White-White,in-media-ea,
1000016234146-Black-Black,in-media-ea,
1000015370941-Black-Black,in-media,
1000013384956-Black-Black,,
1000016576300-Green-DarkGreen,in-media,
1000016285634-Blue-DustyBlue,in-media-ea,
1000015669161-Black-JetBlack,in-media,
1000005621928-Kira-Open-Black-Black,in-media,
1000016284373-Blue-Indigo,in-media-ea,
1000005621928-Grey-GreyMelange,in-media,
1000016392403-Blue-DarkBlue,in-media-ea,
1000016414296-Brown-DarkBrown,in-media-ea,
1000016331240-Blue-Navy,in-media-ea,
1000013626265-Black-Black,,
1000016414628-Blue-LightBlue,in-media-ea,
1000016285265-Grey-DarkSage,in-media-ea,
1000015664152-White-White,in-media,
1000016595725-Brown-DarkBrown,in-media,
1000016284528-White-OffWhite,in-media-ea,
1000005621928-Kira-Open-Grey-Charcoal-Melange,in-media,
1000016469101-Blue-NavyBlue,in-media,
1000016377311-Blue-LightIndigo,in-media-ea,
1000005621928-Brown-Brown,in-media,
1000016521586-Grey-LightGrey,in-media-ea,
1000015610208-Black-Black,in-media-ea,
1000005621928-Beige-Beige,in-media,
1000016331138-Black-Black,in-media-ea,
1000016273076-Blue-LightBlue,in-media-ea,
1000015749608-Grey-LightGrey,in-media-ea,
1000016236202-Grey-Charcoal,in-media-ea,
1000016392677-Green-Green,in-media-ea,
1000011576307-Blue-Blue,in-media,
1000013384836-Black-Black,,
1000016233511-Black-Black,in-media-ea,
1000016391687-Grey-Grey,in-media-ea,
1000016331138-Green-Olive,in-media-ea,
1000016233769-White-White,in-media-ea,
1000015610716-Grey-LightGrey,in-media-ea,
1000016392656-Black-Black,in-media,
1000016413458-Grey-Grey,in-media-ea,
1000016331138-Brown-Brown,in-media-ea,
1000015664908-Grey-LightGrey,in-media,
1000015697930-Black-Black,in-media-ea,
1000016285634-Brown-Stone,in-media,
1000015442075-Black-Black,in-media,
1000016341842-Grey-LightGrey,in-media-ea,
1000005621928-Green-DarkOlive,in-media,
1000016285512-Grey-LightGrey,in-media-ea,
1000016285634-Green-LightSage,in-media,
1000013782978-Black-Black,,
1000016331179-Brown-Stone,in-media-ea,
1000014684695-Green-DustOlive,in-media,
1000016284360-White-White,in-media-ea,
1000016452627-Black-Black,in-media,
1000013825097-Blue-Navy,,
1000016273139-Beige-Beige,in-media,
1000016214513-Grey-Grey,in-media,
1000016044425-White-Ecru,in-media,
1000015664908-Grey-Charcoal,in-media,
1000016464028-Black-Black,in-media,
1000016393083-Blue-DarkBlue,in-media,
1000015442086-Blue-Indigo,in-media,
1000016590819-Blue-DarkBlue,in-media-ea,
1000016214476-Beige-Beige,in-media,
1000016536782-Grey-LightGrey,in-media-ea,
1000016396960-Black-MidBlack,in-media-ea,
1000016450775-White-White,in-media,
1000016285265-Black-Black,in-media-ea,
1000016464028-Green-Khaki,in-media,
1000015442097-Blue-Indigo,in-media,
1000013936410-Blue-DarkBlue,in-media,
1000016490016-Blue-Navy,in-media-ea,
1000016391674-Black-Black,in-media-ea,
1000013825097-Yellow-Mustard,,
1000016490016-Brown-LightBrown,in-media-ea,
1000016284197-Beige-Beige,in-media,
1000016525207-Grey-LightGrey,in-media,
1000016637645-Brown-Stone,in-media-ea,
1000016214218-Beige-Beige,in-media-ea,
1000015362060-Blue-Blue,in-media,
1000011516363-Black-Black,in-media-uk,
1000016285224-Grey-Taupe,in-media-ea,
1000016615772-Blue-Navy,in-media-ea,
1000015803129-Blue-DarkBlue,in-media,
1000013384836-Blue-Navy,in-media,
1000016487601-Grey-LightGrey,in-media,
1000011516363-Blue-Navy,in-media-uk,
1000016450726-Blue-Blue,in-media-ea,
1000016569804-Brown-MedBrown,in-media-ea,
1000016214218-Grey-DarkGrey,in-media-ea,
1000013384836-Grey-LightGrey,in-media,
1000013430608-Blue-Blue,,
1000016490016-Brown-Stone,in-media-ea,
1000016236269-Grey-DarkGrey,in-media,
1000011365753-Black-Black,in-media-uk,
